2122,-271065,-270998,-271219,-999999,-271137,-271012,-271056,-271169,-271043,-270984,-271011,-270585,-271550,-271190,-271001,-271075,-271070,-270950,-271186,-271175,-270983,-271389,-271151,-271230,-999999,-271022,-271055,-271169,-271140,-270945,-271069,-271068,-271267
2080,-271079,-999999,-271012,-271011,-271247,-271237,-271253,-271076,-271233,-271226,-270951,-271089,-271076,-271523,-271420,-271141,-271306,-271011,-271146,-271055,-271144,-271348,-271465,-271284,-271415,-271537,-270897,-271036,-271128,-271385,-271342,-271237,-271083
-2125,-271015,-270846,-271273,-271190,-270931,-271276,-271144,-271136,-271247,-271331,-271244,-271147,-271152,-271152,-271333,-271329,-271022,-271473,-271502,-271313,-271323,-271166,-271421,-271208,-271108,-271201,-271425,-271300,-271060,-271140,-271060,-271258,-271115
2121,-271199,-271274,-271331,-999999,-271266,-271163,-271280,-271405,-270936,-271237,-270884,-271132,-271158,-271272,-271637,-271263,-270904,-271386,-271173,-271245,-271324,-271371,-271097,-271023,-271099,-271033,-271070,-270927,-271111,-271411,-271108,-271130,-271068
-1254,-271396,-271119,-271148,-271208,-271180,-271183,-271230,-271314,-271320,-271280,-271280,-271173,-271061,-271104,-271055,-999999,-271162,-271338,-271027,-271079,-271022,-271295,-271162,-271129,-271372,-271133,-271115,-271108,-270993,-271307,-271075,-271204,-271097
2054,-269487,-269037,-268422,-267769,-267355,-266405,-265407,-264963,-264040,-262919,-261993,-261013,-260379,-259788,-259392,-259112,-259053,-259186,-259346,-259874,-999999,-260699,-261990,-262655,-263563,-264541,-265315,-266289,-267152,-267912,-268112,-269027,-269331
1172,-269179,-268608,-267948,-267404,-266757,-265528,-265018,-264222,-263280,-262376,-261517,-260524,-260282,-259734,-259266,-258961,-259011,-258888,-259269,-260096,-260367,-261232,-262447,-262915,-263928,-264848,-265939,-266392,-267378,-267996,-268662,-269098,-269115
2137,-264592,-262675,-260351,-257498,-254494,-250925,-247509,-243814,-240482,-237303,-234331,-231647,-229320,-227437,-226164,-225199,-224819,-224933,-225407,-226548,-228016,-229872,-232308,-235178,-238206,-241665,-245164,-248640,-252241,-255524,-258772,-261316,-263611
2021,-270613,-269830,-269367,-268372,-266897,-264674,-262059,-258164,-253565,-248141,-242780,-237374,-232777,-228991,-226382,-224910,-999999,-225853,-228477,-232024,-236715,-242174,-247968,-253527,-258603,-262678,-265509,-267594,-999999,-269866,-270086,-270646,-270642
2130,-271080,-999999,-271070,-271252,-271079,-271208,-270797,-270965,-270794,-271004,-270925,-271094,-270975,-271047,-271353,-270879,-271047,-271180,-270884,-271079,-271036,-271305,-999999,-271126,-270926,-270936,-270808,-271306,-271377,-270968,-271180,-271089,-271031
-476,-226946,-226721,-226617,-226418,-226366,-226205,-225977,-226038,-225897,-225889,-225995,-225771,-225814,-225855,-225788,-225819,-225791,-225786,-225759,-225783,-226002,-226037,-226027,-226201,-226265,-226400,-226450,-226647,-226681,-226916,-227103,-227157,-227358
2637,-270926,-270765,-999999,-270888,-270627,-269831,-268702,-267211,-264228,-260426,-254934,-247901,-240949,-234884,-230047,-226949,-225756,-226953,-229967,-235148,-241617,-249125,-256250,-262348,-266046,-268442,-269793,-270195,-270407,-270907,-270917,-270997,-271177
-397,-270922,-271011,-270971,-271008,-270984,-271079,-270918,-271166,-270840,-271270,-271017,-270786,-270986,-271176,-999999,-271018,-270861,-271189,-271079,-271205,-271069,-271261,-271194,-271023,-270879,-270890,-270659,-271128,-270979,-270965,-271076,-270864,-270797
-774,-271132,-271099,-271022,-270943,-270978,-271169,-271126,-270812,-271001,-270947,-271199,-270917,-999999,-271230,-271478,-270902,-270957,-271011,-271089,-270911,-270886,-270898,-270747,-999999,-270940,-270641,-270886,-271019,-270769,-271253,-270986,-270860,-270964
1222,-271183,-271072,-271233,-999999,-270865,-271216,-270951,-270908,-270950,-270941,-271084,-270929,-270936,-271022,-270903,-270997,-270850,-271245,-270993,-270837,-271158,-270651,-271031,-271084,-270900,-271042,-271050,-270950,-271037,-271065,-271259,-271033,-271184
-504,-271328,-271170,-271172,-271206,-270902,-271118,-271234,-270865,-270904,-271206,-270993,-270955,-271054,-271292,-271166,-271295,-271054,-271070,-271065,-271036,-271111,-271151,-270676,-271133,-270850,-270954,-271262,-271290,-270855,-270958,-270750,-271127,-271212
-699,-231684,-230987,-230419,-229859,-999999,-228993,-228477,-228064,-227832,-227452,-227168,-227074,-226863,-226787,-226661,-226537,-226511,-226475,-226467,-226586,-226682,-226699,-226906,-227238,-227229,-227535,-227943,-228234,-228375,-228771,-229092,-229368,-229961
