cmd_path,cmd_sweep_0,cmd_sweep_1,base_dac_y,base_dac_x,max_cross_x_index,max_cross_y_index,max_cross_x,max_cross_y,fit_x,fit_y,dac_y_at_max_cross,dac_x_at_max_cross
RECAL 1 3 4 6 6 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2256 64 4 80,2187,2575,17,17,-229016,-232525,2256,2644,2255,2643
RECAL 1 3 4 7 7 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 745 64 4 80,683,2614,17,15,-227550,-230217,745,2681,743,2682
RECAL 1 3 4 8 8 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 697 64 4 80,629,2011,18,17,-224427,-226630,696.9,2080,697,2083
RECAL 1 3 4 9 9 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 641 64 4 80,572,1148,17,17,-220397,-220621,640.9,1215,640,1216
RECAL 1 3 4 10 10 36,RECAL 3 0 9999 9999 128 4 80,RECAL 3 1 9999 84 128 4 80,-71,-1368,33,39,-220165,-220261,84.09,-1238,85,-1236
RECAL 1 3 4 11 11 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 495 64 4 80,426,-2155,15,17,-221663,-221981,495.4,-2093,494,-2095
RECAL 1 3 4 12 12 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 458 64 4 80,401,-2753,15,14,-227476,-228569,457.9,-2691,457,-2693
RECAL 1 3 4 13 13 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2112 64 4 80,-2173,-2777,15,15,-232997,-234584,-2112,-2716,-2113,-2717
RECAL 1 3 4 14 14 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2102 64 4 80,-2163,-2187,15,15,-227520,-227888,-2102,-2125,-2103,-2127
RECAL 1 3 4 15 15 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2149 64 4 80,-2206,-1356,16,14,-223534,-223578,-2149,-1291,-2150,-1292
RECAL 1 3 4 16 16 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2063 64 4 80,-2126,1084,18,16,-222667,-223464,-2063,1154,-2062,1156
RECAL 1 3 4 17 17 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2049 64 4 80,-2110,1977,17,15,-227412,-228403,-2049,2045,-2050,2045
RECAL 1 3 4 18 18 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2042 64 4 80,-2101,2585,17,15,-232878,-235533,-2042,2653,-2041,2653
RECAL 1 3 5 1 1 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2184 64 4 80,2118,-2863,15,17,-226666,-229556,2184,-2803,2186,-2803
RECAL 1 3 5 2 2 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2179 64 4 80,2113,-2282,15,17,-224439,-226914,2179,-2224,2181,-2222
RECAL 1 3 5 3 3 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2215 64 4 80,2147,-1489,15,17,-222925,-223079,2215,-1427,2215,-1429
RECAL 1 3 5 4 4 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2144 64 4 80,2078,934,16,17,-222687,-222792,2144,999.7,2146,998
RECAL 1 3 5 5 5 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2241 64 4 80,2173,1904,17,17,-224423,-225248,2241,1971,2241,1972
RECAL 1 3 5 6 6 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2257 64 4 80,2190,2537,17,17,-225118,-226586,2257,2603,2258,2605
RECAL 1 3 5 7 7 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 594 64 4 80,532,2571,18,15,-226236,-229772,593.5,2639,592,2643
RECAL 1 3 5 8 8 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 531 64 4 80,476,1952,17,14,-224357,-224938,531,2019,532,2020
RECAL 1 3 5 9 9 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -471 64 4 80,-528,1028,16,14,-223107,-223110,-470.5,1094,-472,1092
RECAL 1 3 5 10 10 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 385 64 4 80,323,-1420,15,16,-222616,-222656,385.5,-1358,387,-1360
RECAL 1 3 5 11 11 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -211 64 4 80,-241,-2240,15,8,-225277,-226364,-210.9,-2179,-209,-2180
RECAL 1 3 5 12 12 37,RECAL 3 0 9999 9999 128 4 80,RECAL 3 1 9999 -180 128 4 80,-287,-2890,31,28,-236181,-238123,-179.9,-2764,-175,-2766
RECAL 1 3 5 13 13 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2201 64 4 80,-2260,-2846,15,15,-234733,-237931,-2201,-2788,-2200,-2786
RECAL 1 3 5 14 14 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2202 64 4 80,-2259,-2268,15,14,-228535,-229399,-2202,-2207,-2203,-2208
RECAL 1 3 5 15 15 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2164 64 4 80,-2222,-1469,16,14,-228570,-228644,-2164,-1405,-2166,-1405
RECAL 1 3 5 16 16 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2238 64 4 80,-2296,965,16,14,-229622,-229732,-2238,1030,-2240,1029
RECAL 1 3 5 17 17 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2140 64 4 80,-2198,1917,17,14,-232225,-233228,-2140,1984,-2142,1985
RECAL 1 3 5 18 18 37,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2129 64 4 80,-2186,2544,17,14,-242496,-245484,-2129,2614,-2130,2612
RECAL 1 3 6 1 1 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2271 64 4 80,2208,-2694,15,16,-240617,-242552,2271,-2633,2272,-2634
RECAL 1 3 6 2 2 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2185 64 4 80,2124,-2096,15,15,-244995,-245153,2185,-2033,2184,-2036
RECAL 1 3 6 3 3 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2176 64 4 80,2115,-1224,16,15,-242795,-242831,2176,-1162,2175,-1160
RECAL 1 3 6 4 4 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2265 64 4 80,2203,1184,17,16,-238386,-238776,2265,1251,2267,1252
RECAL 1 3 6 5 5 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2259 64 4 80,2200,2022,17,15,-246739,-247550,2259,2088,2260,2090
RECAL 1 3 6 6 6 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2252 64 4 80,2191,2611,17,15,-252978,-255663,2252,2678,2251,2679
RECAL 1 3 6 7 7 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 501 64 4 80,464,2572,17,9,-245789,-248542,501.5,2639,500,2640
RECAL 1 3 6 8 8 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 504 64 4 80,462,1975,17,10,-237136,-237702,503.7,2041,502,2043
RECAL 1 3 6 9 9 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 533 64 4 80,496,1108,17,9,-234894,-235053,533,1175,532,1176
RECAL 1 3 6 10 10 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -359 64 4 80,-365,-1300,16,1,-233052,-233056,-358.8,-1235,-361,-1236
RECAL 1 3 6 11 11 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -297 64 4 80,-304,-2141,16,2,-235197,-235230,-296.6,-2079,-296,-2077
RECAL 1 3 6 12 12 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 590 64 4 80,547,-2728,15,11,-241555,-243890,589.9,-2668,591,-2668
RECAL 1 3 6 13 13 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2132 64 4 80,-2188,-2726,15,14,-239308,-241052,-2132,-2665,-2132,-2666
RECAL 1 3 6 14 14 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2212 64 4 80,-2266,-2139,15,14,-240030,-240522,-2212,-2077,-2210,-2079
RECAL 1 3 6 15 15 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2220 64 4 80,-2275,-1299,16,14,-237320,-237326,-2220,-1234,-2219,-1235
RECAL 1 3 6 16 16 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2136 64 4 80,-2191,1110,16,14,-239036,-239092,-2136,1175,-2135,1174
RECAL 1 3 6 17 17 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2143 64 4 80,-2199,1975,17,14,-239565,-240156,-2143,2042,-2143,2043
RECAL 1 3 6 18 18 38,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2150 64 4 80,-2205,2570,17,14,-245126,-247437,-2150,2637,-2149,2638
RECAL 1 3 7 1 1 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2183 64 4 80,2117,-2859,15,17,-232880,-236749,2183,-2801,2185,-2799
RECAL 1 3 7 2 2 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2105 64 4 80,2040,-2283,15,16,-227749,-229396,2105,-2223,2104,-2223
RECAL 1 3 7 3 3 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2105 64 4 80,2039,-1493,16,16,-228897,-228974,2105,-1430,2103,-1429
RECAL 1 3 7 4 4 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2194 64 4 80,2127,934,16,17,-225396,-225459,2194,997.8,2195,998
RECAL 1 3 7 5 5 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2199 64 4 80,2133,1907,17,16,-225855,-226431,2199,1974,2197,1975
RECAL 1 3 7 6 6 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2205 64 4 80,2138,2540,17,17,-229867,-231661,2205,2607,2206,2608
RECAL 1 3 7 7 7 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 437 64 4 80,380,2515,17,14,-233829,-234890,436.5,2581,436,2583
RECAL 1 3 7 8 8 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 416 64 4 80,353,1875,16,16,-233354,-233328,415.5,1941,417,1939
RECAL 1 3 7 9 9 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 363 64 4 80,301,869,16,16,-228098,-228107,363.2,931.6,365,933
RECAL 1 3 7 10 10 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -544 64 4 80,-601,-1533,15,14,-227628,-227791,-544.4,-1471,-545,-1473
RECAL 1 3 7 11 11 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -564 64 4 80,-623,-2311,15,15,-229316,-229896,-563.6,-2249,-563,-2251
RECAL 1 3 7 12 12 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 291 64 4 80,248,-2881,15,11,-229889,-232740,291.1,-2822,292,-2821
RECAL 1 3 7 13 13 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2158 64 4 80,-2215,-2883,15,14,-232430,-234801,-2158,-2823,-2159,-2823
RECAL 1 3 7 14 14 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2232 64 4 80,-2292,-2310,14,15,-230505,-233588,-2232,-2252,-2232,-2254
RECAL 1 3 7 15 15 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2229 64 4 80,-2287,-1538,15,14,-228153,-228512,-2229,-1477,-2231,-1478
RECAL 1 3 7 16 16 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2144 64 4 80,-2204,855,17,15,-228360,-228443,-2144,921.7,-2144,923
RECAL 1 3 7 17 17 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2136 64 4 80,-2196,1868,17,15,-230086,-231340,-2136,1936,-2136,1936
RECAL 1 3 7 18 18 39,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2135 64 4 80,-2195,2510,17,15,-231880,-233884,-2135,2578,-2135,2578
RECAL 1 3 8 1 1 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2215 64 4 80,2147,-2737,15,17,-232327,-235353,2215,-2678,2215,-2677
RECAL 1 3 8 2 2 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2132 64 4 80,2068,-2139,15,16,-222104,-222796,2132,-2078,2132,-2079
RECAL 1 3 8 3 3 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2128 64 4 80,2060,-1270,16,17,-220530,-220538,2128,-1207,2128,-1206
RECAL 1 3 8 4 4 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2223 64 4 80,2155,1158,17,17,-220989,-221381,2223,1226,2223,1226
RECAL 1 3 8 5 5 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2216 64 4 80,2148,2020,17,17,-222847,-223896,2216,2087,2216,2088
RECAL 1 3 8 6 6 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2215 64 4 80,2151,2616,17,16,-226048,-229371,2215,2685,2215,2684
RECAL 1 3 8 7 7 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -269 64 4 80,-269,2647,17,1,-229476,-232283,-268.9,2715,-265,2715
RECAL 1 3 8 8 8 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -246 64 4 80,-287,2060,17,10,-224687,-225682,-245.9,2127,-247,2128
RECAL 1 3 8 9 9 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -146 64 4 80,-217,1226,17,18,-222803,-223144,-146.2,1293,-145,1294
RECAL 1 3 8 10 10 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -686 64 4 80,-739,-1197,16,13,-220601,-220604,-686.3,-1132,-687,-1133
RECAL 1 3 8 11 11 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -681 64 4 80,-738,-2095,15,14,-220933,-221363,-681.3,-2034,-682,-2035
RECAL 1 3 8 12 12 40,RECAL 3 0 9999 -242 64 4 80,RECAL 3 1 9999 -293 64 4 80,-306,-2703,15,3,-225040,-227163,-293.4,-2643,-294,-2643
RECAL 1 3 8 13 13 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2227 64 4 80,-2286,-2734,15,15,-226152,-228528,-2227,-2674,-2226,-2674
RECAL 1 3 8 14 14 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2298 64 4 80,-2356,-2135,15,15,-224130,-225284,-2298,-2075,-2296,-2075
RECAL 1 3 8 15 15 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2302 64 4 80,-2361,-1272,16,15,-225551,-225587,-2302,-1207,-2301,-1208
RECAL 1 3 8 16 16 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2217 64 4 80,-2275,1158,17,15,-223572,-223701,-2217,1224,-2215,1226
RECAL 1 3 8 17 17 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2223 64 4 80,-2282,2015,17,15,-232145,-233275,-2223,2082,-2222,2083
RECAL 1 3 8 18 18 40,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2226 64 4 80,-2287,2612,17,15,-228402,-231333,-2226,2681,-2227,2680
RECAL 1 3 9 1 1 41,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2206 64 4 80,2138,-2681,15,17,-237672,-240473,2206,-2620,2206,-2621
RECAL 1 3 9 2 2 41,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2107 64 4 80,2041,-2092,15,16,-230564,-232286,2107,-2033,2105,-2032
RECAL 1 3 9 3 3 41,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2109 64 4 80,2042,-1242,16,17,-230094,-230117,2109,-1179,2110,-1178
RECAL 1 3 9 4 4 41,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2196 64 4 80,2128,1136,16,17,-228848,-228855,2196,1200,2196,1200
RECAL 1 3 9 5 5 41,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2192 64 4 80,2126,1978,17,16,-226180,-226769,2192,2044,2190,2046
RECAL 1 3 9 6 6 41,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2184 64 4 80,2117,2563,17,17,-231095,-233872,2184,2632,2185,2631
