cmd_path,cmd_sweep_0,cmd_sweep_1,base_dac_y,base_dac_x,max_cross_x_index,max_cross_y_index,max_cross_x,max_cross_y,fit_x,fit_y,dac_y_at_max_cross,dac_x_at_max_cross
RECAL 1 3 1 1 1 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2187 64 4 80,2122,-2727,15,16,-232808,-235671,2187,-2667,2186,-2667
RECAL 1 3 1 2 2 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2145 64 4 80,2080,-2125,15,16,-227113,-227845,2145,-2064,2144,-2065
RECAL 1 3 1 3 3 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2187 64 4 80,2121,-1254,15,17,-228832,-229142,2187,-1193,2189,-1194
RECAL 1 3 1 4 4 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2119 64 4 80,2054,1172,16,16,-230441,-230510,2119,1238,2118,1236
RECAL 1 3 1 5 5 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2204 64 4 80,2137,2021,17,17,-230575,-231472,2204,2088,2205,2089
RECAL 1 3 1 6 6 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2196 64 4 80,2130,2614,17,16,-233322,-236447,2196,2683,2194,2682
RECAL 1 3 1 7 7 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -442 64 4 80,-476,2637,18,9,-231411,-235058,-442.1,2704,-440,2709
RECAL 1 3 1 8 8 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -351 64 4 80,-397,2050,17,11,-229737,-230524,-351.2,2117,-353,2118
RECAL 1 3 1 9 9 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -720 64 4 80,-774,1222,16,14,-227651,-227654,-719.5,1288,-718,1286
RECAL 1 3 1 10 10 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -449 64 4 80,-504,-1198,15,13,-230180,-230192,-449.5,-1136,-452,-1138
RECAL 1 3 1 11 11 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -645 64 4 80,-699,-2091,15,13,-228954,-230030,-645.1,-2031,-647,-2031
RECAL 1 3 1 12 12 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -488 64 4 80,-545,-2699,15,14,-232241,-235428,-487.9,-2640,-489,-2639
RECAL 1 3 1 13 13 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2264 64 4 80,-2322,-2733,15,15,-230984,-234478,-2264,-2675,-2262,-2673
RECAL 1 3 1 14 14 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2298 64 4 80,-2357,-2137,15,15,-228375,-229516,-2298,-2077,-2297,-2077
RECAL 1 3 1 15 15 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2260 64 4 80,-2316,-1279,15,14,-227936,-228246,-2260,-1219,-2260,-1219
RECAL 1 3 1 16 16 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2322 64 4 80,-2378,1145,16,14,-232218,-232245,-2322,1211,-2322,1209
RECAL 1 3 1 17 17 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2243 64 4 80,-2301,2003,17,15,-232112,-232865,-2243,2069,-2241,2071
RECAL 1 3 1 18 18 33,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2257 64 4 80,-2313,2599,17,14,-233806,-236254,-2257,2667,-2257,2667
RECAL 1 3 2 1 1 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2183 64 4 80,2118,-2797,15,16,-221118,-224088,2183,-2738,2182,-2737
RECAL 1 3 2 2 2 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2095 64 4 80,2029,-2203,15,16,-217407,-219516,2095,-2145,2093,-2143
RECAL 1 3 2 3 3 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2082 64 4 80,2015,-1361,15,17,-217057,-217365,2082,-1300,2083,-1301
RECAL 1 3 2 4 4 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2092 64 4 80,2025,1103,16,17,-218035,-218064,2092,1166,2093,1167
RECAL 1 3 2 5 5 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2152 64 4 80,2085,1998,16,17,-220633,-220656,2152,2061,2153,2062
RECAL 1 3 2 6 6 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2082 64 4 80,2018,2604,17,16,-225480,-226653,2082,2669,2082,2672
RECAL 1 3 2 7 7 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -805 64 4 80,-864,2590,17,15,-225459,-226287,-805.3,2655,-804,2658
RECAL 1 3 2 8 8 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -545 64 4 80,-610,1978,17,16,-219416,-219522,-544.8,2044,-546,2046
RECAL 1 3 2 9 9 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -742 64 4 80,-798,1072,16,14,-218200,-218175,-742.3,1136,-742,1136
RECAL 1 3 2 10 10 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -777 64 4 80,-831,-1386,15,13,-217738,-218143,-777,-1326,-779,-1326
RECAL 1 3 2 11 11 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -748 64 4 80,-803,-2218,15,14,-219717,-221597,-748.4,-2159,-747,-2158
RECAL 1 3 2 12 12 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -397 64 4 80,-448,-2808,15,12,-222062,-224472,-396.6,-2748,-400,-2748
RECAL 1 3 2 13 13 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2232 64 4 80,-2292,-2830,15,15,-225015,-228392,-2232,-2772,-2232,-2770
RECAL 1 3 2 14 14 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2309 64 4 80,-2370,-2248,15,15,-222580,-224515,-2309,-2189,-2310,-2188
RECAL 1 3 2 15 15 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2320 64 4 80,-2379,-1436,15,15,-222039,-222434,-2320,-1376,-2319,-1376
RECAL 1 3 2 16 16 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2311 64 4 80,-2372,1005,17,15,-221707,-221777,-2311,1071,-2312,1073
RECAL 1 3 2 17 17 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2258 64 4 80,-2316,1942,16,14,-224784,-224904,-2258,2008,-2260,2006
RECAL 1 3 2 18 18 34,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2323 64 4 80,-2381,2561,17,14,-230024,-230904,-2323,2626,-2325,2629
RECAL 1 3 3 1 1 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2173 64 4 80,2107,-2705,15,17,-219604,-221984,2173,-2644,2175,-2645
RECAL 1 3 3 2 2 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2203 64 4 80,2138,-2115,15,16,-213197,-214008,2203,-2054,2202,-2055
RECAL 1 3 3 3 3 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2110 64 4 80,2043,-1269,15,17,-214816,-214959,2110,-1207,2111,-1209
RECAL 1 3 3 4 4 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2102 64 4 80,2035,1131,16,17,-214539,-214598,2102,1197,2103,1195
RECAL 1 3 3 5 5 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2184 64 4 80,2120,1982,16,16,-213542,-213539,2184,2047,2184,2046
RECAL 1 3 3 6 6 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2179 64 4 80,2113,2570,17,17,-221864,-223750,2179,2636,2181,2638
RECAL 1 3 3 7 7 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -431 64 4 80,-484,2545,17,13,-221663,-223974,-431,2613,-432,2613
RECAL 1 3 3 8 8 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -366 64 4 80,-416,1950,17,13,-222142,-222794,-365.9,2017,-364,2018
RECAL 1 3 3 9 9 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -719 64 4 80,-777,1084,16,14,-216188,-216186,-719.2,1150,-721,1148
RECAL 1 3 3 10 10 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -695 64 4 80,-753,-1315,16,14,-217011,-217015,-695.4,-1252,-697,-1251
RECAL 1 3 3 11 11 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -224 64 4 80,-275,-2142,15,12,-214854,-215599,-224.1,-2081,-227,-2082
RECAL 1 3 3 12 12 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -458 64 4 80,-522,-2723,15,16,-217779,-220956,-458.3,-2665,-458,-2663
RECAL 1 3 3 13 13 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2240 64 4 80,-2301,-2697,15,15,-220108,-222085,-2240,-2636,-2241,-2637
RECAL 1 3 3 14 14 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2210 64 4 80,-2270,-2107,15,15,-218279,-218496,-2210,-2045,-2210,-2047
RECAL 1 3 3 15 15 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2296 64 4 80,-2356,-1262,16,15,-217202,-217206,-2296,-1197,-2296,-1198
RECAL 1 3 3 16 16 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2303 64 4 80,-2362,1140,17,15,-217645,-217717,-2303,1206,-2302,1208
RECAL 1 3 3 17 17 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2225 64 4 80,-2284,1983,17,15,-218911,-219486,-2225,2049,-2224,2051
RECAL 1 3 3 18 18 35,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 -2236 64 4 80,-2296,2571,17,15,-224263,-226462,-2236,2638,-2236,2639
RECAL 1 3 4 1 1 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2187 64 4 80,2120,-2793,15,17,-223388,-226917,2187,-2735,2188,-2733
RECAL 1 3 4 2 2 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2196 64 4 80,2130,-2207,15,17,-221217,-222152,2196,-2146,2198,-2147
RECAL 1 3 4 3 3 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2148 64 4 80,2082,-1385,16,17,-219668,-219746,2148,-1322,2150,-1321
RECAL 1 3 4 4 4 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2230 64 4 80,2163,1056,17,17,-221455,-221763,2230,1124,2231,1124
RECAL 1 3 4 5 5 36,RECAL 3 0 9999 9999 64 4 80,RECAL 3 1 9999 2244 64 4 80,2175,1961,17,17,-224799,-226484,2244,2030,2243,2029
