base_dac_y,base_dac_x,max_cross_x_index,max_cross_y_index,max_cross_x,max_cross_y,fit_x,fit_y
2162,-2272,16,15,-242563,-242602,2223,-2205
2152,-1448,17,16,-243615,-243657,2215,-1382
2147,1031,15,15,-241207,-241247,2208,1093
2135,1975,15,16,-240054,-240817,2198,2035
2129,2602,15,16,-240100,-240284,2192,2664
210,2617,15,14,-243149,-244062,263.5,2678
258,1993,15,19,-240914,-241345,335.3,2054
339,1067,15,15,-243858,-243904,396.8,1129
393,-1421,17,16,-242668,-242799,458.5,-1354
432,-2254,17,17,-243147,-243372,498.5,-2188
139,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2236,-2876,17,16,-242394,-243229,-2171,-2808
-2191,-2288,16,16,-240770,-240833,-2125,-2222
-2201,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2209,1029,15,16,-239471,-239690,-2143,1090
-2217,1971,15,16,-241948,-242568,-2153,2031
-2230,2599,15,17,-244192,-245379,-2163,2659
2095,-2765,16,16,-240220,-240187,2159,-2699
2014,-2164,16,16,-244113,-244116,2078,-2099
2015,-1294,16,15,-243309,-243384,2077,-1230
2115,1167,15,16,-246204,-246208,2179,1229
2117,2035,15,16,-246231,-246365,2180,2097
2117,2638,15,16,-249205,-250659,2181,2698
-2.157e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-408,2075,15,19,-241878,-242731,-332.3,2135
-401,1233,16,16,-243452,-243464,-337,1296
-835,-1220,16,16,-239808,-239801,-769.5,-1156
-842,-2122,17,17,-241556,-241691,-772.9,-2056
-569,-2731,16,18,-239825,-239770,-495.8,-2664
-2306,-2761,16,16,-237876,-237975,-2240,-2696
-2378,-2161,16,16,-240978,-240996,-2313,-2095
-2380,-1290,16,17,-240100,-240109,-2313,-1226
-2286,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2281,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2284,2632,16,17,-243996,-244056,-2217,2692
2159,-2704,17,16,-237235,-237539,2223,-2638
2076,-2110,16,16,-238404,-238408,2139,-2045
2153,-1257,16,16,-237836,-237857,2217,-1191
2143,1154,NULL,NULL,NULL,NULL,NULL,NULL
2138,2001,26,30,-519436,-519062,2256,2106
2135,2588,29,9,-518945,-519499,2171,2704
-290,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,2026,NULL,NULL,NULL,NULL,NULL,NULL
-132,1206,9,28,-518755,-519219,-19.53,1320
265,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-601,-2078,NULL,NULL,NULL,NULL,NULL,NULL
290,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2.132e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2307,-2118,8,16,-518824,-519107,-2243,-2084
-2235,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2.132e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2251,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2261,2578,5,19,-519425,-519282,-2183,2597
2117,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2138,-2276,26,17,-518743,-519171,2205,-2172
2167,-1469,9,25,-519234,-518973,2268,-1417
2110,986,18,21,-518216,-519043,2194,1071
2158,1942,NULL,NULL,NULL,NULL,NULL,NULL
2235,2570,30,9,-518576,-517163,2271,2688
711,NULL,NULL,NULL,NULL,NULL,NULL,NULL
395,2001,13,24,-518654,-518847,490.6,2051
-299,1094,19,13,-518136,-518201,-247.6,1213
423,-1378,NULL,NULL,NULL,NULL,NULL,NULL
251,-2219,14,7,-519247,-518941,277.9,-2163
-216,-2813,NULL,NULL,NULL,NULL,NULL,NULL
-2256,-2829,10,20,-519144,-519396,-2176,-2788
-2229,-2240,22,16,-518222,-518536,-2220,-2224
-2201,-1415,NULL,NULL,NULL,NULL,NULL,NULL
-2257,1049,32,1,-518794,-519309,-2251,1165
-2208,1974,NULL,NULL,NULL,NULL,NULL,NULL
-2126,2592,9,29,-518727,-518555,-2008,2628
2116,-2861,12,8,-517559,-518622,2132,-2803
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2029,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2092,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2089,2543,4,27,-518854,-518178,2092,2559
-497,2500,NULL,NULL,NULL,NULL,NULL,NULL
-466,1854,13,8,-518875,-518453,-400.2,1908
-722,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-357,-1560,3,15,-518999,-518219,-296.5,-1549
-774,-2329,17,2,-519069,-518652,-765.6,-2260
-221,-2898,9,9,-518955,-518959,-182,-2862
-2261,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2349,-2317,5,5,-519146,-518795,-2329,-2299
-2266,-1545,0,2,-519155,-519447,-2258,-1545
-2337,849,NULL,NULL,NULL,NULL,NULL,NULL
-2280,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2286,2507,0,29,-518632,-518890,-2170,2546
2168,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2081,-2081,9,28,-518960,-519189,2195,-2047
2160,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2156,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2150,1982,NULL,NULL,NULL,NULL,NULL,NULL
2138,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220,2592,6,28,-518962,-519118,331.6,2616
330,2016,29,9,-518954,-519140,364.2,2069
354,1207,5,4,-518640,-518703,390.7,1294
376,-1162,24,2,-519382,-519361,385.1,-1065
-488,-2042,NULL,NULL,NULL,NULL,NULL,NULL
419,-2639,NULL,NULL,NULL,NULL,NULL,NULL
-2197,-2672,NULL,NULL,NULL,NULL,NULL,NULL
-2280,-2085,0,23,-519285,-518686,-2280,-2055
-2201,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2203,1132,NULL,NULL,NULL,NULL,NULL,NULL
-2212,1969,24,31,-518911,-519316,-2121,2066
-2229,2555,4,7,-519101,-518540,-2199,2570
2144,-2695,NULL,NULL,NULL,NULL,NULL,NULL
2080,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2057,-1252,12,27,-518741,-519337,2163,-1205
2061,1149,NULL,NULL,NULL,NULL,NULL,NULL
2063,1990,21,27,-518180,-519028,2172,2071
2126,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-283,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-654,1950,17,5,-518334,-518970,-634.1,2019
-661,1080,13,10,-518684,-518824,-620.8,1133
-687,-1316,24,13,-518442,-518464,-632.2,-1221
-585,-2142,18,28,-518545,-518571,-472.9,-2072
103,-2725,28,29,-518120,-518317,216.1,-2616
-2255,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2309,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2328,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2328,1136,25,23,-518924,-518883,-2236,1238
-2325,1981,2,21,-518880,-518596,-2242,1989
-2270,2568,10,6,-518274,-518696,-2194,2606
2086,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2063,-2119,28,7,-518783,-518134,2127,-2008
2093,-1249,20,28,-518583,-519073,2205,-1208
2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2080,2022,NULL,NULL,NULL,NULL,NULL,NULL
2063,2618,14,19,-519370,-518825,2137,2676
-119,2636,NULL,NULL,NULL,NULL,NULL,NULL
256,2045,9,14,-519206,-519215,314,2083
-485,1216,12,20,-517869,-518791,-405.6,1313
321,-1205,22,11,-518967,-518669,362.5,-1177
35,-2095,NULL,NULL,NULL,NULL,NULL,NULL
285,-2701,6,3,-518824,-518841,296.8,-2598
-2169,-2724,4,26,-519325,-518919,-2066,-2707
-2158,-1264,15,10,-519336,-518901,-2119,-1206
-2187,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2229,1158,7,28,-519183,-519245,-2117,1186
-2170,2012,10,18,-519174,-518754,-2099,2082
-2191,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2352,-2792,3,7,-518755,-518957,2380,-2780
2319,-2173,6,30,-518904,-519423,2438,-2120
2282,-1271,14,0,-518847,-518870,2282,-1218
2255,1224,11,11,-519145,-519229,2298,1269
2304,2089,22,16,-519165,-519118,2367,2177
2280,2696,11,12,-518680,-518956,2395,2740
778,2674,11,3,-518474,-518658,790.5,2718
823,2061,NULL,NULL,NULL,NULL,NULL,NULL
669,1179,NULL,NULL,NULL,NULL,NULL,NULL
758,-1318,NULL,NULL,NULL,NULL,NULL,NULL
864,-2201,NULL,NULL,NULL,NULL,NULL,NULL
960,-2811,NULL,NULL,NULL,NULL,NULL,NULL
-2047,-2793,15,8,-518250,-518868,-2039,-2749
-2081,-2175,23,2,-519020,-518782,-2073,-2084
-2121,-1279,NULL,NULL,NULL,NULL,NULL,NULL
-2152,1213,13,28,-518300,-519040,-2039,1264
-2099,2084,NULL,NULL,NULL,NULL,NULL,NULL
-2125,2689,NULL,NULL,NULL,NULL,NULL,NULL
2168,-2779,11,5,-519011,-518097,2186,-2678
2079,-2169,NULL,NULL,NULL,NULL,NULL,NULL
2159,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2152,1212,24,31,-518567,-518679,2276,1309
2121,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2136,2682,NULL,NULL,NULL,NULL,NULL,NULL
-265,2643,29,32,-518821,-518655,-174,2758
-375,2029,NULL,NULL,NULL,NULL,NULL,NULL
-2.157e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,-1360,19,20,-518956,-518672,359.8,-1284
-623,NULL,NULL,NULL,NULL,NULL,NULL,NULL
318,-2813,NULL,NULL,NULL,NULL,NULL,NULL
-2239,-2781,17,11,-519321,-519101,-2194,-2712
-2322,-2176,11,21,-518757,-518844,-2237,-2135
-2244,-1296,25,17,-518881,-518926,-2175,-1193
-2251,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2282,2066,22,28,-519049,-518172,-2169,2152
-2275,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2088,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2061,-2199,22,6,-519645,-519526,2087,-2109
2033,-1324,5,13,-519147,-518979,2085,-1304
2145,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2099,2054,21,23,-518609,-519529,2190,2122
2173,2662,4,14,-519030,-519535,2229,2751
329,2707,NULL,NULL,NULL,NULL,NULL,NULL
-530,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-781,-1227,NULL,NULL,NULL,NULL,NULL,NULL
-694,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-597,-2760,NULL,NULL,NULL,NULL,NULL,NULL
-2318,-2783,17,7,-519226,-518464,-2209,-2715
-2342,-2172,NULL,NULL,NULL,NULL,NULL,NULL
-2367,-1284,23,12,-518681,-518914,-2320,-1192
-2263,1207,19,8,-518955,-518795,-2198,1283
-2307,2075,18,15,-518358,-519045,-2246,2111
-2236,2681,27,2,-518398,-519192,-2227,2691
2168,-2736,6,8,-519266,-519215,2200,-2710
2080,-2138,21,22,-518509,-519086,2169,-2106
2062,-1276,17,5,-519297,-519661,2084,-1205
2142,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2125,2002,NULL,NULL,NULL,NULL,NULL,NULL
2114,2604,NULL,NULL,NULL,NULL,NULL,NULL
-535,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-484,2035,NULL,NULL,NULL,NULL,NULL,NULL
-353,1194,12,11,-519047,-517446,-310.3,1242
-743,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-690,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,-2707,23,21,-519424,-518736,252,-2619
-2258,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2335,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2354,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2281,1172,NULL,NULL,NULL,NULL,NULL,NULL
-2297,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2306,2616,30,17,-518827,-519159,-2235,2737
2118,-2862,NULL,NULL,NULL,NULL,NULL,NULL
2032,-2280,NULL,NULL,NULL,NULL,NULL,NULL
2015,-1477,NULL,NULL,NULL,NULL,NULL,NULL
1999,979,28,29,-518816,-519011,2117,1090
2075,1937,3,10,-518667,-518485,2113,1949
2062,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-605,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-503,1904,20,8,-518306,-519193,-472.2,1908
-806,918,15,16,-518842,-518406,-741.9,977.8
2.221e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-706,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-186,-2882,29,1,-518894,-517879,-182.9,-2766
-2240,-2860,12,21,-519304,-519051,-2158,-2812
-2322,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2339,-1478,22,20,-518618,-519595,-2258,-1377
-2354,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2282,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2299,2560,11,25,-518756,-519116,-2197,2673
2337,-2714,NULL,NULL,NULL,NULL,NULL,NULL
2253,-2110,NULL,NULL,NULL,NULL,NULL,NULL
2253,-1227,25,31,-518406,-518902,2378,-1127
2322,1193,4,30,-518821,-519292,2441,1234
2320,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2314,2625,NULL,NULL,NULL,NULL,NULL,NULL
816,2594,24,3,-518513,-519701,829.3,2691
803,1995,13,29,-518331,-519523,917.4,2105
-2.157e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
615,NULL,NULL,NULL,NULL,NULL,NULL,NULL
613,-2142,11,0,-518627,-519017,642,-2036
878,-2740,10,29,-518886,-519277,993.7,-2700
-2100,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2187,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2186,-1285,NULL,NULL,NULL,NULL,NULL,NULL
-2112,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2121,1998,13,21,-519061,-518116,-2016,2053
-2128,2596,31,15,-518715,-519143,-2068,2721
2251,-2683,12,9,-518688,-518942,2285,-2636
2244,-2097,27,16,-518608,-518962,2312,-1988
2249,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2162,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2249,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2255,2572,27,24,-518941,-519208,2351,2681
823,2540,31,26,-519444,-519365,928.7,2663
794,1942,NULL,NULL,NULL,NULL,NULL,NULL
497,NULL,NULL,NULL,NULL,NULL,NULL,NULL
791,-1317,5,24,-519106,-518271,886.9,-1299
780,-2134,28,5,-519110,-518344,798.1,-2024
793,-2714,4,26,-518284,-519325,896.9,-2698
-2077,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2074,-2097,4,27,-518822,-518696,-2054,-2081
-2065,-1246,2,13,-519051,-518878,-2014,-1241
-2162,1140,7,14,-518738,-519352,-2107,1169
-2066,1980,NULL,NULL,NULL,NULL,NULL,NULL
-2067,2569,NULL,NULL,NULL,NULL,NULL,NULL
2295,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2222,-2120,NULL,NULL,NULL,NULL,NULL,NULL
2222,-1263,NULL,NULL,NULL,NULL,NULL,NULL
2249,1147,10,11,-518305,-518679,2293,1253
2309,1997,16,12,-518425,-518609,2328,2064
2312,2588,13,4,-518552,-518348,2327,2639
920,NULL,NULL,NULL,NULL,NULL,NULL,NULL
902,1959,NULL,NULL,NULL,NULL,NULL,NULL
740,NULL,NULL,NULL,NULL,NULL,NULL,NULL
658,NULL,NULL,NULL,NULL,NULL,NULL,NULL
667,NULL,NULL,NULL,NULL,NULL,NULL,NULL
879,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2063,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2137,-2143,7,15,-518701,-519015,-2074,-2114
-2136,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2108,1105,25,2,-518970,-518573,-2098,1205
-2042,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2042,2564,NULL,NULL,NULL,NULL,NULL,NULL
2132,-2726,31,10,-519461,-519045,2170,-2628
2135,-2146,10,14,-519070,-518866,2191,-2106
2144,-1312,6,1,-518898,-518877,2148,-1287
2147,1087,3,0,-518724,-518757,2149,1100
2068,1959,21,18,-517781,-518847,2141,2041
2157,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-256,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-744,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-339,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-375,-1245,26,2,-518824,-518664,-368.3,-1144
-452,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-480,-2698,0,7,-518961,-518663,-452.9,-2698
-2322,-2696,7,20,-518292,-518541,-2241,-2607
-2318,-2111,13,28,-518958,-518492,-2205,-2060
-2308,-1249,21,28,-519030,-518586,-2194,-1164
-2305,1153,23,30,-519381,-517928,-2187,1243
-2377,1997,18,24,-519013,-518777,-2282,2072
2.22e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2144,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2174,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2088,-1247,NULL,NULL,NULL,NULL,NULL,NULL
2169,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2161,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2155,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-504,NULL,NULL,NULL,NULL,NULL,NULL,NULL
431,1947,14,28,-519006,-518780,544.6,2000
474,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-400,-1244,17,31,-518929,-518724,-274.8,-1177
489,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339,-2658,11,24,-518825,-518174,434.3,-2615
-2209,-2673,25,28,-518714,-518927,-2097,-2574
-2176,-2095,24,4,-518926,-518609,-2061,-1998
-2262,-1269,28,8,-518400,-518986,-2230,-1159
-2179,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2189,1929,15,4,-518622,-519052,-2172,2041
-2274,2514,NULL,NULL,NULL,NULL,NULL,NULL
2289,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2288,-2182,1,16,-519108,-519041,2354,-2069
2199,-1293,NULL,NULL,NULL,NULL,NULL,NULL
2295,1209,23,3,-519139,-518607,2310,1301
2224,2084,14,3,-519530,-518986,2236,2140
2252,2698,5,6,-518941,-517993,2297,2719
270,2663,NULL,NULL,NULL,NULL,NULL,NULL
-299,NULL,NULL,NULL,NULL,NULL,NULL,NULL
516,1141,NULL,NULL,NULL,NULL,NULL,NULL
-464,-1362,9,6,-518454,-519035,-441.2,-1261
487,-2227,NULL,NULL,NULL,NULL,NULL,NULL
491,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2293,-2800,NULL,NULL,NULL,NULL,NULL,NULL
-2291,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2379,-1289,3,11,-519548,-519072,-2337,-1276
-2281,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2358,2077,11,15,-518554,-518972,-2282,2120
-2327,2686,19,8,-519550,-518956,-2294,2761
2379,-2740,12,9,-519043,-519190,2419,-2693
2350,-2134,NULL,NULL,NULL,NULL,NULL,NULL
2312,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2316,1172,19,31,-518672,-518622,2441,1247
2402,2028,15,9,-518680,-519129,2436,2087
2418,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1043,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1011,2034,5,29,-519101,-518995,1128,2053
784,NULL,NULL,NULL,NULL,NULL,NULL,NULL
770,-1263,NULL,NULL,NULL,NULL,NULL,NULL
860,NULL,NULL,NULL,NULL,NULL,NULL,NULL
955,-2736,7,23,-518595,-518797,1048,-2709
-2072,-2762,21,7,-519174,-519236,-2044,-2679
-2097,-2161,19,7,-518957,-518865,-2070,-2086
-2136,-1317,32,18,-519016,-519072,-2063,-1288
-2135,1126,9,10,-519149,-519220,-2094,1166
-2034,2001,NULL,NULL,NULL,NULL,NULL,NULL
-2029,2611,31,24,-518995,-518746,-2009,2630
2307,-2982,13,2,-518435,-517864,2349,-2932
2260,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2254,-1404,NULL,NULL,NULL,NULL,NULL,NULL
2365,1242,NULL,NULL,NULL,NULL,NULL,NULL
2365,2188,1,19,-518668,-518542,2441,2194
2371,2836,NULL,NULL,NULL,NULL,NULL,NULL
-534,2862,32,15,-518770,-519127,-473.5,2959
-518,2225,2,12,-518736,-518882,-508.3,2233
-536,1323,NULL,NULL,NULL,NULL,NULL,NULL
-943,-1325,14,5,-518932,-518297,-888.7,-1267
-930,-2286,10,31,-518725,-519175,-909.1,-2244
-814,-2945,14,14,-518778,-518208,-758.4,-2889
-2626,-2970,NULL,NULL,NULL,NULL,NULL,NULL
-2661,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2672,-1386,12,7,-519053,-518825,-2647,-1338
-2568,1258,24,2,-519007,-519092,-2527,1278
-2567,2199,18,14,-518813,-518920,-2511,2272
-2566,2839,NULL,NULL,NULL,NULL,NULL,NULL
2218,-2774,9,15,-518694,-518446,2276,-2662
2163,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2216,-1301,26,24,-519042,-518489,2312,-1195
2193,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2170,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2162,2662,9,3,-518047,-518562,2254,2697
104,2644,9,22,-518718,-519115,192.5,2680
230,NULL,NULL,NULL,NULL,NULL,NULL,NULL
358,1156,13,30,-518508,-518565,478.4,1208
508,-1328,12,14,-518899,-518811,567.1,-1279
202,-2194,12,30,-518900,-518623,322.5,-2145
537,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2218,-2774,16,28,-518899,-519014,-2178,-2739
-2271,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2213,-1276,NULL,NULL,NULL,NULL,NULL,NULL
-2244,1201,NULL,NULL,NULL,NULL,NULL,NULL
-2267,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2280,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2101,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2112,-1319,27,8,-518619,-518305,2144,-1210
2098,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2105,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2136,2650,2,28,-519159,-518724,2248,2657
-490,2684,14,14,-519330,-519127,-432.5,2740
-661,2089,NULL,NULL,NULL,NULL,NULL,NULL
-670,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-603,-1240,20,14,-519077,-519303,-547,-1163
-957,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-723,-2754,11,14,-518941,-519241,-666,-2709
-2378,-2793,20,1,-519131,-519324,-2375,-2710
-2453,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2355,-1309,17,12,-519262,-518951,-2308,-1273
-2370,1175,25,24,-519001,-519131,-2271,1271
-2360,2044,31,7,-518636,-518927,-2334,2123
-2333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2218,-2771,22,15,-519038,-518863,2240,-2682
2130,-2161,NULL,NULL,NULL,NULL,NULL,NULL
2219,-1271,NULL,NULL,NULL,NULL,NULL,NULL
2112,1184,NULL,NULL,NULL,NULL,NULL,NULL
2198,2050,NULL,NULL,NULL,NULL,NULL,NULL
2193,2650,NULL,NULL,NULL,NULL,NULL,NULL
-263,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-169,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-732,1096,3,10,-519039,-518872,-692.3,1107
261,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-659,-2205,19,16,-518637,-518421,-594.8,-2129
204,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2307,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2381,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2304,-1277,25,27,-518307,-518721,-2198,-1206
-2402,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2326,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2327,2645,17,5,-519041,-519214,-2308,2715
2344,-2733,NULL,NULL,NULL,NULL,NULL,NULL
2269,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2338,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2249,1182,10,18,-519191,-518766,2321,1224
2326,2037,3,25,-519484,-518582,2422,2050
2310,2633,12,10,-518953,-518987,2350,2681
830,2591,NULL,NULL,NULL,NULL,NULL,NULL
876,1983,15,19,-519229,-518436,951.4,2041
614,NULL,NULL,NULL,NULL,NULL,NULL,NULL
886,NULL,NULL,NULL,NULL,NULL,NULL,NULL
650,-2175,28,22,-518520,-518217,737.1,-2061
917,-2767,18,16,-518433,-518041,950.2,-2679
-2094,-2736,NULL,NULL,NULL,NULL,NULL,NULL
-2185,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2086,-1245,7,20,-519259,-518605,-1973,-1217
-2192,1185,1,10,-519140,-519006,-2152,1229
-2098,2028,NULL,NULL,NULL,NULL,NULL,NULL
-2124,2628,NULL,NULL,NULL,NULL,NULL,NULL
2242,-2773,18,25,-518938,-519354,2341,-2700
2152,-2163,NULL,NULL,NULL,NULL,NULL,NULL
2152,-1298,NULL,NULL,NULL,NULL,NULL,NULL
2177,1151,NULL,NULL,NULL,NULL,NULL,NULL
2235,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2264,NULL,NULL,NULL,NULL,NULL,NULL,NULL
722,2672,15,19,-519086,-518568,750.8,2730
619,2068,17,22,-518874,-518199,703.9,2136
321,1234,3,28,-519089,-518888,366.1,1346
200,-1214,NULL,NULL,NULL,NULL,NULL,NULL
140,-2110,12,21,-518517,-519445,220.8,-2039
642,-2735,NULL,NULL,NULL,NULL,NULL,NULL
-2173,-2759,30,22,-518800,-518849,-2085,-2697
-2261,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2260,-1274,14,9,-518923,-519073,-2224,-1217
-2239,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2172,2023,NULL,NULL,NULL,NULL,NULL,NULL
-2151,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2345,-2718,4,25,-518855,-518767,2446,-2670
2265,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2266,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2269,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2346,2000,27,5,-519247,-519074,2367,2110
2341,NULL,NULL,NULL,NULL,NULL,NULL,NULL
949,NULL,NULL,NULL,NULL,NULL,NULL,NULL
953,2032,NULL,NULL,NULL,NULL,NULL,NULL
728,1211,22,26,-518914,-519168,849.7,1298
721,-1198,17,9,-518935,-518867,758.1,-1133
738,-2088,5,19,-519568,-518723,814.4,-2070
941,-2682,NULL,NULL,NULL,NULL,NULL,NULL
-2052,-2706,26,16,-519005,-519075,-1987,-2603
-2132,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2132,-1275,18,28,-518859,-518958,-2020,-1257
-2131,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2037,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2050,2585,5,27,-519029,-519072,-1942,2693
2258,-2751,22,17,-518917,-518840,2326,-2665
2258,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2264,-1282,2,5,-518849,-518410,2285,-1274
2210,1175,31,6,-518615,-519190,2231,1225
2255,2036,NULL,NULL,NULL,NULL,NULL,NULL
