base_dac_y,base_dac_x,max_cross_x_index,max_cross_y_index,max_cross_x,max_cross_y,fit_x,fit_y
248,-2881,16,12,-235946,-235905,296.8,-2816
-2215,-2883,16,16,-236616,-236637,-2153,-2818
-2292,-2310,16,16,-237400,-237452,-2226,-2248
-2287,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2204,855,17,16,-233581,-233607,-2139,921.3
-2196,1868,16,16,-235562,-235612,-2131,1933
-2195,2510,16,16,-235092,-235090,-2129,2573
2147,-2737,16,16,-234725,-234788,2211,-2672
2068,-2139,16,15,-233178,-233184,2128,-2073
2060,-1270,16,16,-233539,-233518,2124,-1205
2155,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2148,2020,16,16,-233469,-233483,2212,2082
2151,2616,16,15,-235081,-235095,2213,2678
-269,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-287,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-217,1226,16,19,-235290,-235321,-137.3,1290
-739,-1197,17,15,-233857,-233907,-679,-1130
-738,-2095,16,16,-233151,-233127,-676.1,-2029
-152,-2703,16,0,-237304,-237225,-152,-2638
-2286,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2356,-2135,16,16,-232462,-232444,-2292,-2070
-2361,-1272,17,16,-233313,-233462,-2296,-1205
-2275,1158,16,16,-233036,-233050,-2211,1221
-2282,2015,16,17,-235529,-235510,-2214,2077
-2287,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2138,-2681,16,16,-239427,-239423,2202,-2615
2041,-2092,16,16,-237374,-237434,2103,-2026
2042,-1242,17,16,-239220,-239324,2105,-1175
2128,1136,16,16,-237890,-237890,2192,1198
2126,1978,16,15,-234142,-234181,2187,2041
2117,2563,16,16,-235130,-235116,2181,2626
-182,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-134,2012,16,0,-237177,-237175,-134,2076
-253,1201,16,25,-239032,-239026,-155.8,1263
-709,-1177,NULL,NULL,NULL,NULL,NULL,NULL
-723,-2052,16,17,-238020,-238029,-653,-1986
153,-2648,16,15,-238366,-238336,212.8,-2583
-2239,-2680,16,16,-244151,-244186,-2173,-2619
-2332,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2334,-1250,16,17,-235718,-235717,-2266,-1185
-2.158e+04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-2255,1969,16,16,-235404,-235427,-2190,2032
-2256,2557,16,17,-235334,-235362,-2189,2620
2128,-2726,16,16,-240580,-240629,2190,-2663
2096,-2130,16,16,-237510,-237493,2160,-2066
2074,-1267,16,16,-241838,-241835,2138,-1202
2136,1149,16,16,-240463,-240496,2199,1212
