cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101
RECAL 3 0 9999 9999 64 4 80,2122,-337202,-324962,-313595,-303032,-293311,-284410,-276174,-268682,-261985,-256043,-250880,-246471,-242819,-239893,-237750,-236330,-235671,-235759,-236629,-238253,-240655,-243840,-247788,-252478,-257955,-264258,-271346,-279280,-288044,-297596,-307928,-319285,-331553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2187 64 4 80,-2727,-510754,-502117,-487553,-466554,-438539,-406740,-374288,-343939,-316787,-293330,-273968,-258186,-246262,-238106,-233647,-232808,-235515,-241714,-251297,-264405,-280777,-300098,-322231,-346614,-372668,-399947,-427217,-454537,-480251,-499529,-510891,-514976,-518180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2080,-325338,-313510,-302460,-292264,-282815,-274139,-266242,-259062,-252747,-247096,-242156,-237952,-234472,-231712,-229699,-228399,-227845,-228046,-228992,-230704,-233190,-236463,-240522,-245377,-250947,-257426,-264772,-272940,-281970,-291868,-302638,-314333,-326967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2145 64 4 80,-2125,-459255,-437486,-414493,-390906,-367703,-345049,-323641,-303949,-286331,-270885,-257707,-246911,-238498,-232442,-228646,-227113,-227799,-230687,-235772,-243027,-252236,-263619,-276932,-292086,-308867,-327094,-346528,-366812,-388059,-409746,-431574,-453111,-474011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2121,-337023,-324339,-312481,-301402,-291204,-281735,-273052,-265077,-257909,-251550,-245984,-241218,-237221,-234026,-231645,-230031,-229177,-229142,-229896,-231466,-233843,-237059,-241080,-245879,-251482,-257952,-265286,-273440,-282480,-292390,-303023,-314729,-327303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2187 64 4 80,-1254,-321331,-309915,-299057,-288909,-279464,-270792,-262911,-255858,-249634,-244220,-239694,-235909,-232935,-230778,-229413,-228832,-229034,-230006,-231714,-234161,-237319,-241205,-245795,-251055,-257007,-263638,-270786,-278661,-287127,-296080,-305574,-315556,-325935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2054,-327538,-315733,-304710,-294493,-285087,-276440,-268545,-261435,-255129,-249554,-244681,-240536,-237101,-234375,-232367,-231100,-230510,-230622,-231467,-233017,-235322,-238354,-242143,-246716,-252093,-258263,-265253,-273035,-281659,-291133,-301417,-312483,-324591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2119 64 4 80,1172,-332828,-321768,-311180,-301089,-291443,-282383,-273945,-266190,-259126,-252806,-247258,-242537,-238494,-235264,-232830,-231219,-230441,-230487,-231391,-233136,-235712,-239146,-243431,-248579,-254597,-261512,-269307,-277844,-287340,-297597,-308730,-320611,-333164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2137,-339994,-327142,-315168,-303936,-293604,-284138,-275450,-267578,-260499,-254195,-248754,-243994,-239978,-236748,-234277,-232578,-231638,-231472,-232083,-233446,-235576,-238479,-242149,-246613,-251850,-257915,-264716,-272404,-280958,-290415,-300700,-312007,-324246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2204 64 4 80,2021,-482084,-463132,-442246,-420318,-397996,-375868,-354597,-334514,-315491,-298054,-282441,-268700,-256953,-247353,-239852,-234519,-231392,-230575,-232112,-236035,-242412,-251235,-262539,-276119,-292318,-310901,-331736,-354488,-378683,-403730,-428487,-451749,-472979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2130,-334261,-322379,-311357,-301192,-291755,-283080,-275178,-268034,-261645,-255996,-251065,-246866,-243409,-240593,-238505,-237113,-236447,-236484,-237252,-238734,-240940,-243835,-247435,-251797,-256874,-262731,-269329,-276743,-284812,-293795,-303672,-314450,-326168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2196 64 4 80,2614,-518013,-516398,-512468,-503933,-488587,-465217,-437252,-407143,-377374,-349411,-323795,-301230,-281864,-265571,-252483,-242721,-236296,-233322,-233843,-237886,-245620,-257119,-272494,-291782,-315009,-342172,-372951,-407061,-441491,-471755,-492448,-505110,-511933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-476,-235816,-235637,-235486,-235360,-235261,-235193,-235119,-235084,-235065,-235058,-235080,-235112,-235173,-235248,-235339,-235453,-235585,-235708,-235859,-236027,-236213,-236402,-236606,-236832,-237055,-237290,-237551,-237804,-238078,-238352,-238654,-238955,-239268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -442 64 4 80,2637,-518907,-517163,-512714,-505656,-491746,-469517,-441589,-411392,-381275,-352744,-326582,-303257,-283068,-266247,-252458,-242049,-235023,-231456,-231411,-234953,-242145,-253107,-268157,-287310,-310606,-338242,-369975,-405393,-441635,-473106,-494537,-504046,-512031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-397,-231545,-231367,-231205,-231054,-230940,-230825,-230739,-230675,-230609,-230573,-230542,-230524,-230531,-230545,-230572,-230605,-230654,-230720,-230798,-230886,-230980,-231089,-231195,-231330,-231458,-231595,-231760,-231917,-232071,-232254,-232419,-232603,-232779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -351 64 4 80,2050,-490200,-471952,-451061,-428418,-405157,-381989,-359620,-338471,-318537,-300207,-283792,-269333,-257039,-246971,-239161,-233656,-230539,-229737,-231353,-235422,-242010,-251107,-262763,-276975,-293513,-312364,-333493,-356647,-381319,-406899,-432213,-455860,-476761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-774,-235250,-234132,-233125,-232200,-231365,-230622,-229963,-229396,-228910,-228507,-228180,-227930,-227765,-227671,-227654,-227719,-227872,-228096,-228361,-228726,-229145,-229634,-230177,-230794,-231479,-232215,-233018,-233861,-234767,-235728,-236731,-237808,-238925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -720 64 4 80,1222,-338248,-325949,-314194,-303005,-292514,-282710,-273613,-265372,-257912,-251255,-245383,-240309,-236063,-232667,-230127,-228468,-227651,-227725,-228700,-230570,-233355,-237070,-241728,-247344,-253977,-261618,-270261,-279869,-290438,-301903,-314310,-327311,-341350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-504,-232991,-232572,-232199,-231852,-231544,-231267,-231027,-230821,-230641,-230491,-230370,-230290,-230223,-230192,-230195,-230218,-230262,-230345,-230441,-230554,-230697,-230867,-231051,-231253,-231479,-231720,-231976,-232252,-232545,-232845,-233166,-233504,-233860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -449 64 4 80,-1198,-315892,-305109,-295015,-285638,-276995,-269119,-261979,-255550,-249877,-244899,-240663,-237123,-234360,-232260,-230874,-230180,-230188,-230873,-232224,-234265,-236989,-240389,-244450,-249168,-254520,-260520,-267130,-274358,-281996,-290322,-299090,-308432,-318219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-699,-235688,-234828,-234060,-233370,-232723,-232152,-231665,-231248,-230884,-230601,-230372,-230193,-230086,-230030,-230035,-230080,-230196,-230355,-230570,-230831,-231143,-231504,-231911,-232368,-232868,-233418,-234023,-234658,-235330,-236049,-236801,-237596,-238419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -645 64 4 80,-2091,-451528,-429347,-405830,-382147,-359346,-337690,-317507,-299121,-282757,-268467,-256349,-246569,-238869,-233364,-230084,-228954,-229987,-233143,-238421,-245799,-255341,-266978,-280604,-296074,-313322,-332115,-352222,-372968,-394675,-416676,-438387,-459469,-478946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-545,-238540,-238093,-237671,-237312,-236959,-236681,-236415,-236181,-235981,-235829,-235690,-235580,-235514,-235466,-235428,-235444,-235470,-235534,-235601,-235708,-235839,-236002,-236171,-236365,-236594,-236831,-237091,-237367,-237657,-237967,-238312,-238658,-239005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -488 64 4 80,-2699,-510583,-500761,-485821,-463235,-434407,-402219,-370113,-340473,-313946,-291067,-271930,-256553,-244850,-236910,-232733,-232241,-235351,-242061,-252223,-265618,-282434,-302287,-324888,-349890,-376489,-404420,-432513,-459391,-484446,-501859,-511624,-516304,-517644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2322,-322215,-310003,-298829,-288706,-279489,-271278,-263841,-257267,-251553,-246699,-242640,-239406,-236966,-235339,-234505,-234478,-235264,-236865,-239269,-242470,-246454,-251162,-256737,-263166,-270374,-278443,-287336,-297036,-307642,-319058,-331261,-344373,-358338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2264 64 4 80,-2733,-510701,-502481,-490162,-465600,-433356,-398428,-364939,-334925,-308663,-286316,-267754,-253019,-242202,-234851,-231131,-230984,-234344,-241197,-251422,-265055,-282091,-302414,-325792,-351882,-380075,-409643,-439045,-466748,-489641,-505078,-513245,-517864,-518642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2357,-327506,-313805,-301279,-289931,-279621,-270327,-262137,-254927,-248653,-243300,-238836,-235247,-232533,-230688,-229693,-229516,-230174,-231671,-233998,-237144,-241136,-245945,-251637,-258215,-265676,-273974,-283148,-293178,-304102,-315959,-328543,-342238,-356849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2298 64 4 80,-2137,-467461,-444928,-420055,-394206,-368899,-345097,-323068,-303462,-285819,-270481,-257514,-246980,-238814,-232989,-229537,-228375,-229484,-232795,-238313,-246034,-255896,-267942,-282029,-297870,-315803,-335404,-356461,-378552,-401501,-424287,-446438,-467797,-486094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2316,-314247,-301913,-290672,-280457,-271314,-263002,-255614,-249156,-243603,-238902,-235071,-232113,-229966,-228679,-228246,-228652,-229909,-231988,-234899,-238637,-243135,-248502,-254689,-261755,-269622,-278363,-287947,-298373,-309522,-321541,-334394,-348184,-362710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2260 64 4 80,-1279,-322693,-310616,-299300,-288873,-279205,-270374,-262392,-255239,-248940,-243416,-238730,-234895,-231900,-229748,-228429,-227936,-228235,-229350,-231265,-233964,-237465,-241737,-246761,-252543,-259053,-266223,-274059,-282595,-291777,-301574,-311998,-322981,-334296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2378,-323560,-310285,-298225,-287512,-277643,-268805,-260977,-254126,-248250,-243319,-239278,-236202,-234010,-232693,-232245,-232647,-233892,-235968,-238894,-242602,-247186,-252609,-258869,-266002,-273951,-282803,-292506,-303145,-314849,-327487,-341083,-355644,-371127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2322 64 4 80,1145,-329836,-318906,-308662,-298834,-289668,-281071,-273127,-265857,-259242,-253354,-248154,-243616,-239802,-236733,-234453,-232944,-232218,-232295,-233148,-234832,-237352,-240712,-244922,-249983,-255905,-262708,-270344,-278766,-288050,-298146,-309131,-320939,-333530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2301,-321076,-308910,-297762,-287648,-278432,-270134,-262709,-256141,-250367,-245410,-241293,-237989,-235503,-233830,-232952,-232865,-233539,-235002,-237245,-240277,-244076,-248652,-254004,-260161,-267037,-274649,-283062,-292248,-302245,-313090,-324768,-337326,-350590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2243 64 4 80,2003,-486225,-468070,-446267,-422822,-399077,-375729,-353621,-332850,-313838,-296612,-281379,-268087,-256940,-247719,-240592,-235599,-232763,-232112,-233681,-237484,-243644,-252188,-263185,-276643,-292522,-310825,-331496,-354391,-378830,-405102,-431515,-456432,-477951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-2313,-312094,-301268,-291466,-282626,-274515,-267225,-260744,-255051,-250131,-245981,-242569,-239879,-237918,-236718,-236254,-236546,-237584,-239363,-241864,-245084,-249056,-253781,-259277,-265556,-272594,-280450,-289102,-298452,-308605,-319619,-331520,-344360,-358111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2257 64 4 80,2599,-518609,-517398,-513124,-506173,-492276,-469220,-439481,-407623,-375933,-346941,-321056,-298463,-279297,-263430,-250961,-241915,-236203,-233806,-234825,-239316,-247341,-258990,-274381,-293223,-316200,-343168,-374212,-409253,-445756,-478462,-498163,-507647,-513772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2118,-328267,-315621,-303913,-293109,-283141,-273967,-265593,-257943,-251074,-244993,-239679,-235135,-231369,-228393,-226182,-224753,-224088,-224201,-225104,-226798,-229298,-232602,-236726,-241674,-247409,-253997,-261463,-269823,-279100,-289345,-300552,-312645,-325970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2183 64 4 80,-2797,-510845,-502745,-488042,-464661,-434903,-401163,-367555,-336433,-308599,-284492,-264222,-247847,-235519,-226878,-222093,-221118,-223906,-230412,-240606,-254439,-271801,-292431,-316203,-342737,-371373,-401547,-431739,-460703,-485693,-502391,-513465,-517413,-518485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2029,-321259,-309081,-297716,-287247,-277485,-268611,-260370,-252908,-246212,-240240,-235032,-230577,-226883,-223925,-221721,-220254,-219516,-219519,-220255,-221731,-223975,-226909,-230647,-235157,-240452,-246540,-253441,-261186,-269796,-279334,-289848,-301282,-313792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2095 64 4 80,-2203,-445567,-421943,-397268,-372437,-348439,-325685,-304719,-286085,-269359,-254847,-242702,-232904,-225510,-220449,-217753,-217407,-219439,-223819,-230534,-239613,-251015,-264720,-280616,-298250,-318126,-339645,-362399,-386040,-409958,-433626,-456598,-477991,-494658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2015,-322100,-309812,-298303,-287653,-277728,-268555,-260165,-252565,-245696,-239636,-234238,-229604,-225704,-222548,-220133,-218465,-217537,-217365,-217931,-219236,-221283,-224084,-227643,-231964,-237083,-242896,-249571,-257070,-265424,-274630,-284747,-295705,-307664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2082 64 4 80,-1361,-320363,-307390,-295153,-283765,-273199,-263639,-254826,-246961,-240012,-233988,-228899,-224730,-221457,-219105,-217641,-217057,-217349,-218513,-220530,-223398,-227111,-231590,-236962,-243179,-250189,-257982,-266591,-275948,-286038,-296809,-308315,-320385,-332982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2025,-322441,-310104,-298562,-287892,-277984,-268861,-260589,-252976,-246122,-240000,-234636,-230037,-226176,-223067,-220703,-219097,-218215,-218064,-218664,-219996,-222068,-224910,-228443,-232788,-237914,-243833,-250544,-258084,-266489,-275755,-285962,-297133,-309322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2092 64 4 80,1103,-298537,-289157,-280226,-271812,-263935,-256715,-250088,-244054,-238620,-233786,-229589,-226023,-223093,-220848,-219233,-218297,-218035,-218477,-219614,-221475,-224059,-227424,-231563,-236484,-242218,-248733,-256037,-264179,-273132,-282728,-293215,-304453,-316431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2085,-328259,-315492,-303617,-292628,-282478,-273104,-264528,-256831,-249818,-243573,-238073,-233343,-229355,-226113,-223624,-221876,-220881,-220656,-221207,-222546,-224666,-227569,-231272,-235731,-241099,-247302,-254363,-262352,-271244,-281076,-291895,-303656,-316414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2152 64 4 80,1998,-451315,-429344,-406900,-384274,-362098,-341090,-321336,-303021,-286371,-271368,-258201,-246958,-237617,-230358,-225048,-221786,-220633,-221606,-224754,-230112,-237755,-247777,-260258,-275184,-292462,-312089,-333863,-357554,-382638,-408009,-433294,-456647,-476889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2018,-314609,-303637,-293532,-284186,-275573,-267690,-260527,-254088,-248392,-243304,-238886,-235148,-232088,-229719,-228015,-226991,-226653,-226974,-227978,-229654,-232008,-235059,-238817,-243296,-248396,-254291,-260967,-268417,-276651,-285738,-295630,-306472,-318349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2082 64 4 80,2604,-516035,-513073,-505711,-492589,-470905,-443836,-413693,-382980,-353875,-327089,-303126,-282254,-264474,-249978,-238898,-231071,-226585,-225480,-227852,-233789,-243437,-256633,-274001,-295353,-320809,-350318,-383524,-419392,-454224,-482308,-498655,-508684,-513662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-864,-235977,-234648,-233424,-232299,-231273,-230361,-229540,-228810,-228189,-227649,-227199,-226842,-226579,-226390,-226299,-226287,-226358,-226503,-226731,-227035,-227408,-227865,-228386,-228984,-229656,-230366,-231169,-232032,-232965,-233959,-235014,-236134,-237312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -805 64 4 80,2590,-515382,-512503,-506615,-492863,-472612,-444856,-414116,-382633,-352907,-326220,-302142,-281310,-263645,-249270,-238220,-230530,-226265,-225459,-228131,-234334,-244202,-257772,-275285,-296626,-322038,-351027,-384009,-419704,-454070,-482001,-498223,-507655,-513360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-610,-225295,-224575,-223901,-223282,-222709,-222190,-221714,-221294,-220920,-220602,-220313,-220077,-219883,-219730,-219621,-219552,-219522,-219532,-219577,-219657,-219771,-219923,-220105,-220323,-220571,-220847,-221151,-221483,-221851,-222241,-222660,-223103,-223568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -545 64 4 80,1978,-463859,-442020,-419218,-395784,-372678,-350625,-329790,-310424,-292736,-276759,-262723,-250662,-240481,-232251,-225999,-221753,-219552,-219416,-221349,-225437,-231708,-240219,-250961,-263996,-279320,-296870,-316798,-338933,-362780,-387982,-413623,-438596,-461594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-798,-226929,-225676,-224524,-223465,-222518,-221666,-220915,-220253,-219695,-219224,-218841,-218550,-218348,-218221,-218175,-218234,-218361,-218572,-218863,-219228,-219670,-220187,-220775,-221434,-222161,-222956,-223820,-224756,-225748,-226804,-227922,-229110,-230345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -742 64 4 80,1072,-296117,-287090,-278488,-270393,-262928,-255900,-249443,-243564,-238257,-233546,-229456,-225981,-223134,-220950,-219391,-218465,-218200,-218578,-219629,-221342,-223718,-226809,-230604,-235120,-240370,-246357,-253077,-260569,-268817,-277958,-287856,-298449,-309835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-831,-227402,-226025,-224761,-223623,-222590,-221669,-220868,-220167,-219585,-219093,-218717,-218431,-218240,-218143,-218150,-218244,-218420,-218687,-219041,-219486,-220005,-220612,-221290,-222054,-222896,-223821,-224827,-225895,-227045,-228267,-229554,-230908,-232312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -777 64 4 80,-1386,-323977,-310640,-298080,-286375,-275480,-265509,-256468,-248373,-241210,-235006,-229766,-225531,-222167,-219756,-218277,-217738,-218122,-219427,-221627,-224731,-228716,-233587,-239323,-245928,-253386,-261685,-270826,-280584,-291257,-302622,-314734,-327465,-340769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-803,-229742,-228523,-227431,-226435,-225545,-224747,-224051,-223431,-222916,-222492,-222142,-221880,-221702,-221613,-221597,-221660,-221807,-222026,-222327,-222699,-223146,-223664,-224248,-224902,-225618,-226396,-227249,-228164,-229138,-230171,-231255,-232413,-233628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -748 64 4 80,-2218,-455118,-431335,-405880,-380009,-355092,-331558,-309968,-290540,-273326,-258472,-246028,-236127,-228458,-223178,-220261,-219717,-221536,-225716,-232233,-241170,-252492,-266134,-282042,-300142,-320316,-342329,-365593,-389635,-414368,-438393,-461125,-481622,-497594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,-448,-226139,-225872,-225618,-225405,-225214,-225044,-224905,-224782,-224676,-224602,-224538,-224496,-224472,-224476,-224478,-224495,-224554,-224601,-224678,-224762,-224857,-224973,-225089,-225241,-225393,-225556,-225735,-225916,-226116,-226312,-226531,-226749,-226969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -397 64 4 80,-2808,-510858,-503624,-491162,-469830,-440302,-407018,-373318,-341658,-313359,-288801,-267984,-251063,-238023,-228859,-223556,-222062,-224352,-230416,-240271,-253809,-270979,-291639,-315713,-342497,-371770,-402784,-433996,-463579,-488991,-504752,-512625,-516307,-518786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
