cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101
RECAL 3 0 9999 9999 64 4 80,-2254,-323886,-313972,-304928,-296749,-289504,-282919,-277124,-272053,-267741,-264163,-261287,-259109,-257639,-256873,-256810,-257473,-258840,-260916,-263697,-267204,-271347,-276294,-281939,-288356,-295481,-303427,-312174,-321751,-332095,-343226,-355295,-368192,-382184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 -2200 64 4 80,2576,-518636,-519001,-517109,-514706,-509704,-498928,-479490,-451601,-419480,-388418,-360072,-334929,-313150,-294280,-278631,-266084,-256660,-250432,-247386,-247547,-250954,-257761,-267978,-281633,-298760,-319497,-343844,-372005,-403564,-438062,-471454,-495719,-508327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2114,-343409,-331546,-320536,-310303,-300864,-292224,-284344,-277219,-270843,-265240,-260379,-256269,-252933,-250357,-248575,-247555,-247329,-247912,-249296,-251496,-254510,-258346,-263022,-268538,-274913,-282167,-290324,-299325,-309318,-320242,-332144,-345039,-358751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2177 64 4 80,-2676,-517147,-512760,-504048,-488280,-464187,-436211,-406554,-377080,-349505,-324357,-302346,-283796,-268868,-257688,-250398,-246821,-247089,-251218,-259264,-271228,-287172,-306995,-330847,-358484,-389581,-423356,-456903,-485924,-503509,-512090,-516127,-517848,-519586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2079,-336751,-325457,-314906,-305042,-295968,-287645,-280023,-273123,-266983,-261655,-257020,-253171,-250078,-247766,-246222,-245443,-245461,-246254,-247827,-250206,-253384,-257395,-262248,-267954,-274521,-281826,-290108,-299218,-309239,-320121,-331900,-344560,-358101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2141 64 4 80,-2089,-481661,-460935,-437792,-413904,-390081,-367085,-345510,-325509,-307472,-291538,-277837,-266550,-257456,-250801,-246560,-244740,-245329,-248373,-253842,-261774,-272133,-284893,-299993,-317500,-337302,-359313,-383335,-408886,-435168,-460461,-483023,-498393,-508166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2079,-332754,-321396,-310760,-300846,-291709,-283299,-275618,-268675,-262472,-257095,-252438,-248562,-245440,-243098,-241534,-240743,-240747,-241534,-243100,-245479,-248674,-252689,-257537,-263246,-269817,-277146,-285427,-294530,-304513,-315393,-327112,-339733,-353202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2141 64 4 80,-1243,-342138,-329553,-317751,-306747,-296543,-287220,-278691,-271102,-264294,-258317,-253226,-248997,-245632,-243109,-241434,-240606,-240633,-241496,-243193,-245712,-249039,-253175,-258113,-263774,-270277,-277555,-285603,-294367,-303894,-314171,-325174,-336873,-349235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2170,-346277,-333689,-322077,-311156,-301063,-291828,-283403,-275772,-268958,-262968,-257789,-253440,-249895,-247199,-245342,-244331,-244183,-244905,-246483,-248945,-252315,-256581,-261743,-267857,-274853,-282784,-291608,-301359,-312104,-323836,-336559,-350294,-364977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2233 64 4 80,1122,-342216,-330675,-319754,-309467,-299850,-291001,-282806,-275369,-268763,-262835,-257704,-253371,-249864,-247170,-245306,-244291,-244125,-244802,-246338,-248750,-252017,-256169,-261212,-267163,-273906,-281633,-290277,-299778,-310235,-321595,-333833,-346949,-360942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2168,-356671,-343866,-332042,-320869,-310538,-301040,-292372,-284514,-277426,-271142,-265668,-260962,-257062,-253965,-251691,-250243,-249624,-249860,-250931,-252872,-255665,-259343,-263912,-269361,-275722,-282971,-291118,-300146,-310148,-321130,-333093,-346066,-360034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2233 64 4 80,1959,-504752,-494677,-477824,-456304,-432260,-407678,-383538,-360947,-339842,-320659,-303613,-288822,-276262,-266053,-258172,-252668,-249583,-248923,-250699,-254900,-261570,-270677,-282215,-295965,-312325,-330994,-351964,-374889,-399853,-425773,-451564,-474854,-493417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 0 9999 9999 64 4 80,2126,-343861,-332495,-321951,-312202,-303219,-295000,-287557,-280773,-274728,-269388,-264783,-260881,-257738,-255376,-253717,-252839,-252730,-253372,-254783,-256988,-259968,-263763,-268365,-273789,-280060,-287167,-295106,-303937,-313707,-324274,-335908,-348503,-362054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECAL 3 1 9999 2189 64 4 80,2542,-519709,-519103,-517041,-514521,-506528,-492619,-469362,-439283,-407573,-376720,-348520,-323376,-301718,-283781,-269614,-259215,-252616,-249835,-250834,-255619,-264241,-276450,-292550,-312404,-335963,-363144,-393849,-427228,-460413,-489051,-504787,-512837,-516269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
