IL,IL_step,MPO_in,MPO_out,c1,c2,c4,device,RECAL1,mems_SW,sweep_count,peak_ok_count,peak_fail_count,Y_ok,X_ok,verdict,path_files,csv_lines
1.9068,474,MPO40-6,MPO88-6,27,6,59,2#MCS,RECAL 1 4 27 6 6 59,,2,2,0,1,1,OK,pm_pm_mcs2,2329;2330
1.9719,475,MPO40-7,MPO88-7,27,7,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
1.9719,475,MPO40-7,MPO88-7,27,7,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
1.9719,475,MPO40-7,MPO88-7,27,7,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
1.9719,475,MPO40-7,MPO88-7,27,7,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
1.9719,475,MPO40-7,MPO88-7,27,7,59,1#MCS,RECAL 1 3 27 7 7 59,,6,2,4,1,1,OK,pm_pm_mcs1,1031;1032;1033;1034;1035;1036
1.9719,475,MPO40-7,MPO88-7,27,7,59,2#MCS,RECAL 1 4 27 7 7 59,,2,2,0,1,1,OK,pm_pm_mcs2,2331;2332
1.0705,476,MPO40-8,MPO88-8,27,8,59,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,5,3,2,1,1,OK,pm_pm_1x64_1,2572;2573;2574;2575;2576
1.0705,476,MPO40-8,MPO88-8,27,8,59,1#叶子,RECAL 1 2 27 1 1 59,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2625;2626
1.0705,476,MPO40-8,MPO88-8,27,8,59,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2729;2730
1.0705,476,MPO40-8,MPO88-8,27,8,59,2#叶子,RECAL 1 6 27 1 1 59,SW4,4,3,1,1,1,OK,pm_pm_1x64_2,2841;2842;2843;2844
