line_no,cmd,sweep_mode,base_x,base_y,legacy_5param,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
1899,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2545.000000,33,1,Ok,103618.000000,NonMono,16,-243528.000000,16.287675,16,-2479.849299,7,[13]=-247362;[14]=-245371;[15]=-244083;[16]=-243528;[17]=-243681;[18]=-244538;[19]=-246118
1900,RECAL 3 1 9999 -2480 64 4 80,1,9999,-2480,0,64,4,80,1232.000000,33,1,Ok,92402.000000,NonMono,16,-243480.000000,15.859544,16,1295.438174,7,[13]=-246183;[14]=-244628;[15]=-243721;[16]=-243480;[17]=-243921;[18]=-245063;[19]=-246936
1901,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2432.000000,33,1,Ok,92193.000000,NonMono,16,-246976.000000,16.392419,16,-2366.430323,7,[13]=-250577;[14]=-248714;[15]=-247537;[16]=-246976;[17]=-247030;[18]=-247721;[19]=-249055
1902,RECAL 3 1 9999 -2366 64 4 80,1,9999,-2366,0,64,4,80,2159.000000,33,1,Ok,225404.000000,NonMono,16,-246908.000000,15.790956,16,2222.163826,5,[14]=-249887;[15]=-247453;[16]=-246908;[17]=-248262;[18]=-251571
1903,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2465.000000,33,1,Ok,87357.000000,NonMono,16,-248687.000000,16.198310,16,-2400.206759,7,[13]=-251855;[14]=-250190;[15]=-249105;[16]=-248687;[17]=-248870;[18]=-249672;[19]=-251056
1904,RECAL 3 1 9999 -2400 64 4 80,1,9999,-2400,0,64,4,80,2807.000000,33,1,Ok,246293.000000,NonMono,16,-248617.000000,15.622377,16,2869.489508,5,[14]=-252266;[15]=-248986;[16]=-248617;[17]=-251234;[18]=-256843
1905,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2383.000000,33,1,Ok,109157.000000,NonMono,16,-229077.000000,15.483786,15,2444.935144,7,[13]=-231265;[14]=-229809;[15]=-229083;[16]=-229077;[17]=-229859;[18]=-231375;[19]=-233660
1906,RECAL 3 1 9999 2445 64 4 80,1,9999,2445,0,64,4,80,-2899.000000,33,1,Ok,267209.000000,NonMono,16,-228957.000000,15.684457,16,-2836.262171,5,[14]=-233382;[15]=-229550;[16]=-228957;[17]=-231636;[18]=-237665
1907,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2387.000000,33,1,Ok,107369.000000,NonMono,16,-225128.000000,15.928159,16,2450.712637,7,[13]=-228393;[14]=-226557;[15]=-225463;[16]=-225128;[17]=-225585;[18]=-226800;[19]=-228820
1908,RECAL 3 1 9999 2451 64 4 80,1,9999,2451,0,64,4,80,-2264.000000,33,1,Ok,247056.000000,NonMono,16,-225119.000000,15.712847,16,-2201.148612,5,[14]=-228008;[15]=-225564;[16]=-225119;[17]=-226734;[18]=-230372
1909,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2397.000000,33,1,Ok,107957.000000,NonMono,16,-221429.000000,16.037609,16,2461.150435,7,[13]=-224993;[14]=-223050;[15]=-221844;[16]=-221429;[17]=-221799;[18]=-222974;[19]=-224984
1910,RECAL 3 1 9999 2461 64 4 80,1,9999,2461,0,64,4,80,-1350.000000,33,1,Ok,88725.000000,NonMono,16,-221457.000000,15.740186,16,-1287.039257,7,[13]=-224060;[14]=-222487;[15]=-221623;[16]=-221457;[17]=-221987;[18]=-223202;[19]=-225123
1911,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2310.000000,33,1,Ok,100366.000000,NonMono,16,-220904.000000,15.924484,16,2373.697935,7,[13]=-223979;[14]=-222227;[15]=-221197;[16]=-220904;[17]=-221323;[18]=-222449;[19]=-224359
1912,RECAL 3 1 9999 2374 64 4 80,1,9999,2374,0,64,4,80,1228.000000,33,1,Ok,95624.000000,NonMono,16,-220877.000000,15.824143,16,1291.296573,7,[13]=-223653;[14]=-222036;[15]=-221124;[16]=-220877;[17]=-221372;[18]=-222570;[19]=-224506
1913,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2319.000000,33,1,Ok,104523.000000,NonMono,16,-222213.000000,15.575251,16,2381.301005,7,[13]=-224498;[14]=-223028;[15]=-222264;[16]=-222213;[17]=-222883;[18]=-224289;[19]=-226454
