# PRD: 1286 steps; Z4744 RECAL 1 = target + 4 path channels (ch1..ch4)
# ch1=[1#1x64] ch2=[1#MCS] ch3=[2#MCS] ch4=[2#1x64]
target_index,ch1,ch2,ch3,ch4
4,1,1,1,1
4,2,1,2,1
4,3,1,3,1
4,4,1,4,1
4,5,1,5,1
4,6,1,6,1
4,7,1,7,1
4,8,1,8,1
4,9,1,9,1
4,10,1,10,1
4,11,1,11,1
4,12,1,12,1
4,13,1,13,1
4,14,1,14,1
4,15,1,15,1
4,16,1,16,1
4,17,1,17,1
4,18,1,18,1
4,19,1,1,2
4,20,1,2,2
4,21,1,3,2
4,22,1,4,2
4,23,1,5,2
4,24,1,6,2
4,25,1,7,2
4,26,1,8,2
4,27,1,9,2
4,28,1,10,2
4,29,1,11,2
4,30,1,12,2
4,31,1,13,2
4,32,1,14,2
4,33,2,15,2
4,34,2,16,2
4,35,2,17,2
4,36,2,18,2
4,37,2,1,3
4,38,2,2,3
4,39,2,3,3
4,40,2,4,3
4,41,2,5,3
4,42,2,6,3
4,43,2,7,3
4,44,2,8,3
4,45,2,9,3
4,46,2,10,3
4,47,2,11,3
4,48,2,12,3
4,49,2,13,3
4,50,2,14,3
4,51,2,15,3
4,52,2,16,3
4,53,2,17,3
4,54,2,18,3
4,55,2,1,4
4,56,2,2,4
4,57,2,3,4
4,58,2,4,4
4,59,2,5,4
4,60,2,6,4
4,61,2,7,4
4,62,2,8,4
4,63,2,9,4
4,64,2,10,4
4,1,3,11,4
4,2,3,12,4
4,3,3,13,4
4,4,3,14,4
4,5,3,15,4
4,6,3,16,4
4,7,3,17,4
4,8,3,18,4
4,9,3,1,5
4,10,3,2,5
4,11,3,3,5
4,12,3,4,5
4,13,3,5,5
4,14,3,6,5
4,15,3,7,5
4,16,3,8,5
4,17,3,9,5
4,18,3,10,5
4,19,3,11,5
4,20,3,12,5
4,21,3,13,5
4,22,3,14,5
4,23,3,15,5
4,24,3,16,5
4,25,3,17,5
4,26,3,18,5
4,27,3,1,6
4,28,3,2,6
4,29,3,3,6
4,30,3,4,6
4,31,3,5,6
4,32,3,6,6
4,33,4,7,6
4,34,4,8,6
4,35,4,9,6
4,36,4,10,6
4,37,4,11,6
4,38,4,12,6
4,39,4,13,6
4,40,4,14,6
4,41,4,15,6
4,42,4,16,6
4,43,4,17,6
4,44,4,18,6
4,45,4,1,7
4,46,4,2,7
4,47,4,3,7
4,48,4,4,7
4,49,4,5,7
4,50,4,6,7
4,51,4,7,7
4,52,4,8,7
4,53,4,9,7
4,54,4,10,7
4,55,4,11,7
4,56,4,12,7
4,57,4,13,7
4,58,4,14,7
4,59,4,15,7
4,60,4,16,7
4,61,4,17,7
4,62,4,18,7
4,63,4,1,8
4,64,4,2,8
4,1,5,3,8
4,2,5,4,8
4,3,5,5,8
4,4,5,6,8
4,5,5,7,8
4,6,5,8,8
4,7,5,9,8
4,8,5,10,8
4,9,5,11,8
4,10,5,12,8
4,11,5,13,8
4,12,5,14,8
4,13,5,15,8
4,14,5,16,8
4,15,5,17,8
4,16,5,18,8
4,17,5,1,9
4,18,5,2,9
4,19,5,3,9
4,20,5,4,9
4,21,5,5,9
4,22,5,6,9
4,23,5,7,9
4,24,5,8,9
4,25,5,9,9
4,26,5,10,9
4,27,5,11,9
4,28,5,12,9
4,29,5,13,9
4,30,5,14,9
4,31,5,15,9
4,32,5,16,9
4,33,6,17,9
4,34,6,18,9
4,35,6,1,10
4,36,6,2,10
4,37,6,3,10
4,38,6,4,10
4,39,6,5,10
4,40,6,6,10
4,41,6,7,10
4,42,6,8,10
4,43,6,9,10
4,44,6,10,10
4,45,6,11,10
4,46,6,12,10
4,47,6,13,10
4,48,6,14,10
4,49,6,15,10
4,50,6,16,10
4,51,6,17,10
4,52,6,18,10
4,53,6,1,11
4,54,6,2,11
4,55,6,3,11
4,56,6,4,11
4,57,6,5,11
4,58,6,6,11
4,59,6,7,11
4,60,6,8,11
4,61,6,9,11
4,62,6,10,11
4,63,6,11,11
4,64,6,12,11
4,1,7,13,11
4,2,7,14,11
4,3,7,15,11
4,4,7,16,11
4,5,7,17,11
4,6,7,18,11
4,7,7,1,12
4,8,7,2,12
4,9,7,3,12
4,10,7,4,12
4,11,7,5,12
4,12,7,6,12
4,13,7,7,12
4,14,7,8,12
4,15,7,9,12
4,16,7,10,12
4,17,7,11,12
4,18,7,12,12
4,19,7,13,12
4,20,7,14,12
4,21,7,15,12
4,22,7,16,12
4,23,7,17,12
4,24,7,18,12
4,25,7,1,13
4,26,7,2,13
4,27,7,3,13
4,28,7,4,13
4,29,7,5,13
4,30,7,6,13
4,31,7,7,13
4,32,7,8,13
4,33,8,9,13
4,34,8,10,13
4,35,8,11,13
4,36,8,12,13
4,37,8,13,13
4,38,8,14,13
4,39,8,15,13
4,40,8,16,13
4,41,8,17,13
4,42,8,18,13
4,43,8,1,14
4,44,8,2,14
4,45,8,3,14
4,46,8,4,14
4,47,8,5,14
4,48,8,6,14
4,49,8,7,14
4,50,8,8,14
4,51,8,9,14
4,52,8,10,14
4,53,8,11,14
4,54,8,12,14
4,55,8,13,14
4,56,8,14,14
4,57,8,15,14
4,58,8,16,14
4,59,8,17,14
4,60,8,18,14
4,61,8,1,15
4,62,8,2,15
4,63,8,3,15
4,64,8,4,15
4,1,9,5,15
4,2,9,6,15
4,3,9,7,15
4,4,9,8,15
4,5,9,9,15
4,6,9,10,15
4,7,9,11,15
4,8,9,12,15
4,9,9,13,15
4,10,9,14,15
4,11,9,15,15
4,12,9,16,15
4,13,9,17,15
4,14,9,18,15
4,15,9,1,16
4,16,9,2,16
4,17,9,3,16
4,18,9,4,16
4,19,9,5,16
4,20,9,6,16
4,21,9,7,16
4,22,9,8,16
4,23,9,9,16
4,24,9,10,16
4,25,9,11,16
4,26,9,12,16
4,27,9,13,16
4,28,9,14,16
4,29,9,15,16
4,30,9,16,16
4,31,9,17,16
4,32,9,18,16
4,33,10,1,17
4,34,10,2,17
4,35,10,3,17
4,36,10,4,17
4,37,10,5,17
4,38,10,6,17
4,39,10,7,17
4,40,10,8,17
4,41,10,9,17
4,42,10,10,17
4,43,10,11,17
4,44,10,12,17
4,45,10,13,17
4,46,10,14,17
4,47,10,15,17
4,48,10,16,17
4,49,10,17,17
4,50,10,18,17
4,51,10,1,18
4,52,10,2,18
4,53,10,3,18
4,54,10,4,18
4,55,10,5,18
4,56,10,6,18
4,57,10,7,18
4,58,10,8,18
4,59,10,9,18
4,60,10,10,18
4,61,10,11,18
4,62,10,12,18
4,63,10,13,18
4,64,10,14,18
4,1,11,15,18
4,2,11,16,18
4,3,11,17,18
4,4,11,18,18
4,5,11,1,19
4,6,11,2,19
4,7,11,3,19
4,8,11,4,19
4,9,11,5,19
4,10,11,6,19
4,11,11,7,19
4,12,11,8,19
4,13,11,9,19
4,14,11,10,19
4,15,11,11,19
4,16,11,12,19
4,17,11,13,19
4,18,11,14,19
4,19,11,15,19
4,20,11,16,19
4,21,11,17,19
4,22,11,18,19
4,23,11,1,20
4,24,11,2,20
4,25,11,3,20
4,26,11,4,20
4,27,11,5,20
4,28,11,6,20
4,29,11,7,20
4,30,11,8,20
4,31,11,9,20
4,32,11,10,20
4,33,12,11,20
4,34,12,12,20
4,35,12,13,20
4,36,12,14,20
4,37,12,15,20
4,38,12,16,20
4,39,12,17,20
4,40,12,18,20
4,41,12,1,21
4,42,12,2,21
4,43,12,3,21
4,44,12,4,21
4,45,12,5,21
4,46,12,6,21
4,47,12,7,21
4,48,12,8,21
4,49,12,9,21
4,50,12,10,21
4,51,12,11,21
4,52,12,12,21
4,53,12,13,21
4,54,12,14,21
4,55,12,15,21
4,56,12,16,21
4,57,12,17,21
4,58,12,18,21
4,59,12,1,22
4,60,12,2,22
4,61,12,3,22
4,62,12,4,22
4,63,12,5,22
4,64,12,6,22
4,1,13,7,22
4,2,13,8,22
4,3,13,9,22
4,4,13,10,22
4,5,13,11,22
4,6,13,12,22
4,7,13,13,22
4,8,13,14,22
4,9,13,15,22
4,10,13,16,22
4,11,13,17,22
4,12,13,18,22
4,13,13,1,23
4,14,13,2,23
4,15,13,3,23
4,16,13,4,23
4,17,13,5,23
4,18,13,6,23
4,19,13,7,23
