cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33
RECAL 3 0 9999 64 4 80,2113,-110724,-98653,-87565,-77259,-67761,-59057,-51135,-43937,-37460,-31670,-26561,-22163,-18483,-15491,-13216,-11644,-10775,-10588,-11119,-12356,-14315,-17005,-20426,-24586,-29496,-35112,-41480,-48653,-56658,-65491,-75226,-85867,-97277
RECAL 3 1 2180 64 4 80,2570,-270647,-269446,-267241,-261916,-250465,-231591,-206758,-179919,-149574,-121007,-95344,-72811,-53515,-37637,-25300,-16165,-10497,-8369,-9859,-15040,-24065,-37010,-53918,-74876,-100000,-129374,-162975,-196698,-228398,-250918,-261914,-266886,-268887
RECAL 3 0 9999 64 4 80,-484,-12708,-12412,-12150,-11920,-11694,-11504,-11337,-11198,-11075,-10979,-10903,-10845,-10809,-10806,-10803,-10828,-10864,-10927,-11008,-11103,-11216,-11338,-11467,-11625,-11787,-11967,-12161,-12358,-12566,-12795,-13036,-13282,-13541
RECAL 3 1 -431 64 4 80,2545,-270808,-269883,-268280,-263418,-253966,-236420,-212127,-184852,-154799,-125660,-99366,-76237,-56311,-999999,-26557,-16901,-10760,-8142,-9086,-13632,-21733,-33673,-49556,-69490,-93521,-121850,-154512,-188860,-221447,-246502,-259955,-265550,-268324
RECAL 3 0 9999 64 4 80,-416,-10407,-10191,-9994,-9814,-9658,-9517,-9394,-9294,-9205,-9149,-9106,-9068,-9055,-9054,-9071,-9100,-9148,-9194,-9264,-9352,-9453,-9563,-9680,-9815,-9962,-10110,-10277,-10451,-999999,-10822,-11016,-11223,-11429
RECAL 3 1 -366 64 4 80,1950,-249750,-235744,-218162,-198147,-178167,-155257,-133107,-112295,-93066,-75752,-60036,-46270,-34550,-24905,-17431,-12156,-9088,-8290,-9763,-13559,-19676,-28175,-39093,-52445,-68264,-86372,-106923,-129781,-154554,-180390,-202942,-224576,-242148
RECAL 3 0 9999 64 4 80,-777,-10983,-9751,-8625,-7598,-6661,-5820,-5075,-4420,-3846,-3363,-2965,-2645,-2404,-2249,-2175,-2179,-2260,-2416,-2651,-2954,-3334,-3781,-4297,-4880,-5525,-6226,-6997,-7834,-8721,-9662,-10666,-11727,-12837
RECAL 3 1 -719 64 4 80,1084,-95036,-84821,-74949,-65579,-56766,-48537,-40918,-33931,-27597,-21940,-16991,-12740,-9175,-6327,-4217,-2825,-2168,-2265,-3119,-4747,-7151,-10357,-14373,-19209,-24873,-31381,-38773,-47035,-56152,-66115,-76914,-88515,-100822
RECAL 3 0 9999 64 4 80,-753,-11319,-10160,-9110,-8134,-7252,-6453,-5744,-5123,-4582,-4129,-3753,-3458,-3239,-3095,-3026,-3038,-3119,-3272,-3500,-3786,-4138,-4552,-5032,-5573,-6169,-6831,-7554,-8329,-9160,-10032,-10971,-11963,-12993
RECAL 3 1 -695 64 4 80,-1315,-111954,-98404,-85804,-73976,-63005,-52934,-43789,-35578,-28284,-21984,-16539,-12027,-8417,-5715,-3925,-3027,-3015,-3897,-5682,-8369,-11943,-16373,-21684,-27848,-34854,-42576,-51227,-60631,-70871,-81814,-93412,-105673,-118498
RECAL 3 0 9999 64 4 80,-275,-2798,-2690,-2600,-2518,-2444,-2379,-2329,-2278,-2240,-2214,-2191,-2176,-2165,-2164,-2167,-2176,-2188,-2207,-2231,-2262,-2293,-2328,-2367,-2415,-2458,-2510,-2556,-2615,-2669,-2723,-2784,-2845,-2905
RECAL 3 1 -223 64 4 80,-2142,-234280,-215463,-194010,-171892,-146923,-122793,-100222,-79592,-61328,-45140,-31458,-20255,-11598,-5460,-1847,-751,-2133,-5913,-12102,-20621,-31495,-44591,-59934,-77340,-96397,-117311,-139620,-162871,-185375,-205928,-225670,-242795,-255872
RECAL 3 0 9999 64 4 80,-522,-12154,-11677,-11244,-10862,-10504,-10186,-9903,-9661,-9429,-9231,-9075,-8935,-8826,-8741,-8678,-8643,-8626,-8640,-8677,-8736,-8813,-8917,-9035,-9175,-9335,-9511,-9715,-9929,-10161,-10407,-10664,-10940,-11233
RECAL 3 1 -458 64 4 80,-2723,-266186,-259777,-247800,-228786,-202716,-173565,-140846,-110603,-83830,-61023,-41913,-26711,-15412,-8011,-4422,-4609,-8547,-16224,-27743,-42983,-61854,-84146,-109515,-137565,-167519,-194802,-221036,-243095,-258410,-266434,-269539,-270746,-271199
RECAL 3 0 9999 64 4 80,-2301,-104601,-91981,-80397,-69804,-60151,-51431,-43575,-36601,-30418,-25054,-20516,-16778,-13840,-11716,-10366,-9824,-10072,-11129,-12954,-15575,-19001,-23190,-28163,-33923,-40477,-47811,-55989,-64981,-74821,-85556,-97162,-109756,-123169
RECAL 3 1 -2240 64 4 80,-2697,-267716,-263646,-255605,-240222,-215706,-185955,-153396,-122091,-94408,-70502,-50427,-34035,-21514,-12870,-8060,-7041,-9762,-16199,-26300,-39864,-57224,-78176,-102555,-130214,-160759,-190694,-218820,-241904,-257469,-265785,-268789,-270302,-271414
RECAL 3 0 9999 64 4 80,-2270,-999999,-84622,-73013,-62392,-52747,-44033,-36254,-29334,-23377,-18188,-13862,-10380,-7731,-5901,-4891,-4672,-5244,-6596,-8738,-11649,-15321,-19786,-25033,-31094,-37865,-45519,-53950,-63218,-73324,-84267,-96072,-108785,-122526
RECAL 3 1 -2211 64 4 80,-2107,-236922,-218530,-196554,-173951,-148322,-124045,-101539,-81254,-63349,-47767,-34564,-23725,-15245,-9130,-5328,-3853,-4654,-7735,-13094,-20713,-30609,-42737,-57067,-73613,-92440,-113209,-135838,-159810,-183856,-205167,-225604,-242574,-255222
RECAL 3 0 9999 64 4 80,-2356,-103424,-89560,-76900,-999999,-55017,-45643,-37319,-29943,-23509,-17976,-13353,-9600,-6722,-4717,-3585,-3294,-3854,-5248,-7489,-10571,-14490,-19264,-24922,-31443,-38827,-47125,-56361,-66512,-77641,-89744,-102601,-116692,-131767
RECAL 3 1 -2297 64 4 80,-1262,-110144,-97253,-85192,-73877,-63315,-53515,-44601,-36593,-29444,-23177,-17779,-13250,-9621,-6778,-4779,-3614,-3280,-3761,-5061,-7168,-10064,-13715,-18133,-23320,-29246,-35921,-43318,-51448,-60171,-69693,-79877,-90727,-102108
RECAL 3 0 9999 64 4 80,-2362,-99608,-86157,-73857,-62706,-52647,-43619,-35603,-28512,-22367,-17129,-12777,-9287,-6660,-4894,-3978,-3903,-4664,-6255,-8697,-11964,-16056,-20985,-26784,-999999,-40981,-49406,-58751,-69055,-80320,-92570,-105808,-119918,-135322
RECAL 3 1 -2304 64 4 80,1140,-107386,-95807,-84851,-74546,-64775,-55666,-47239,-39533,-32538,-26271,-20736,-15971,-11962,-8719,-6276,-4649,-3827,-3826,-4654,-6286,-8788,-12153,-16383,-999999,-27557,-34521,-42408,-51245,-60919,-71575,-83136,-95535,-108834
RECAL 3 0 9999 64 4 80,-2284,-93056,-81149,-70197,-60213,-51095,-42889,-35544,-29022,-23329,-18428,-14326,-11047,-8571,-6839,-5898,-5726,-6320,-7687,-9802,-12678,-16286,-20646,-25768,-31652,-38302,-45762,-54005,-63110,-72923,-83691,-95307,-107814,-121275
RECAL 3 1 -2225 64 4 80,1983,-253338,-240027,-222300,-201184,-179719,-999999,-131688,-109829,-89862,-71928,-56021,-42198,-30525,-21008,-13684,-8570,-5675,-5053,-6715,-10718,-17083,-25861,-37095,-50801,-66998,-85842,-999999,-131048,-157223,-184234,-208875,-231555,-248607
RECAL 3 0 9999 64 4 80,-2296,-97197,-85864,-75461,-65960,-57337,-49539,-42548,-36318,-30847,-26123,-22131,-18878,-16351,-14544,-13472,-13122,-13481,-14560,-16367,-18880,-22116,-26058,-30735,-36108,-42218,-49080,-56697,-65118,-74350,-84428,-95344,-107053,-119785
RECAL 3 1 -2236 64 4 80,2571,-270523,-269982,-268257,-264707,-256814,-240259,-215059,-185687,-154402,-124664,-98377,-75620,-56303,-40463,-28097,-18888,-13063,-10657,-11752,-16381,-24678,-36690,-52373,-71951,-95486,-123311,-155676,-190531,-225621,-252936,-264650,-267938,-269696
RECAL 3 0 9999 64 4 80,2120,-136402,-121547,-107874,-95320,-83778,-73186,-63488,-54621,-46673,-39602,-33387,-28041,-23521,-19822,-17007,-14972,-13767,-13388,-13846,-15142,-17293,-20274,-24167,-28842,-34399,-40851,-48184,-56496,-65771,-76075,-87265,-99656,-113269
RECAL 3 1 2188 64 4 80,-2793,-267027,-261481,-250405,-230845,-203835,-174447,-141950,-112252,-86136,-63632,-44950,-30338,-19313,-12130,-8741,-9124,-13229,-21042,-32530,-47523,-66049,-88094,-113427,-142003,-173153,-201486,-227957,-247887,-260391,-266663,-269383,-270827,-271115
RECAL 3 0 9999 64 4 80,2130,-134629,-119543,-105513,-92546,-80419,-69277,-59060,-49854,-41574,-34194,-27729,-22173,-17565,-13788,-10915,-8925,-7826,-7620,-8327,-9932,-12447,-15834,-20141,-25375,-31565,-38684,-46805,-55959,-66006,-77280,-89706,-103273,-118199
RECAL 3 1 2197 64 4 80,-2207,-231286,-212005,-190588,-168443,-144284,-121212,-99721,-80171,-62882,-47656,-34751,-24244,-16136,-10426,-7105,-6161,-7591,-11440,-17691,-26377,-37462,-50923,-66693,-84757,-104559,-126573,-150228,-174809,-196405,-217334,-235331,-249785,-259605
RECAL 3 0 9999 64 4 80,2082,-127053,-112520,-98954,-86414,-74770,-64068,-54288,-45419,-37526,-30406,-24148,-18759,-14210,-10525,-7684,-5699,-4563,-4309,-4931,-6435,-8854,-12174,-16395,-21561,-27584,-34642,-42685,-51743,-61835,-73026,-85349,-98805,-113431
RECAL 3 1 2149 64 4 80,-1385,-115341,-102055,-89485,-77519,-66312,-55957,-46515,-37986,-30415,-23796,-18127,-13489,-9741,-6949,-5118,-4233,-4296,-5293,-7221,-10045,-13772,-18401,-23915,-30323,-37605,-45774,-54783,-64516,-75166,-86615,-98710,-111522,-124934
RECAL 3 0 9999 64 4 80,2163,-141929,-125834,-110817,-96880,-84206,-72312,-61433,-51592,-42719,-34825,-27897,-21927,-16953,-12938,-9844,-7683,-6441,-6140,-6763,-8333,-10802,-14251,-18662,-24052,-30444,-37858,-46309,-55854,-66621,-78610,-91781,-106210,-122008
RECAL 3 1 2231 64 4 80,1056,-91099,-81996,-73270,-999999,-57122,-49776,-42928,-36635,-30958,-25727,-21088,-17053,-13617,-10784,-8590,-7025,-6127,-5883,-6290,-7372,-9141,-11597,-14735,-18619,-23160,-28484,-34556,-41378,-48968,-57307,-66414,-76289,-86888
RECAL 3 0 9999 64 4 80,2175,-155871,-139336,-123623,-109054,-95635,-83304,-71932,-61575,-52238,-43930,-36633,-30244,-24788,-20247,-16630,-13929,-12150,-11275,-11300,-12244,-14102,-16914,-20661,-25370,-31076,-37836,-45656,-54533,-64539,-75676,-88022,-101577,-116479
RECAL 3 1 2245 64 4 80,1961,-244240,-228764,-211081,-192241,-173748,-152844,-132898,-113638,-95522,-78781,-63532,-49982,-38258,-28438,-20633,-14878,-11136,-9434,-9838,-12396,-17122,-24110,-33255,-44817,-58795,-75137,-93757,-114669,-137642,-162281,-186418,-208451,-228271
RECAL 3 0 9999 64 4 80,2187,-155705,-139480,-124362,-110414,-97534,-85754,-75027,-65318,-56541,-48700,-41755,-35698,-30545,-26237,-22857,-20266,-18569,-17712,-17726,-18615,-20363,-23036,-26622,-31149,-36618,-43037,-50476,-58909,-68416,-78996,-90572,-103443,-117621
RECAL 3 1 2257 64 4 80,2575,-270558,-269681,-267921,-262106,-250709,-232226,-209073,-184408,-157533,-130983,-106431,-84303,-64790,-48443,-34904,-24566,-17522,-13911,-13785,-17281,-24495,-35396,-50163,-68969,-91951,-119217,-150927,-185360,-217538,-243278,-257923,-263490,-267492
RECAL 3 0 9999 64 4 80,683,-23852,-22872,-21922,-21030,-20219,-19457,-18763,-18113,-17537,-17017,-16570,-16190,-15868,-15627,-15452,-15352,-15328,-15376,-15515,-15725,-16020,-16399,-16856,-17412,-18047,-18782,-19603,-20518,-21537,-22661,-23856,-25155,-26558
RECAL 3 1 746 64 4 80,2614,-270410,-269716,-267444,-261727,-249205,-229850,-205684,-180586,-152348,-125362,-100659,-78849,-59865,-43918,-31127,-21539,-15287,-12456,-13111,-17278,-25194,-36921,-52579,-72335,-96259,-124777,-157928,-192871,-227302,-251928,-262808,-266553,-268167
