cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33
RECAL 3 0 9999 64 4 80,-2201,-118231,-106080,-94902,-84716,-75411,-66992,-59431,-52804,-46916,-41829,-37543,-34037,-31308,-29323,-28114,-27646,-27932,-28982,-30779,-33327,-36624,-40664,-45464,-50939,-57236,-64308,-72179,-80833,-90301,-100519,-111610,-123505,-136248
RECAL 3 1 -2141 64 4 80,-1415,-133873,-120016,-107176,-95128,-84069,-73960,-64842,-56747,-49632,-43519,-38397,-34206,-30998,-28748,-27454,-27098,-27675,-29168,-31522,-34787,-38950,-43976,-49882,-56630,-64228,-72658,-81914,-91853,-102562,-114066,-126332,-139354,-153056
RECAL 3 0 9999 64 4 80,-2257,-115015,-102857,-91773,-81688,-72532,-64402,-57066,-50637,-45048,-40350,-36484,-33441,-31223,-29830,-29215,-29384,-30332,-32048,-34524,-37762,-41783,-46486,-52014,-58330,-65411,-73309,-81996,-91500,-101812,-113098,-125338,-138573,-152756
RECAL 3 1 -2200 64 4 80,1049,-97201,-89005,-81203,-73827,-66972,-60652,-54914,-49712,-45072,-41030,-37594,-34687,-32383,-30670,-29557,-29060,-29172,-29908,-31271,-33214,-35779,-38974,-42787,-47250,-52375,-58148,-64495,-71591,-79358,-87805,-96883,-106707,-117217
RECAL 3 0 9999 64 4 80,-2208,-112422,-101060,-90682,-81159,-72520,-64718,-57725,-51547,-46148,-41584,-37709,-34600,-32229,-30595,-29686,-29497,-30036,-31313,-33301,-36043,-39498,-43702,-48640,-54303,-60733,-67837,-75809,-84560,-94082,-104468,-115679,-127760,-140833
RECAL 3 1 -2149 64 4 80,1974,-247186,-233261,-216036,-197038,-177935,-156285,-135677,-116563,-99136,-83540,-69779,-58077,-999999,-40659,-34937,-31201,-29435,-29684,-31927,-36128,-42372,-50669,-60998,-999999,-87950,-104548,-123360,-144574,-168146,-191105,-214330,-235504,-251486
RECAL 3 0 9999 64 4 80,-2126,-102101,-92368,-83468,-75304,-67998,-61311,-55383,-50153,-45617,-41756,-38589,-36111,-34289,-33140,-32645,-32783,-33559,-34975,-37042,-39728,-43023,-46990,-51608,-56870,-62808,-69414,-76676,-84634,-93321,-102841,-113107,-124200,-136115
RECAL 3 1 -2069 64 4 80,2592,-270814,-269947,-267142,-262222,-251011,-232726,-208698,-182967,-155229,-128871,-105439,-85086,-67921,-54046,-43529,-36374,-32590,-32175,-35076,-41309,-50923,-63930,-80500,-100632,-124322,-152302,-183765,-214944,-243753,-261213,-267356,-269102,-269710
RECAL 3 0 9999 64 4 80,2116,-132206,-119357,-107465,-96510,-86476,-77203,-68768,-61118,-54180,-48060,-42729,-38188,-34402,-31396,-29166,-27708,-27013,-27077,-27929,-29565,-31994,-35212,-39252,-44109,-49754,-56226,-63548,-71764,-80876,-90967,-102032,-113973,-127176
RECAL 3 1 2182 64 4 80,-2861,-268509,-265554,-258550,-243575,-217596,-186287,-153097,-999999,-95512,-73087,-54753,-40483,-30309,-23838,-21110,-22090,-26661,-34811,-46435,-61446,-79931,-101597,-126172,-153255,-181509,-206744,-230618,-249580,-261520,-267763,-270021,-271191,-271338
RECAL 3 0 9999 64 4 80,2016,-125784,-113100,-101281,-90327,-80124,-70716,-62073,-54223,-47208,-40861,-35273,-30443,-26355,-23025,-20416,-18574,-17465,-17117,-17487,-18602,-20441,-23047,-26391,-30518,-35340,-41005,-47467,-54768,-62904,-71940,-81873,-92744,-104630
RECAL 3 1 2084 64 4 80,-2283,-246651,-230417,-210136,-187467,-162675,-137181,-113448,-92069,-73186,-56925,-43339,-32588,-24285,-18644,-15589,-15091,-17120,-21642,-28602,-37938,-49499,-63259,-79124,-96839,-116248,-137093,-158880,-180693,-199761,-218982,-236228,-250461,-260432
RECAL 3 0 9999 64 4 80,2105,-126413,-112979,-100630,-89070,-78299,-68403,-59363,-51182,-43802,-37270,-31510,-26531,-22392,-19078,-16593,-14921,-14086,-14071,-14865,-16508,-18994,-22325,-26514,-31582,-37542,-44413,-52207,-60835,-70490,-81126,-92781,-105541,-119514
RECAL 3 1 2171 64 4 80,-1490,-135235,-120038,-105647,-92156,-79652,-68295,-57828,-48489,-40263,-33145,-27142,-22247,-18449,-15748,-14119,-13539,-13988,-15463,-17948,-21442,-25924,-31305,-37715,-45047,-53306,-62456,-72483,-83304,-94827,-107081,-120035,-133514,-147444
RECAL 3 0 9999 64 4 80,2029,-126990,-113652,-101170,-89570,-78755,-68875,-59669,-51300,-43715,-36952,-30962,-25745,-21308,-17660,-14807,-12708,-11356,-10747,-10886,-11792,-13435,-15814,-18998,-22956,-27692,-33233,-39576,-46773,-54837,-63839,-73857,-84873,-96842
RECAL 3 1 2098 64 4 80,940,-69096,-62273,-55844,-49797,-44127,-38962,-34135,-29728,-25767,-22249,-19181,-16565,-14421,-12761,-11595,-10915,-10714,-11013,-11806,-13101,-14915,-17218,-20083,-23483,-27420,-31916,-36946,-42533,-48694,-55403,-62783,-70714,-79180
RECAL 3 0 9999 64 4 80,2092,-125369,-112107,-99763,-88329,-77710,-68057,-59120,-51028,-43710,-37221,-31501,-26556,-22391,-18994,-16344,-14482,-13420,-13153,-13663,-14972,-17099,-19981,-23753,-28341,-33783,-40092,-47302,-55428,-64528,-74621,-85577,-97530,-110671
RECAL 3 1 2159 64 4 80,1913,-219070,-201541,-184107,-164357,-144142,-124759,-106505,-89605,-74111,-60218,-47972,-37436,-28742,-21954,-17061,-14117,-13132,-14127,-17095,-22132,-29231,-38416,-49700,-63090,-78610,-96097,-115403,-136184,-158241,-180574,-199820,-218624,-235021
RECAL 3 0 9999 64 4 80,2089,-126891,-114106,-102249,-91313,-81186,-71854,-63446,-55712,-48745,-42531,-37077,-32342,-28326,-25035,-22461,-20590,-19471,-19085,-19450,-20556,-22427,-25051,-28402,-32597,-37578,-43359,-50012,-57505,-65899,-75211,-85465,-96532,-108667
RECAL 3 1 2157 64 4 80,2543,-270125,-268209,-263857,-254721,-238795,-217690,-192695,-166946,-139708,-114547,-92065,-72326,-55482,-41573,-30804,-23272,-19025,-18112,-20600,-26588,-36143,-49157,-66102,-86903,-111481,-139956,-171881,-201856,-229791,-249425,-260606,-265465,-268521
RECAL 3 0 9999 64 4 80,-497,-24834,-24371,-23942,-23530,-999999,-22786,-22457,-22159,-21884,-21641,-21416,-21222,-21043,-20907,-20784,-20686,-20622,-20562,-20530,-20525,-20532,-20555,-20602,-20666,-20748,-20842,-20955,-21080,-21228,-21385,-21553,-21731,-21931
RECAL 3 1 -421 64 4 80,2500,-269800,-267974,-264347,-255539,-239925,-218646,-193291,-167269,-140221,-115291,-92992,-73483,-56816,-43100,-32475,-24989,-20502,-19236,-21208,-26520,-35227,-47421,-63186,-82575,-105861,-132787,-163071,-192764,-220830,-242836,-256962,-264154,-267676
RECAL 3 0 9999 64 4 80,-466,-19806,-19380,-18982,-18615,-18278,-17967,-17687,-17431,-17208,-17011,-16834,-16685,-16562,-16461,-16387,-16325,-16292,-16278,-16277,-16304,-16345,-16405,-16479,-16567,-16676,-16800,-16937,-17094,-17255,-17438,-17632,-17837,-18056
RECAL 3 1 -397 64 4 80,1854,-230345,-213781,-195564,-177531,-156974,-137103,-118275,-100718,-84598,-70078,-57236,-46072,-36600,-28860,-22880,-18687,-16280,-15703,-16960,-20080,-25108,-32047,-40905,-51718,-64476,-79244,-95950,-114432,-134475,-155714,-177662,-196762,-215562
RECAL 3 0 9999 64 4 80,-722,-23192,-22002,-20897,-19890,-18975,-18144,-17386,-16706,-16106,-15591,-15137,-14768,-14472,-14247,-14091,-14003,-13973,-14012,-14107,-14268,-14487,-14756,-15085,-15478,-15919,-16413,-16955,-17549,-18193,-18894,-19638,-20428,-21278
RECAL 3 1 -658 64 4 80,826,-56042,-51011,-46328,-41871,-37726,-33883,-30379,-27179,-24307,-21775,-19597,-17776,-16300,-15173,-14409,-14006,-13971,-14307,-15017,-16129,-17625,-19523,-21832,-24542,-27683,-31251,-35271,-39762,-44694,-50096,-55926,-62211,-69001
RECAL 3 0 9999 64 4 80,-357,-20091,-19826,-19583,-19359,-19152,-18963,-18790,-18634,-18498,-18373,-18262,-18162,-18082,-18011,-17956,-17914,-17885,-17866,-17856,-17861,-17870,-17893,-17923,-17963,-18008,-18059,-18119,-18187,-18269,-18349,-18432,-18525,-18616
RECAL 3 0 9999 64 4 80,-774,-28382,-27196,-26118,-25118,-24222,-23402,-22675,-22028,-21467,-20978,-20577,-20248,-20008,-19838,-19741,-19725,-19769,-19888,-20075,-20326,-20650,-21034,-21497,-22009,-22584,-23213,-23911,-24637,-25426,-26273,-27164,-28119,-29112
RECAL 3 1 -715 64 4 80,-2329,-254386,-241360,-222695,-199670,-175854,-149043,-124081,-101840,-81960,-64744,-50285,-38531,-999999,-23113,-19364,-18219,-19664,-23706,-30298,-39405,-51007,-64973,-81283,-99425,-119783,-141748,-164837,-186896,-207433,-226605,-243070,-255378,-263550
RECAL 3 0 9999 64 4 80,-221,-33674,-33661,-33665,-33683,-33699,-33712,-33750,-33780,-33806,-33862,-33896,-33940,-33996,-34039,-34091,-34135,-34189,-34251,-34310,-34359,-34415,-34474,-34528,-34583,-34639,-34697,-34758,-34801,-34872,-34914,-34963,-35021,-35072
RECAL 3 1 -221 64 4 80,-2898,-270178,-268914,-266340,-260611,-245534,-218518,-186138,-152898,-122549,-96755,-75491,-58461,-45590,-36803,-31920,-30828,-33426,-39678,-49520,-62857,-79646,-99365,-122442,-148164,-176024,-201151,-225689,-245825,-259414,-266369,-269408,-270509,-271141
RECAL 3 0 9999 64 4 80,-2261,-116301,-103922,-92554,-82164,-72667,-64067,-56442,-49573,-43516,-38313,-33909,-30332,-27529,-25515,-24295,-23838,-24123,-25141,-26909,-29422,-32685,-36686,-41360,-46847,-53107,-60138,-67954,-76566,-85985,-96176,-107361,-119523,-132665
RECAL 3 1 -2200 64 4 80,-2886,-269984,-268391,-265471,-256845,-234778,-201809,-167904,-134222,-105369,-81064,-61094,-45385,-33525,-25529,-21284,-20718,-23790,-30450,-40489,-54132,-71226,-91673,-115312,-142009,-171269,-198277,-224342,-245432,-259650,-266353,-269733,-270857,-271176
RECAL 3 0 9999 64 4 80,-2349,-130590,-116141,-102918,-90882,-79979,-70136,-61250,-53373,-46430,-40392,-35272,-31042,-27725,-25231,-23597,-22804,-22851,-23738,-25446,-27979,-31374,-35615,-40714,-46683,-53496,-61183,-69797,-79296,-89578,-100892,-113216,-126570,-141016
RECAL 3 1 -2287 64 4 80,-2317,-253763,-239291,-218569,-193912,-169114,-142657,-118468,-96912,-78126,-999999,-48447,-37657,-29441,-23854,-20891,-20538,-22766,-27517,-34810,-44568,-56650,-71312,-88287,-107394,-128603,-151551,-175790,-197282,-218337,-236707,-250930,-260863,-266321
RECAL 3 0 9999 64 4 80,-2266,-114494,-100928,-88505,-77104,-66724,-57370,-48982,-41639,-35121,-29507,-24791,-20954,-17979,-15857,-14567,-14106,-14442,-15578,-17485,-20173,-23654,-27901,-32942,-38677,-45258,-52672,-60865,-69937,-79809,-90552,-102118,-114722,-128399
RECAL 3 1 -2206 64 4 80,-1545,-140421,-124004,-108622,-94538,-81427,-69461,-58634,-48998,-40527,-33233,-27092,-22076,-18191,-15471,-13890,-13450,-14120,-15910,-18806,-22742,-27811,-33961,-41177,-49435,-58713,-69022,-80268,-92310,-105153,-118795,-133126,-148055,-163367
RECAL 3 0 9999 64 4 80,-2337,-120849,-106503,-93451,-81560,-70717,-60919,-52145,-44341,-37519,-31703,-26721,-22637,-19453,-17154,-15718,-15134,-15399,-16514,-18491,-21308,-24983,-29525,-34920,-41176,-48283,-56186,-65088,-74898,-85644,-97288,-109955,-123647,-138399
RECAL 3 1 -2276 64 4 80,849,-61152,-55747,-50622,-45809,-41330,-37235,-33447,-30012,-26921,-24170,-21775,-19729,-18069,-16757,-15819,-15270,-15103,-15341,-15972,-17014,-18484,-20375,-22730,-25509,-28739,-32430,-36598,-41213,-46244,-51815,-57871,-64410,-71444
RECAL 3 0 9999 64 4 80,-2280,-115227,-101905,-89697,-78345,-68020,-58671,-50272,-42787,-36229,-30560,-25774,-21893,-18803,-16553,-15126,-14531,-14740,-15756,-17566,-20125,-23463,-27575,-32464,-38119,-44570,-51839,-59887,-68670,-78381,-88963,-100362,-112687,-125998
RECAL 3 1 -2219 64 4 80,1866,-223788,-205499,-186302,-165942,-144808,-124824,-106432,-89697,-74510,-60940,-49096,-38953,-30534,-23865,-18999,-15850,-14509,-14991,-17328,-21525,-27623,-35641,-45673,-57763,-71857,-87900,-105798,-125544,-147002,-169750,-190491,-210783,-229096
RECAL 3 0 9999 64 4 80,-2286,-119157,-999999,-94637,-83946,-74106,-65125,-57039,-49816,-43437,-37911,-33204,-29291,-26235,-23933,-22410,-21677,-21720,-22536,-24118,-26465,-29553,-33371,-37962,-43276,-49388,-56259,-63927,-72403,-81562,-91646,-102593,-114427,-127216
RECAL 3 1 -2224 64 4 80,2507,-270344,-268862,-265521,-258420,-243766,-221737,-195453,-168664,-140536,-115104,-92675,-73201,-56746,-43330,-33086,-25744,-21534,-20473,-22632,-28026,-36789,-48933,-64778,-84293,-107474,-134383,-164962,-195427,-224807,-247641,-260252,-265841,-268756
RECAL 3 0 9999 64 4 80,2168,-132504,-119528,-107551,-96141,-85573,-75755,-66728,-58537,-51121,-44498,-38706,-33775,-29637,-26319,-23803,-22115,-21258,-21227,-22048,-23729,-26279,-29710,-34038,-39271,-45432,-52518,-60581,-69768,-79938,-91143,-103386,-116757,-131259
RECAL 3 1 2234 64 4 80,-2669,-269313,-266332,-259543,-245411,-222897,-194687,-165141,-134749,-107428,-83540,-63194,-46568,-33916,-24857,-19677,-18383,-20967,-27477,-37903,-52244,-70205,-91798,-116841,-145109,-175936,-203915,-230489,-251144,-262899,-267969,-269425,-271230,-271592
RECAL 3 0 9999 64 4 80,2081,-127915,-115490,-103771,-92781,-82523,-72948,-64106,-56017,-48733,-42126,-36263,-31141,-26775,-23168,-20330,-18283,-16998,-16524,-16872,-18054,-20086,-22974,-26728,-31374,-36828,-43261,-50655,-58967,-68229,-78472,-89695,-101869,-115049
RECAL 3 1 2149 64 4 80,-2081,-246820,-999999,-209091,-186727,-163243,-139441,-117331,-97193,-79192,-63479,-49835,-38491,-29463,-22755,-999999,-16276,-16517,-19118,-24112,-31505,-41288,-53432,-67953,-84748,-103701,-124414,-147256,-171572,-193743,-215804,-235520,-250590,-260823
RECAL 3 0 9999 64 4 80,2160,-127823,-114473,-101934,-90175,-79319,-69064,-59592,-50967,-43151,-36180,-30020,-24700,-20230,-16658,-13925,-12049,-11017,-10853,-11568,-13166,-15622,-19015,-23342,-28584,-34777,-41946,-50076,-59199,-69390,-80705,-93060,-106495,-121042
RECAL 3 1 2227 64 4 80,-1227,-113888,-101074,-89111,-78093,-67754,-58285,-49689,-41961,-35099,-29098,-23966,-19695,-16304,-13728,-11967,-10991,-10815,-11428,-12817,-14940,-17875,-21567,-26001,-31181,-37099,-43715,-51074,-59117,-67989,-77553,-87758,-98512,-109883
RECAL 3 0 9999 64 4 80,2156,-133346,-119761,-106983,-94995,-83786,-73493,-63819,-54947,-46894,-39669,-33264,-27666,-22915,-19003,-15958,-13762,-12419,-11914,-12271,-13495,-15616,-18580,-22474,-27288,-33042,-39734,-47384,-56025,-65651,-76321,-88133,-100990,-114949
RECAL 3 1 2224 64 4 80,1147,-124278,-111598,-99777,-88508,-77911,-68033,-58940,-50605,-43048,-36316,-30298,-25093,-20729,-17234,-14584,-12817,-11918,-11897,-12736,-14483,-17139,-20714,-25226,-30668,-37053,-44351,-52504,-61550,-999999,-82342,-93987,-106445,-119686
RECAL 3 0 9999 64 4 80,2150,-127663,-114555,-102287,-90852,-80157,-70260,-61106,-52903,-45369,-38601,-32647,-27483,-23132,-19589,-16870,-14979,-13938,-13709,-14308,-15764,-18075,-21243,-25296,-30167,-35997,-42723,-50414,-59030,-68634,-79201,-90811,-103508,-999999
RECAL 3 1 2217 64 4 80,1982,-265799,-259047,-245757,-225456,-201130,-176739,-150332,-126000,-103983,-84488,-67334,-52508,-40025,-29900,-22116,-16703,-13664,-12994,-14690,-18802,-25313,-34207,-45488,-59104,-74985,-93132,-113380,-135480,-159003,-182880,-204081,-224942,-242652
RECAL 3 0 9999 64 4 80,2138,-132010,-119467,-107599,-96503,-86241,-76720,-67962,-59969,-52726,-46243,-40590,-35592,-31361,-27879,-25164,-23229,-22079,-21705,-22123,-23322,-25310,-28105,-31713,-36138,-41398,-47495,-54362,-62191,-70936,-80582,-91156,-102678,-115250
RECAL 3 1 2206 64 4 80,2564,-271113,-271515,-270722,-270311,-268029,-262079,-245620,-217468,-185253,-152179,-121834,-95541,-73178,-54594,-39818,-28937,-21628,-18074,-18294,-22296,-30103,-41736,-57129,-76176,-98346,-123779,-151988,-181905,-208652,-233546,-252339,-263148,-268207
RECAL 3 0 9999 64 4 80,220,-18962,-18893,-18820,-18760,-18708,-18650,-18602,-18558,-18523,-18495,-18474,-18454,-18444,-18449,-999999,-18455,-18482,-18521,-18563,-18612,-18678,-18754,-18836,-18926,-19035,-19161,-19278,-19426,-19592,-19760,-19943,-20139,-20357
RECAL 3 1 271 64 4 80,2592,-271756,-271232,-270917,-270248,-268172,-260993,-241396,-210346,-178193,-144301,-114402,-88688,-66905,-49036,-34976,-24779,-18407,-15827,-16939,-21751,-30233,-42368,-58130,-77377,-99674,-125410,-154023,-184005,-211275,-236279,-254393,-264019,-268504
RECAL 3 0 9999 64 4 80,330,-16324,-16164,-16012,-15879,-15750,-15632,-15528,-15441,-15368,-15310,-15264,-15239,-15236,-15247,-15274,-15322,-15395,-15485,-15588,-15719,-15879,-16052,-16259,-16482,-16738,-17011,-17318,-17647,-18005,-18401,-18808,-19252,-19727
RECAL 3 1 378 64 4 80,2016,-267996,-264370,-999999,-238378,-215306,-189917,-164604,-139070,-116028,-95087,-76536,-60282,-46458,-35024,-26001,-999999,-15260,-13534,-14319,-17627,-23456,-31788,-42586,-55827,-71207,-89018,-108862,-130734,-154318,-179057,-201024,-222962,-241914
RECAL 3 0 9999 64 4 80,354,-14346,-14092,-13858,-13632,-13427,-13235,-13060,-12903,-12770,-12647,-12548,-12472,-12415,-12380,-12365,-12374,-12408,-12469,-12554,-12660,-12802,-12968,-13162,-13385,-13634,-13920,-14233,-14585,-14966,-15391,-15848,-16340,-16879
RECAL 3 1 410 64 4 80,1207,-133416,-119567,-106470,-94363,-82863,-72147,-62233,-53189,-45006,-37721,-31324,-25890,-21357,-999999,-15010,-13224,-12366,-12448,-13478,-15437,-18386,-22301,-27195,-33065,-39914,-47731,-56524,-66386,-77241,-89043,-101688,-115226,-129565
RECAL 3 0 9999 64 4 80,376,-13824,-13578,-13338,-13122,-12923,-12744,-12590,-12454,-12342,-12249,-12183,-12142,-12120,-12125,-12154,-12211,-12294,-12410,-12552,-12725,-12930,-13167,-13431,-13731,-14071,-14445,-14854,-15316,-15810,-16349,-16922,-17541,-18217
RECAL 3 1 425 64 4 80,-1162,-95812,-85089,-75038,-65845,-57286,-49476,-42414,-36108,-30534,-25695,-21594,-18189,-15508,-13559,-12355,-11872,-12106,-13050,-14698,-17018,-20052,-23783,-28181,-33247,-38970,-45324,-52328,-59877,-67958,-76593,-85760,-95412,-105571
RECAL 3 0 9999 64 4 80,-488,-24419,-24088,-23786,-23512,-23272,-23071,-22900,-22760,-22648,-22565,-22509,-22487,-22487,-22514,-22565,-22647,-22745,-22872,-23022,-23186,-23372,-23576,-23806,-24052,-24299,-24580,-24883,-25191,-25527,-25864,-26222,-26597,-26983
RECAL 3 1 -442 64 4 80,-2042,-242835,-224627,-202862,-181378,-157660,-135105,-114356,-95484,-78502,-63621,-50955,-40507,-32336,-26430,-22809,-21470,-22407,-25636,-31153,-38978,-49106,-61488,-76144,-92774,-111317,-131753,-153973,-177594,-198727,-220218,-238837,-253300,-261940
RECAL 3 0 9999 64 4 80,419,-36507,-36161,-35850,-35561,-35291,-35038,-34820,-34611,-34439,-34293,-34167,-34056,-33968,-33923,-33899,-33898,-33937,-33982,-34081,-999999,-34318,-34507,-34731,-34992,-35292,-35623,-35989,-36418,-36866,-999999,-37851,-38441,-39047
RECAL 3 1 477 64 4 80,-2639,-268395,-264706,-255299,-237298,-212718,-185298,-155993,-128004,-103170,-81679,-63658,-49276,-999999,-31883,-28744,-29340,-33669,-41778,-53666,-69421,-88626,-111693,-138373,-168286,-197317,-225833,-999999,-262130,-267983,-270294,-270829,-271333,-271646
RECAL 3 0 9999 64 4 80,-2197,-110739,-100126,-90351,-81305,-73035,-65508,-58836,-52813,-47525,-42963,-39150,-36046,-33668,-32031,-31114,-30945,-31538,-32902,-35014,-37897,-41559,-45979,-51105,-57067,-63806,-71365,-79674,-88801,-98693,-109463,-120965,-133312,-146614
RECAL 3 1 -2138 64 4 80,-2672,-268670,-265600,-257598,-240750,-215533,-186931,-157089,-128692,-103630,-81999,-63785,-49099,-38041,-30691,-26954,-26979,-30825,-38548,-50177,-65720,-85159,-107979,-134496,-164476,-194336,-223925,-248525,-262813,-268179,-270170,-271108,-271494,-271613
RECAL 3 0 9999 64 4 80,-2280,-113422,-101644,-90786,-80612,-71314,-62851,-55241,-48475,-42515,-37386,-33062,-29594,-26880,-24990,-23938,-23698,-24280,-25704,-27967,-31015,-34876,-39551,-45038,-51374,-58504,-66488,-75321,-84873,-95332,-106716,-119021,-132250,-146583
RECAL 3 1 -2221 64 4 80,-2085,-240567,-219807,-999999,-173825,-149534,-127248,-107069,-89048,-73041,-59152,-47549,-38010,-30675,-25563,-22692,-999999,-23711,-27605,-33837,-42473,-53440,-66717,-82331,-100060,-119972,-141922,-165401,-188603,-211414,-232773,-249975,-260991,-266443
RECAL 3 0 9999 64 4 80,-2201,-99130,-88646,-78923,-70018,-61831,-54458,-47819,-42031,-36889,-32492,-28826,-25900,-23717,-22271,-21569,-21621,-22439,-24031,-26381,-29518,-33428,-38124,-43588,-49754,-56800,-64626,-73250,-82686,-92880,-103940,-115867,-128547,-142146
RECAL 3 1 -2143 64 4 80,-1239,-117745,-105542,-94175,-83642,-73913,-65007,-57059,-49807,-43371,-37782,-33011,-29057,-25923,-23609,-22112,-21423,-21505,-22374,-24007,-26396,-29547,-33455,-38045,-43423,-49527,-56325,-63835,-72011,-80844,-90337,-100383,-111185,-122634
RECAL 3 0 9999 64 4 80,-2203,-90468,-80360,-71037,-62502,-54758,-47757,-41513,-36082,-31299,-27243,-23922,-21328,-19464,-18343,-17936,-18293,-19390,-21249,-23881,-27266,-31431,-36366,-42061,-48430,-55675,-63713,-72529,-82138,-92524,-103754,-115836,-128801,-142560
RECAL 3 1 -2147 64 4 80,1132,-123241,-111415,-100259,-89803,-79963,-70909,-62411,-54638,-47564,-41231,-35617,-30761,-26646,-23308,-20700,-18910,-17926,-17777,-18469,-19988,-22365,-25544,-29622,-34573,-40387,-47076,-54645,-63078,-72372,-82492,-93235,-104793,-117121
RECAL 3 0 9999 64 4 80,-2212,-100316,-89928,-80458,-71795,-63889,-56763,-50387,-44726,-39808,-35622,-32190,-29407,-27360,-26029,-25423,-25521,-26351,-27897,-30212,-33278,-37090,-41651,-46967,-53039,-59889,-67490,-75766,-84927,-94842,-105601,-117198,-129682,-143132
RECAL 3 1 -2155 64 4 80,1969,-269167,-265634,-256893,-239360,-216206,-191040,-166669,-142227,-120109,-100371,-82927,-67651,-54695,-44028,-35581,-29344,-25320,-23558,-24046,-26803,-31773,-39043,-48571,-60331,-74252,-90286,-108235,-128171,-149963,-173722,-195613,-217887,-237996
RECAL 3 0 9999 64 4 80,-2229,-103893,-93152,-83309,-74241,-65968,-58484,-51825,-45934,-40755,-36286,-32522,-29444,-27069,-25374,-24385,-24083,-24457,-25531,-27292,-29759,-32911,-36770,-41367,-46705,-52760,-59542,-67066,-75337,-84349,-94122,-104520,-115883,-128152
RECAL 3 1 -2169 64 4 80,2555,-270990,-271232,-270986,-270718,-268064,-259794,-237482,-205813,-174218,-142186,-114040,-89904,-69441,-52633,-39487,-29957,-24031,-21705,-22973,-27834,-36328,-48401,-64012,-83041,-105356,-130889,-159139,-188041,-216205,-240953,-257793,-266105,-268965
RECAL 3 0 9999 64 4 80,2144,-130442,-118353,-107243,-96918,-87501,-78820,-70907,-63780,-57453,-51780,-46857,-42661,-39172,-36397,-34320,-32956,-32293,-32331,-33072,-34502,-36641,-39485,-43042,-47345,-52314,-58111,-64676,-72061,-80272,-89352,-99306,-110266,-122303
RECAL 3 1 2210 64 4 80,-2695,-269538,-268439,-266119,-259323,-240543,-210182,-177783,-144474,-115696,-91479,-71360,-55141,-42897,-34523,-29946,-29122,-31991,-38527,-48505,-62131,-79189,-99347,-122396,-147887,-175080,-199296,-223084,-243057,-257747,-265597,-269333,-270929,-271338
RECAL 3 0 9999 64 4 80,2080,-120880,-108974,-97868,-87607,-78034,-69240,-61160,-53836,-47318,-41423,-36224,-31726,-27922,-24801,-22389,-20661,-19643,-19321,-19722,-20870,-22764,-25409,-28819,-33013,-37930,-43723,-50375,-57874,-66282,-75638,-85982,-97308,-109843
RECAL 3 1 2148 64 4 80,-2104,-250280,-235768,-215280,-191309,-166547,-140749,-117145,-96251,-77896,-61992,-48630,-37746,-29300,-23261,-19605,-18319,-19320,-22622,-28187,-36005,-46010,-58157,-72359,-88651,-106608,-126122,-146843,-168330,-188174,-207031,-224998,-240595,-253659
RECAL 3 0 9999 64 4 80,2057,-109223,-97718,-87076,-77141,-67961,-59542,-51896,-45043,-38924,-33485,-28757,-24730,-21401,-18778,-16872,-15638,-15114,-15316,-16237,-17894,-20290,-23459,-27405,-32188,-37782,-44219,-51530,-59717,-68862,-78968,-89967,-102133,-115491
RECAL 3 1 2122 64 4 80,-1252,-118327,-105408,-93180,-81893,-71431,-61869,-53217,-45471,-38611,-32651,-27616,-23396,-20039,-17545,-15900,-15085,-15097,-15931,-17541,-19940,-23122,-27054,-31746,-37177,-43338,-50223,-57686,-65909,-74770,-84234,-94213,-104714,-115681
RECAL 3 0 9999 64 4 80,2061,-108291,-96685,-85935,-75941,-66691,-58260,-50662,-43752,-37591,-32139,-27388,-23349,-20007,-17417,-15488,-14276,-13790,-14023,-14988,-16695,-19161,-22406,-26467,-31346,-37045,-43581,-51007,-59314,-68583,-78697,-89982,-102275,-115778
RECAL 3 1 2126 64 4 80,1149,-115111,-103606,-92520,-82108,-72344,-63275,-54924,-47326,-40485,-34368,-28982,-24399,-20621,-17657,-15520,-14221,-13774,-14172,-15435,-17581,-20607,-24532,-29368,-35110,-41769,-49324,-57705,-66962,-77128,-88130,-99857,-112352,-125542
RECAL 3 0 9999 64 4 80,2063,-118231,-105919,-94467,-83844,-74001,-65032,-56859,-49420,-42696,-36711,-31418,-26830,-22933,-19770,-17265,-15453,-14336,-13927,-14227,-15251,-16991,-19505,-22777,-26834,-31677,-37314,-43769,-51105,-59301,-68313,-78390,-89443,-101523
RECAL 3 1 2131 64 4 80,1990,-256654,-245730,-230524,-211417,-189975,-167569,-143641,-121272,-100878,-82454,-66046,-51797,-39757,-29925,-22314,-16988,-13901,-13144,-14723,-18726,-25151,-34040,-45440,-59458,-76102,-95103,-116437,-139746,-164334,-187620,-209038,-228191,-243964
RECAL 3 0 9999 64 4 80,2126,-122951,-110750,-99456,-89032,-79366,-70419,-62214,-54820,-48159,-42285,-37126,-32681,-28956,-25992,-23701,-22128,-21271,-21123,-21712,-23025,-25075,-27860,-31365,-35612,-40624,-46407,-52992,-60402,-68684,-77704,-87753,-98737,-110806
