path,cmd,attempt,peak_ok,code,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127
pm_pm_mcs1|slot=1|step=1/1|RECAL 1 3 15 9 9 47|tgt=3 c1=15 c2=9 c3=9 c4=47,RECAL 3 0 9999 9999 64 4 80,1,0,ParabolaNotDownward,-44,-222720,-222707,-222703,-222698,-222686,-222697,-222705,-222698,-222710,-222699,-222705,-222719,-222701,-222700,-222710,-222709,-222689,-222698,-222699,-222691,-222702,-222701,-222698,-222704,-222706,-222714,-222711,-222697,-222698,-222713,-222708,-222704,-222707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/1|RECAL 1 3 15 9 9 47|tgt=3 c1=15 c2=9 c3=9 c4=47,RECAL 3 0 9999 9999 200 4 80,2,0,ParabolaNotDownward,-180,-224996,-224921,-224854,-224779,-224687,-224661,-224581,-224557,-224498,-224425,-224399,-224376,-224350,-224320,-224292,-224240,-224235,-224216,-224177,-224174,-224167,-224161,-224130,-224106,-224095,-224096,-224098,-224077,-224066,-224054,-224066,-224055,-224048,-224049,-224024,-224020,-224038,-224024,-224025,-224033,-224034,-224043,-224043,-224030,-224039,-224033,-224033,-224018,-224046,-224041,-224023,-224038,-224037,-224025,-224009,-224033,-224027,-224008,-224025,-224027,-224020,-224022,-224026,-224034,-224038,-224054,-224057,-224067,-224068,-224072,-224094,-224097,-224110,-224126,-224162,-224160,-224192,-224220,-224235,-224271,-224303,-224332,-224363,-224414,-224467,-224520,-224561,-224608,-224683,-224733,-224803,-224889,-224963,-225048,-225146,-225238,-225331,-225423,-225545,-225662,-225800,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/1|RECAL 1 3 15 9 9 47|tgt=3 c1=15 c2=9 c3=9 c4=47,RECAL 3 0 9999 -180 200 4 80,3,0,ParabolaNotDownward,-380,-240889,-240231,-239532,-238906,-238279,-237686,-237100,-236531,-235979,-235454,-234945,-234456,-233985,-233536,-233086,-232684,-232271,-231872,-231497,-231118,-230754,-230399,-230087,-229770,-229467,-229181,-228914,-228631,-228381,-228148,-227889,-227680,-227455,-227241,-227069,-226892,-226706,-226551,-226374,-226235,-226076,-225931,-225800,-225687,-225574,-225464,-225348,-225246,-225172,-225076,-225008,-224922,-224859,-224779,-224726,-224667,-224597,-224551,-224518,-224456,-224414,-224380,-224339,-224319,-224295,-224262,-224241,-224205,-224194,-224170,-224147,-224113,-224110,-224091,-224084,-224054,-224062,-224045,-224041,-224033,-224025,-224038,-224029,-224036,-224022,-224033,-224032,-224036,-224020,-224017,-224014,-224013,-224019,-224028,-224018,-224005,-224006,-224005,-224013,-224005,-223997,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/1|RECAL 1 3 15 9 9 47|tgt=3 c1=15 c2=9 c3=9 c4=47,RECAL 3 0 9999 220 200 4 80,4,0,ParabolaNotDownward,20,-223998,-224015,-224016,-224013,-224020,-224014,-224006,-224024,-224019,-224014,-224011,-224000,-224027,-224027,-224040,-224050,-224031,-224040,-224039,-224057,-224078,-224099,-224108,-224112,-224122,-224173,-224170,-224210,-224227,-224269,-224305,-224329,-224363,-224413,-224451,-224497,-224558,-224611,-224652,-224728,-224800,-224850,-224948,-225040,-225123,-225207,-225318,-225441,-225549,-225658,-225792,-225925,-226082,-226229,-226400,-226560,-226740,-226923,-227121,-227307,-227544,-227770,-228023,-228268,-228522,-228781,-229092,-229402,-229695,-230019,-230360,-230698,-231062,-231447,-231843,-232248,-232676,-233119,-233594,-234059,-234554,-235043,-235581,-236138,-236718,-237321,-237952,-238604,-239284,-239960,-240692,-241401,-242163,-242935,-243735,-244573,-245440,-246340,-247252,-248209,-249206,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/1|RECAL 1 3 15 9 9 47|tgt=3 c1=15 c2=9 c3=9 c4=47,RECAL 3 0 9999 -380 200 4 80,5,0,ParabolaNotDownward,-580,-311764,-309413,-307125,-304879,-302665,-300532,-298426,-296343,-294302,-292292,-290382,-288414,-286524,-284720,-282923,-281214,-279510,-277896,-276274,-274695,-273142,-271614,-270143,-268719,-267304,-265913,-264580,-263251,-261973,-260701,-259492,-258284,-257089,-255939,-254881,-253794,-252748,-251737,-250737,-249761,-248813,-247893,-247006,-246153,-245316,-244525,-243713,-242974,-242246,-241508,-240850,-240161,-239496,-238866,-238259,-237661,-237061,-236524,-235969,-235449,-234939,-234439,-233984,-233529,-233087,-232664,-232239,-231847,-231464,-231100,-230730,-230390,-230051,-229752,-229451,-229156,-228878,-228617,-228366,-228118,-227872,-227656,-227447,-227252,-227052,-226873,-226701,-226508,-226359,-226206,-226066,-225932,-225793,-225672,-225557,-225442,-225329,-225246,-225148,-225050,-224986,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_pm_mcs1|slot=1|step=1/1|RECAL 1 3 15 9 9 47|tgt=3 c1=15 c2=9 c3=9 c4=47,RECAL 3 0 9999 420 200 4 80,6,0,ParabolaNotDownward,220,-225785,-225923,-226075,-226216,-226396,-226574,-226732,-226930,-227133,-227306,-227524,-227757,-228014,-228266,-228524,-228801,-229084,-229389,-229691,-230009,-230349,-230676,-231051,-231439,-231846,-232238,-232676,-233110,-233579,-234074,-234526,-235041,-235586,-236152,-236720,-237318,-237937,-238587,-239257,-239951,-240670,-241386,-242151,-242925,-243727,-244558,-245437,-246328,-247256,-248206,-249193,-250208,-251229,-252289,-253372,-254514,-255636,-256824,-258058,-259332,-260628,-261972,-263361,-264749,-266201,-267703,-269238,-270824,-272470,-274117,-275851,-277631,-279430,-281238,-283136,-285114,-287144,-289288,-291400,-293568,-295788,-298067,-300352,-302724,-305126,-307613,-310160,-312770,-315454,-318121,-320901,-323748,-326666,-329675,-332713,-335853,-339006,-342234,-345617,-349137,-352655,,,,,,,,,,,,,,,,,,,,,,,,,,
