line_no,cmd,sweep_mode,base_dac,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
2211,RECAL 3 1 -2027 64 4 80,1,-2027,64,4,80,-2118.000000,33,1,Ok,158934.000000,NonMono,15,-124082.000000,15.601034,16,-2055.595863,31,[0]=-282849;[1]=-281175;[2]=-276900;[3]=-268698;[4]=-253965;[5]=-234735;[6]=-215171;[7]=-196979;[8]=-181639;[9]=-167165;[10]=-154535;[11]=-144109;[12]=-135807;[13]=-129755;[14]=-125846;[15]=-124082;[16]=-124524;[17]=-127187;[18]=-131841;[19]=-138782;[20]=-147788;[21]=-158955;[22]=-172214;[23]=-186412;[24]=-202631;[25]=-220610;[26]=-239092;[27]=-256321;[28]=-269023;[29]=-276354;[30]=-280104
2212,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,-2090.000000,33,1,Ok,92865.000000,NonMono,14,-121205.000000,14.217724,14,-2033.129105,29,[0]=-183521;[1]=-175407;[2]=-167299;[3]=-159934;[4]=-153210;[5]=-147180;[6]=-141825;[7]=-137043;[8]=-132919;[9]=-129440;[10]=-126568;[11]=-124313;[12]=-122657;[13]=-121641;[14]=-121205;[15]=-121383;[16]=-122161;[17]=-123531;[18]=-125543;[19]=-128110;[20]=-131259;[21]=-134958;[22]=-139304;[23]=-144212;[24]=-149713;[25]=-155833;[26]=-162633;[27]=-169906;[28]=-177982
2213,RECAL 3 1 -2033 64 4 80,1,-2033,64,4,80,-1233.000000,33,1,Ok,87592.000000,NonMono,16,-121217.000000,15.469459,15,-1171.122163,33,[0]=-207360;[1]=-196604;[2]=-186827;[3]=-178282;[4]=-169337;[5]=-161291;[6]=-153926;[7]=-147358;[8]=-141549;[9]=-136471;[10]=-132136;[11]=-128543;[12]=-125649;[13]=-123423;[14]=-121978;[15]=-121240;[16]=-121217;[17]=-121915;[18]=-123305;[19]=-125445;[20]=-128226;[21]=-131649;[22]=-135791;[23]=-140591;[24]=-146050;[25]=-152123;[26]=-158893;[27]=-166281;[28]=-174298;[29]=-182350;[30]=-190211;[31]=-199226;[32]=-208809
2214,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,-2100.000000,33,1,Ok,83584.000000,NonMono,15,-120334.000000,15.209768,15,-2039.160929,29,[0]=-191146;[1]=-182744;[2]=-174503;[3]=-166388;[4]=-159029;[5]=-152362;[7]=-140926;[8]=-136182;[9]=-132064;[10]=-128564;[11]=-125688;[12]=-123401;[13]=-121776;[14]=-120759;[15]=-120334;[16]=-120532;[18]=-122695;[19]=-124707;[20]=-127318;[21]=-130520;[22]=-134283;[23]=-138651;[24]=-143614;[25]=-149177;[26]=-155325;[27]=-162180;[28]=-169668;[29]=-177800;[30]=-185543
2215,RECAL 3 1 -2039 64 4 80,1,-2039,64,4,80,1202.000000,33,1,Ok,112251.000000,NonMono,16,-120323.000000,15.545498,16,1264.181992,33,[0]=-211735;[1]=-200854;[2]=-190791;[3]=-182004;[4]=-173244;[5]=-164680;[6]=-156851;[7]=-149805;[8]=-143499;[9]=-137891;[10]=-133059;[11]=-129000;[12]=-125650;[13]=-123080;[14]=-121342;[15]=-120423;[16]=-120323;[17]=-121075;[18]=-122630;[19]=-125111;[20]=-128399;[21]=-132575;[22]=-137637;[23]=-143583;[24]=-150418;[25]=-158203;[26]=-166926;[27]=-176578;[28]=-186019;[29]=-196443;[30]=-207956;[31]=-220152;[32]=-232574
2216,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,-2204.000000,33,1,Ok,82721.000000,NonMono,15,-122505.000000,14.933771,15,-2144.264916,31,[0]=-196613;[1]=-187087;[2]=-178839;[3]=-170223;[4]=-162349;[5]=-155179;[6]=-148868;[7]=-143221;[8]=-138347;[9]=-134080;[10]=-130496;[11]=-127571;[12]=-125300;[13]=-123714;[14]=-122770;[15]=-122505;[16]=-122880;[17]=-123892;[18]=-125591;[19]=-127898;[20]=-130845;[21]=-134419;[22]=-138663;[23]=-143545;[24]=-148986;[25]=-155218;[26]=-162153;[27]=-169768;[28]=-178125;[29]=-186081;[30]=-195104
2217,RECAL 3 1 -2144 64 4 80,1,-2144,64,4,80,2043.000000,33,1,Ok,160998.000000,NonMono,16,-122485.000000,16.759484,17,2110.037936,33,[0]=-283483;[1]=-282825;[2]=-281098;[3]=-278087;[4]=-270494;[5]=-256570;[6]=-237625;[7]=-217730;[8]=-198909;[9]=-182793;[10]=-167988;[11]=-154947;[12]=-144163;[13]=-135484;[14]=-128980;[15]=-124620;[16]=-122485;[17]=-122587;[18]=-124894;[19]=-129521;[20]=-136369;[21]=-145542;[22]=-156969;[23]=-170757;[24]=-185899;[25]=-203108;[26]=-222656;[27]=-242747;[28]=-260666;[29]=-272578;[30]=-278500;[31]=-281501;[32]=-282592
2218,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,-2119.000000,33,1,Ok,94218.000000,NonMono,14,-126603.000000,13.928084,14,-2063.287664,29,[0]=-184133;[1]=-176537;[2]=-168957;[3]=-161992;[4]=-155678;[5]=-150056;[6]=-145079;[7]=-140700;[8]=-136903;[9]=-133729;[10]=-131145;[11]=-129130;[12]=-127710;[13]=-126874;[14]=-126603;[15]=-126948;[16]=-127850;[17]=-129355;[18]=-131413;[19]=-134049;[20]=-137309;[21]=-141130;[22]=-145564;[23]=-150576;[24]=-156207;[25]=-162450;[26]=-169309;[27]=-176857;[28]=-184172
2219,RECAL 3 1 -2063 64 4 80,1,-2063,64,4,80,2632.000000,33,1,Ok,159445.000000,NonMono,17,-125021.000000,16.744995,17,2698.979982,27,[4]=-283730;[5]=-282695;[6]=-279654;[7]=-272486;[8]=-255108;[9]=-230851;[10]=-206378;[11]=-185236;[12]=-167180;[13]=-151782;[14]=-140061;[15]=-131564;[16]=-126558;[17]=-125021;[18]=-127048;[19]=-132617;[20]=-141847;[21]=-154702;[22]=-171439;[23]=-190171;[24]=-212946;[25]=-237971;[26]=-261465;[27]=-275298;[28]=-280985;[29]=-283321;[30]=-284022
2220,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2413.000000,33,1,Ok,98242.000000,NonMono,17,-130737.000000,16.677992,17,2479.711969,31,[2]=-208179;[3]=-198399;[4]=-189348;[5]=-181596;[6]=-173602;[7]=-165941;[8]=-159085;[9]=-152895;[10]=-147505;[11]=-142842;[12]=-138899;[13]=-135731;[14]=-133349;[15]=-131719;[16]=-130843;[17]=-130737;[18]=-131357;[19]=-132769;[20]=-134968;[21]=-137904;[22]=-141677;[23]=-146256;[24]=-151605;[25]=-157769;[26]=-164799;[27]=-172650;[28]=-181129;[29]=-189452;[30]=-199345;[31]=-210190;[32]=-221665
2221,RECAL 3 1 2480 64 4 80,1,2480,64,4,80,-2937.000000,33,1,Ok,160168.000000,NonMono,14,-123992.000000,14.242010,14,-2880.031960,28,[0]=-283028;[1]=-282155;[2]=-279965;[3]=-275256;[4]=-265346;[5]=-247819;[6]=-226166;[7]=-204114;[8]=-184307;[9]=-166695;[10]=-151501;[11]=-139648;[12]=-131103;[13]=-125889;[14]=-123992;[15]=-125526;[16]=-130427;[17]=-138696;[18]=-150318;[19]=-165345;[20]=-183166;[21]=-202882;[22]=-225497;[23]=-247756;[25]=-275663;[26]=-280417;[27]=-282623;[28]=-283438
2222,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2398.000000,33,1,Ok,102842.000000,NonMono,17,-123325.000000,17.029117,17,2466.116469,31,[2]=-205141;[3]=-195171;[4]=-186126;[5]=-177958;[6]=-169399;[7]=-161490;[8]=-154257;[9]=-147907;[10]=-142227;[11]=-137224;[12]=-133001;[13]=-129556;[14]=-126842;[15]=-124887;[16]=-123698;[17]=-123325;[18]=-123723;[19]=-124892;[20]=-126871;[21]=-129587;[22]=-133078;[23]=-137383;[24]=-142497;[25]=-148313;[26]=-155031;[27]=-162564;[28]=-170908;[29]=-180011;[30]=-188754;[31]=-198916;[32]=-209971
2223,RECAL 3 1 2466 64 4 80,1,2466,64,4,80,-2306.000000,33,1,Ok,163463.000000,NonMono,14,-120216.000000,14.352729,14,-2248.589083,29,[0]=-274943;[1]=-267692;[2]=-255658;[3]=-239472;[4]=-221898;[5]=-204421;[6]=-188263;[7]=-174179;[8]=-160561;[9]=-148802;[10]=-138981;[11]=-131180;[12]=-125474;[13]=-121781;[14]=-120216;[15]=-120737;[16]=-123350;[17]=-128010;[18]=-134774;[19]=-143646;[20]=-154530;[21]=-167580;[22]=-182256;[23]=-197688;[24]=-215376;[25]=-233681;[26]=-251188;[27]=-265362;[28]=-274048
2224,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2456.000000,33,1,Ok,115356.000000,NonMono,17,-117974.000000,17.726593,18,2526.906371,28,[3]=-200112;[4]=-189932;[5]=-181090;[6]=-171858;[7]=-163146;[8]=-155158;[9]=-147927;[10]=-141549;[11]=-135837;[12]=-130901;[13]=-126724;[14]=-123319;[15]=-120743;[16]=-118973;[17]=-117974;[19]=-118431;[20]=-119905;[21]=-122247;[22]=-125451;[23]=-129490;[24]=-134370;[25]=-140156;[26]=-146686;[27]=-154158;[28]=-162547;[29]=-171774;[30]=-181659;[31]=-191329
2225,RECAL 3 1 2527 64 4 80,1,2527,64,4,80,-1404.000000,33,1,Ok,107970.000000,NonMono,14,-116617.000000,14.257779,14,-1346.968885,29,[0]=-192604;[1]=-183309;[2]=-174140;[3]=-165095;[4]=-156843;[5]=-149374;[6]=-142704;[7]=-136791;[8]=-131590;[9]=-127144;[10]=-123441;[11]=-120577;[12]=-118504;[13]=-117170;[14]=-116617;[15]=-116834;[16]=-117767;[17]=-119479;[18]=-121928;[19]=-125149;[20]=-129124;[21]=-133782;[22]=-139191;[23]=-145275;[24]=-151956;[25]=-159336;[26]=-167354;[27]=-176177;[28]=-184669
2226,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2368.000000,33,1,Ok,112178.000000,NonMono,18,-116325.000000,17.862228,18,2439.448912,29,[4]=-186741;[5]=-178248;[6]=-169186;[7]=-160865;[8]=-153150;[9]=-146149;[10]=-139834;[11]=-134271;[12]=-129458;[13]=-125361;[14]=-122042;[15]=-119461;[16]=-117678;[17]=-116624;[18]=-116325;[19]=-116808;[20]=-118040;[21]=-120056;[22]=-122871;[23]=-126525;[24]=-130912;[25]=-136023;[26]=-141925;[27]=-148577;[28]=-155975;[29]=-164217;[30]=-173285;[31]=-182635;[32]=-191838
2227,RECAL 3 1 2439 64 4 80,1,2439,64,4,80,1190.000000,33,1,Ok,87499.000000,NonMono,16,-116334.000000,15.572774,16,1252.291094,32,[0]=-190618;[1]=-182571;[2]=-174422;[3]=-166268;[4]=-158771;[5]=-151830;[6]=-145535;[7]=-139891;[8]=-134756;[9]=-130249;[10]=-126346;[11]=-123044;[12]=-120422;[13]=-118441;[14]=-117074;[15]=-116392;[16]=-116334;[17]=-116913;[18]=-118163;[19]=-120037;[20]=-122597;[21]=-125888;[22]=-129804;[23]=-134309;[24]=-139592;[25]=-145544;[26]=-152146;[27]=-159462;[29]=-176206;[30]=-184650;[31]=-193653;[32]=-203833
2228,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2374.000000,33,1,Ok,106995.000000,NonMono,17,-115943.000000,17.525381,18,2444.101525,31,[2]=-201503;[3]=-191444;[4]=-182664;[5]=-173798;[6]=-165056;[7]=-156961;[8]=-149568;[9]=-142904;[10]=-136966;[11]=-131741;[12]=-127250;[13]=-123445;[14]=-120450;[15]=-118223;[16]=-116700;[17]=-115943;[18]=-115952;[19]=-116713;[20]=-118261;[21]=-120569;[22]=-123674;[23]=-127564;[24]=-132203;[25]=-137597;[26]=-143782;[27]=-150705;[28]=-158472;[29]=-167038;[30]=-176491;[31]=-185539;[32]=-195582
2229,RECAL 3 1 2444 64 4 80,1,2444,64,4,80,2126.000000,33,1,Ok,165627.000000,NonMono,17,-115771.000000,16.189051,16,2190.756205,31,[2]=-274907;[3]=-266857;[4]=-253311;[5]=-236329;[6]=-218280;[7]=-200594;[8]=-184778;[9]=-170289;[10]=-156744;[11]=-145168;[12]=-135446;[13]=-127731;[14]=-121799;[15]=-117847;[16]=-115845;[17]=-115771;[18]=-117632;[19]=-121454;[20]=-127258;[21]=-135015;[22]=-144837;[23]=-156624;[24]=-170387;[25]=-185121;[26]=-201267;[27]=-219135;[28]=-237252;[29]=-253911;[30]=-267010;[31]=-274992;[32]=-279149
2230,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,2463.000000,33,1,Ok,110062.000000,NonMono,17,-119612.000000,17.374456,17,2532.497822,31,[2]=-207136;[3]=-196569;[4]=-186861;[5]=-178296;[6]=-169230;[7]=-160956;[8]=-153406;[9]=-146706;[10]=-140670;[11]=-135369;[12]=-130857;[13]=-127059;[14]=-124021;[15]=-121789;[16]=-120305;[17]=-119612;[18]=-119698;[19]=-120593;[20]=-122310;[21]=-124818;[22]=-128201;[23]=-132378;[24]=-137382;[25]=-143160;[26]=-149813;[27]=-157322;[28]=-165741;[29]=-175087;[30]=-184415;[31]=-194475;[32]=-205810
2231,RECAL 3 1 2532 64 4 80,1,2532,64,4,80,2770.000000,33,1,Ok,165983.000000,NonMono,17,-118483.000000,16.668267,17,2836.673067,30,[2]=-283896;[3]=-283281;[5]=-279761;[6]=-273140;[7]=-259493;[8]=-237964;[9]=-214160;[10]=-191887;[11]=-173128;[12]=-155987;[13]=-142005;[14]=-131255;[15]=-123740;[16]=-119473;[17]=-118483;[18]=-120688;[19]=-126144;[20]=-134840;[21]=-146839;[22]=-162089;[23]=-180288;[24]=-199575;[25]=-221721;[26]=-243903;[27]=-262925;[28]=-273870;[29]=-279154;[30]=-281858;[31]=-282721;[32]=-283712
2232,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,723.000000,33,1,Ok,8707.000000,NonMono,18,-123275.000000,18.015977,18,795.063910,28,[4]=-128741;[5]=-128014;[7]=-126746;[8]=-126172;[9]=-125631;[10]=-125123;[11]=-124703;[12]=-124328;[13]=-124010;[14]=-123751;[15]=-123546;[16]=-123382;[17]=-123312;[18]=-123275;[19]=-123308;[20]=-123403;[21]=-123556;[22]=-123756;[23]=-124044;[24]=-124393;[25]=-124824;[26]=-125301;[27]=-125877;[28]=-126470;[29]=-127177;[30]=-127939;[31]=-128767;[32]=-129685
2233,RECAL 3 1 795 64 4 80,1,795,64,4,80,2765.000000,33,1,Ok,163515.000000,NonMono,17,-120978.000000,17.489233,17,2834.956934,31,[2]=-284061;[3]=-283791;[4]=-283203;[5]=-281445;[6]=-277189;[7]=-267144;[8]=-248464;[9]=-225093;[10]=-202169;[11]=-182363;[12]=-164421;[13]=-149485;[14]=-137540;[15]=-128830;[16]=-123262;[17]=-120978;[18]=-121884;[19]=-126018;[20]=-133334;[21]=-143867;[22]=-157735;[23]=-174862;[24]=-193227;[25]=-214840;[26]=-237433;[27]=-257709;[28]=-271096;[29]=-277992;[30]=-281135;[31]=-282791;[32]=-283824
2234,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,285.000000,33,1,Ok,1850.000000,NonMono,20,-118063.000000,20.277026,20,366.108102,25,[8]=-118825;[9]=-118727;[10]=-118641;[11]=-118535;[12]=-118439;[13]=-118362;[14]=-118300;[15]=-118230;[16]=-118181;[17]=-118145;[18]=-118102;[19]=-118080;[20]=-118063;[21]=-118070;[22]=-118088;[23]=-118127;[24]=-118166;[25]=-118228;[26]=-118290;[27]=-118377;[28]=-118467;[29]=-118584;[30]=-118723;[31]=-118862;[32]=-119025
2235,RECAL 3 1 366 64 4 80,1,366,64,4,80,2124.000000,33,1,Ok,164396.000000,NonMono,17,-117840.000000,16.324099,16,2189.296397,31,[2]=-276381;[3]=-269465;[4]=-256842;[5]=-239810;[6]=-221762;[7]=-204023;[8]=-187854;[9]=-173648;[10]=-160010;[11]=-148246;[12]=-138392;[13]=-130512;[14]=-124405;[15]=-120270;[16]=-118078;[17]=-117840;[18]=-119547;[19]=-123200;[20]=-128869;[21]=-136418;[22]=-146033;[23]=-157640;[24]=-171157;[25]=-185582;[26]=-201519;[27]=-218998;[28]=-236769;[29]=-253177;[30]=-266091;[31]=-274388;[32]=-278740
2236,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,235.000000,33,1,Ok,1967.000000,NonMono,23,-117187.000000,23.071451,23,327.285804,19,[14]=-117546;[15]=-117476;[16]=-117413;[17]=-117358;[18]=-117309;[19]=-117255;[20]=-117238;[21]=-117221;[22]=-117208;[23]=-117187;[24]=-117192;[25]=-117211;[26]=-117228;[27]=-117271;[28]=-117333;[29]=-117381;[30]=-117454;[31]=-117544;[32]=-117649
