cmd,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33
RECAL 3 1 2081 64 4 80,-2136,-279743,-276310,-268926,-255768,-237274,-217244,-197667,-181047,-164833,-150802,-139154,-129852,-122864,-118265,-115935,-115891,-118132,-122645,-129446,-138405,-149521,-162729,-177914,-192963,-210666,-228882,-246250,-261336,-271369,-276878,-279846,-281829,-282720
RECAL 3 0 9999 64 4 80,2114,-224311,-211755,-199718,-188668,-179157,-169211,-160078,-151742,-144346,-137740,-131900,-126847,-122488,-118963,-116160,-114097,-112836,-112259,-112446,-113373,-115080,-117565,-120806,-124829,-129718,-135435,-141982,-149384,-157656,-166862,-177018,-186893,-198026
RECAL 3 1 2183 64 4 80,-1272,-202338,-191131,-181332,-171187,-161719,-152943,-145093,-138127,-132000,-126738,-122224,-118547,-115707,-113650,-112392,-111930,-112220,-113273,-115103,-117674,-120999,-125063,-129875,-135434,-141716,-148689,-156335,-164693,-173703,-182783,-191630,-201518,-211861
RECAL 3 0 9999 64 4 80,2095,-228688,-216075,-203860,-192481,-182697,-173191,-163836,-155326,-147682,-140833,-134723,-129417,-124816,-121076,-118086,-115841,-114327,-113545,-113508,-114224,-115672,-117862,-120832,-124561,-129118,-134413,-140522,-147435,-155152,-163902,-173602,-183596,-193998
RECAL 3 1 2165 64 4 80,1161,-205981,-195824,-186373,-177729,-168550,-160034,-152157,-145067,-138634,-132873,-127873,-123521,-119953,-117155,-115155,-113890,-113425,-113752,-114890,-116835,-119609,-123185,-127698,-133092,-139361,-146524,-154489,-163398,-173204,-183201,-193267,-204829,-216929
RECAL 3 0 9999 64 4 80,2118,-227794,-215157,-203019,-191742,-182074,-172340,-163048,-154678,-147207,-140444,-134450,-129232,-124706,-120966,-117984,-115751,-114224,-113424,-113373,-114064,-115519,-117687,-120635,-124388,-128997,-134362,-140575,-147612,-155499,-164304,-174082,-183866,-194402
RECAL 3 1 2188 64 4 80,2022,-282307,-280558,-277408,-272229,-262964,-248379,-231037,-212951,-194913,-179317,-163752,-150024,-138343,-128752,-121307,-116181,-113293,-112658,-114296,-118238,-124565,-133332,-144487,-157887,-173978,-190742,-210254,-230734,-250323,-265711,-274210,-278837,-281487
RECAL 3 0 9999 64 4 80,2131,-224428,-212448,-201121,-190688,-181880,-173112,-164723,-157155,-150355,-144307,-138959,-134356,-130493,-127276,-124742,-122950,-121868,-121450,-121778,-122788,-124552,-127088,-130314,-134286,-139041,-144576,-150863,-157988,-165872,-174769,-183809,-193369,-204478
RECAL 3 1 2199 64 4 80,2615,-284126,-284041,-284160,-283889,-283081,-280944,-277760,-271070,-256810,-235483,-212294,-189987,-170840,-153386,-139274,-128587,-121388,-117794,-117908,-121663,-129399,-141049,-156797,-176859,-199182,-225909,-252673,-271318,-279178,-282051,-283270,-283269,-283819
RECAL 3 0 9999 64 4 80,-449,-125807,-125497,-125174,-124883,-124612,-124370,-124147,-123961,-123772,-123620,-123478,-123328,-123228,-123125,-123058,-123008,-122943,-122929,-122930,-122921,-122938,-122963,-123009,-123060,-123126,-123188,-123282,-123385,-123491,-123609,-123747,-123880,-124011
