line_no,cmd,sweep_mode,base_x,base_y,legacy_5param,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
2200,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,614.000000,33,1,Ok,6568.000000,NonMono,18,-229963.000000,18.367426,18,687.469704,25,[6]=-233059;[7]=-232596;[8]=-232166;[9]=-231772;[10]=-231412;[11]=-231091;[12]=-230816;[13]=-230564;[14]=-230364;[15]=-230201;[16]=-230081;[17]=-230004;[18]=-229963;[19]=-229973;[20]=-230020;[21]=-230116;[22]=-230254;[23]=-230435;[24]=-230677;[25]=-230962;[26]=-231294;[27]=-231676;[28]=-232109;[29]=-232591;[30]=-233140
2201,RECAL 3 1 9999 687 64 4 80,1,9999,687,0,64,4,80,2164.000000,33,1,Ok,227266.000000,NonMono,16,-229968.000000,16.251186,16,2229.004745,5,[14]=-234562;[15]=-231352;[16]=-229968;[17]=-230430;[18]=-232761
2202,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,686.000000,33,1,Ok,10516.000000,NonMono,20,-230292.000000,19.871758,20,765.487030,21,[10]=-233074;[11]=-232562;[12]=-232092;[13]=-231670;[14]=-231304;[15]=-230987;[16]=-230742;[17]=-230536;[18]=-230396;[19]=-230323;[20]=-230292;[21]=-230332;[22]=-230427;[23]=-230596;[24]=-230824;[25]=-231120;[26]=-231480;[27]=-231906;[28]=-232404;[29]=-232975;[30]=-233605
2203,RECAL 3 1 9999 765 64 4 80,1,9999,765,0,64,4,80,1211.000000,33,1,Ok,87132.000000,NonMono,16,-230292.000000,15.664008,16,1273.656033,7,[13]=-232367;[14]=-231083;[15]=-230395;[16]=-230292;[17]=-230803;[18]=-231910;[19]=-233647
2204,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,756.000000,33,1,Ok,10918.000000,NonMono,18,-231904.000000,18.196335,18,828.785339,21,[8]=-235478;[9]=-234822;[10]=-234234;[11]=-233699;[12]=-233249;[13]=-232849;[14]=-232522;[15]=-232263;[16]=-232072;[17]=-231949;[18]=-231904;[19]=-231921;[20]=-232019;[21]=-232192;[22]=-232432;[23]=-232753;[24]=-233150;[25]=-233635;[26]=-234194;[27]=-234834;[28]=-235566
2205,RECAL 3 1 9999 829 64 4 80,1,9999,829,0,64,4,80,-1415.000000,33,1,Ok,108553.000000,NonMono,14,-230659.000000,14.114912,14,-1358.540353,7,[11]=-234014;[12]=-232205;[13]=-231089;[14]=-230659;[15]=-230928;[16]=-231893;[17]=-233553
2206,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,535.000000,33,1,Ok,8711.000000,NonMono,24,-237609.000000,23.900817,24,630.603268,17,[16]=-238688;[17]=-238441;[18]=-238223;[19]=-238037;[20]=-237884;[21]=-237762;[22]=-237670;[23]=-237621;[24]=-237609;[25]=-237634;[26]=-237697;[27]=-237793;[28]=-237927;[29]=-238108;[30]=-238329;[31]=-238604;[32]=-238900
2207,RECAL 3 1 9999 631 64 4 80,1,9999,631,0,64,4,80,-2330.000000,33,1,Ok,268067.000000,NonMono,14,-234101.000000,14.085464,14,-2273.658146,5,[12]=-238141;[13]=-235199;[14]=-234101;[15]=-234888;[16]=-237582
2208,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,902.000000,33,1,Ok,16325.000000,NonMono,20,-245899.000000,19.739986,20,980.959943,17,[12]=-248545;[13]=-247925;[14]=-247375;[15]=-246913;[16]=-246521;[17]=-246243;[18]=-246035;[19]=-245923;[20]=-245899;[21]=-245972;[22]=-246136;[23]=-246405;[24]=-246760;[25]=-247223;[26]=-247785;[27]=-248455;[28]=-249229
2209,RECAL 3 1 9999 981 64 4 80,1,9999,981,0,64,4,80,-2971.000000,33,1,Ok,280179.000000,NonMono,14,-239083.000000,13.891206,14,-2915.435177,5,[12]=-244342;[13]=-240244;[14]=-239083;[15]=-240917;[16]=-245816
2210,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2322.000000,33,1,Ok,70074.000000,NonMono,16,-243106.000000,16.115530,16,-2257.537878,9,[12]=-247756;[13]=-245778;[14]=-244329;[15]=-243438;[16]=-243106;[17]=-243323;[18]=-244070;[19]=-245365;[20]=-247196
2211,RECAL 3 1 9999 -2258 64 4 80,1,9999,-2258,0,64,4,80,-2946.000000,33,1,Ok,282401.000000,NonMono,14,-236847.000000,13.981575,14,-2890.073699,5,[12]=-242626;[13]=-238279;[14]=-236847;[15]=-238417;[16]=-243067
2212,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2420.000000,33,1,Ok,75435.000000,NonMono,16,-236954.000000,15.748162,16,-2357.007350,7,[13]=-239226;[14]=-237872;[15]=-237108;[16]=-236954;[17]=-237418;[18]=-238474;[19]=-240132
2213,RECAL 3 1 9999 -2357 64 4 80,1,9999,-2357,0,64,4,80,-2301.000000,33,1,Ok,261006.000000,NonMono,14,-234224.000000,14.257107,14,-2243.971573,5,[12]=-238802;[13]=-235608;[14]=-234224;[15]=-234672;[16]=-236962
2214,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2363.000000,33,1,Ok,72158.000000,NonMono,16,-229366.000000,15.698071,16,-2300.207716,7,[13]=-231392;[14]=-230149;[15]=-229480;[16]=-229366;[17]=-229820;[18]=-230814;[19]=-232378
2215,RECAL 3 1 9999 -2300 64 4 80,1,9999,-2300,0,64,4,80,-1367.000000,33,1,Ok,96597.000000,NonMono,14,-228493.000000,14.311965,14,-1309.752140,7,[11]=-231902;[12]=-230140;[13]=-229001;[14]=-228493;[15]=-228607;[16]=-229358;[17]=-230720
2216,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2382.000000,33,1,Ok,76753.000000,NonMono,15,-227520.000000,15.223213,15,-2321.107147,9,[11]=-232661;[12]=-230498;[13]=-228930;[14]=-227933;[15]=-227520;[16]=-227683;[17]=-228401;[18]=-229692;[19]=-231540
2217,RECAL 3 1 9999 -2321 64 4 80,1,9999,-2321,0,64,4,80,1260.000000,33,1,Ok,92583.000000,NonMono,16,-227508.000000,15.707975,16,1322.831899,7,[13]=-229836;[14]=-228428;[15]=-227648;[16]=-227508;[17]=-228034;[18]=-229218;[19]=-231076
2218,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2411.000000,33,1,Ok,73206.000000,NonMono,16,-227832.000000,15.813415,16,-2347.746340,9,[12]=-232141;[13]=-230169;[14]=-228797;[15]=-228021;[16]=-227832;[17]=-228231;[18]=-229216;[19]=-230783;[20]=-232892
2219,RECAL 3 1 9999 -2348 64 4 80,1,9999,-2348,0,64,4,80,2191.000000,33,1,Ok,232938.000000,NonMono,16,-227815.000000,16.327109,16,2256.308438,5,[14]=-232714;[15]=-229352;[16]=-227815;[17]=-228143;[18]=-230348
2220,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2441.000000,33,1,Ok,76346.000000,NonMono,16,-235657.000000,16.304273,16,-2375.782906,7,[13]=-238810;[14]=-237170;[15]=-236124;[16]=-235657;[17]=-235768;[18]=-236457;[19]=-237717
2221,RECAL 3 1 9999 -2376 64 4 80,1,9999,-2376,0,64,4,80,2835.000000,33,1,Ok,285477.000000,NonMono,17,-233932.000000,17.053328,17,2903.213311,5,[15]=-240212;[16]=-235591;[17]=-233932;[18]=-235283;[19]=-239671
2222,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2378.000000,33,1,Ok,100203.000000,NonMono,17,-231419.000000,16.707506,17,2444.830024,7,[14]=-233933;[15]=-232402;[16]=-231554;[17]=-231419;[18]=-231976;[19]=-233231;[20]=-235220
2223,RECAL 3 1 9999 2445 64 4 80,1,9999,2445,0,64,4,80,-2947.000000,33,1,Ok,287528.000000,NonMono,15,-229038.000000,14.810939,15,-2887.756245,5,[13]=-234326;[14]=-230061;[15]=-229038;[16]=-231262;[17]=-236628
2224,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2461.000000,33,1,Ok,109966.000000,NonMono,17,-223216.000000,16.534313,17,2527.137252,7,[14]=-225683;[15]=-224059;[16]=-223237;[17]=-223216;[18]=-223981;[19]=-225545;[20]=-227918
2225,RECAL 3 1 9999 2527 64 4 80,1,9999,2527,0,64,4,80,-2311.000000,33,1,Ok,254080.000000,NonMono,15,-222198.000000,15.038339,15,-2250.846642,5,[13]=-226405;[14]=-223288;[15]=-222198;[16]=-223130;[17]=-226070
2226,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2384.000000,33,1,Ok,104639.000000,NonMono,17,-219872.000000,16.576109,17,2450.304437,7,[14]=-222318;[15]=-220746;[16]=-219928;[17]=-219872;[18]=-220576;[19]=-222050;[20]=-224295
2227,RECAL 3 1 9999 2450 64 4 80,1,9999,2450,0,64,4,80,-1400.000000,33,1,Ok,94092.000000,NonMono,16,-219813.000000,16.257723,16,-1334.969108,7,[13]=-223589;[14]=-221600;[15]=-220356;[16]=-219813;[17]=-219983;[18]=-220855;[19]=-222431
2228,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2489.000000,33,1,Ok,123767.000000,NonMono,17,-219793.000000,17.212324,17,2557.849298,7,[14]=-224056;[15]=-221807;[16]=-220386;[17]=-219793;[18]=-220031;[19]=-221115;[20]=-223046
2229,RECAL 3 1 9999 2558 64 4 80,1,9999,2558,0,64,4,80,1212.000000,33,1,Ok,86636.000000,NonMono,16,-219763.000000,16.459481,16,1277.837924,7,[13]=-223603;[14]=-221678;[15]=-220405;[16]=-219763;[17]=-219799;[18]=-220489;[19]=-221859
2230,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2413.000000,33,1,Ok,114986.000000,NonMono,17,-219854.000000,17.301443,17,2482.205772,7,[14]=-224025;[15]=-221865;[16]=-220475;[17]=-219854;[18]=-220008;[19]=-220939;[20]=-222646
2231,RECAL 3 1 9999 2482 64 4 80,1,9999,2482,0,64,4,80,2146.000000,33,1,Ok,234866.000000,NonMono,17,-218775.000000,17.025028,17,2214.100111,5,[15]=-222766;[16]=-219805;[17]=-218775;[18]=-219716;[19]=-222644
2232,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2457.000000,33,1,Ok,111409.000000,NonMono,17,-223720.000000,17.176996,17,2525.707985,7,[14]=-227474;[15]=-225483;[16]=-224225;[17]=-223720;[18]=-223963;[19]=-224962;[20]=-226719
2233,RECAL 3 1 9999 2526 64 4 80,1,9999,2526,0,64,4,80,2790.000000,33,1,Ok,293583.000000,NonMono,17,-221882.000000,17.069153,17,2858.276614,5,[15]=-228611;[16]=-223682;[17]=-221882;[18]=-223265;[19]=-227929
2234,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,781.000000,33,1,Ok,10486.000000,NonMono,15,-227425.000000,14.911141,15,840.644563,21,[5]=-230453;[6]=-229884;[7]=-229371;[8]=-228919;[9]=-228526;[10]=-228195;[11]=-227915;[12]=-227691;[13]=-227542;[14]=-227451;[15]=-227425;[16]=-227461;[17]=-227569;[18]=-227734;[19]=-227980;[20]=-228294;[21]=-228677;[22]=-229129;[23]=-229653;[24]=-230253;[25]=-230929
2235,RECAL 3 1 9999 841 64 4 80,1,9999,841,0,64,4,80,2835.000000,33,1,Ok,290421.000000,NonMono,17,-225203.000000,17.188244,17,2903.752976,5,[15]=-232801;[16]=-227416;[17]=-225203;[18]=-226218;[19]=-230532
2236,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,597.000000,33,1,Ok,5760.000000,NonMono,17,-220876.000000,16.398279,16,662.593114,23,[6]=-223001;[7]=-222629;[8]=-222283;[9]=-221974;[10]=-221700;[11]=-221465;[12]=-221267;[13]=-221112;[14]=-220990;[15]=-220910;[16]=-220880;[17]=-220876;[18]=-220925;[19]=-221014;[20]=-221159;[21]=-221332;[22]=-221564;[23]=-221840;[24]=-222166;[25]=-222541;[26]=-222977;[27]=-223441;[28]=-223974
2237,RECAL 3 1 9999 663 64 4 80,1,9999,663,0,64,4,80,2208.000000,33,1,Ok,251474.000000,NonMono,17,-220097.000000,16.878248,17,2275.512994,5,[15]=-223721;[16]=-220884;[17]=-220097;[18]=-221403;[19]=-224826
2238,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,840.000000,33,1,Ok,12482.000000,NonMono,17,-217699.000000,16.885258,17,907.541031,17,[9]=-220539;[10]=-219878;[11]=-219295;[12]=-218807;[13]=-218409;[14]=-218087;[15]=-217868;[16]=-217739;[17]=-217699;[18]=-217761;[19]=-217914;[20]=-218170;[21]=-218524;[22]=-218972;[23]=-219532;[24]=-220185;[25]=-220955
2239,RECAL 3 1 9999 908 64 4 80,1,9999,908,0,64,4,80,1313.000000,33,1,Ok,97479.000000,NonMono,17,-217511.000000,16.750200,17,1380.000802,7,[14]=-220368;[15]=-218667;[16]=-217707;[17]=-217511;[18]=-218100;[19]=-219470;[20]=-221636
2240,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,429.000000,33,1,Ok,3317.000000,NonMono,16,-217668.000000,16.410541,16,494.642166,17,[8]=-218459;[9]=-218289;[10]=-218130;[11]=-218003;[12]=-217894;[13]=-217808;[14]=-217738;[15]=-217687;[16]=-217668;[17]=-217672;[18]=-217699;[19]=-217754;[20]=-217824;[21]=-217930;[22]=-218058;[23]=-218216;[24]=-218400
2241,RECAL 3 1 9999 495 64 4 80,1,9999,495,0,64,4,80,-1288.000000,33,1,Ok,80904.000000,NonMono,15,-217550.000000,15.309858,15,-1226.760566,7,[12]=-220830;[13]=-219130;[14]=-218036;[15]=-217550;[16]=-217660;[17]=-218381;[18]=-219701
2242,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,760.000000,33,1,Ok,9319.000000,NonMono,17,-222664.000000,16.808584,17,827.234337,19,[8]=-225334;[9]=-224781;[10]=-224271;[11]=-223840;[12]=-223475;[13]=-223168;[14]=-222938;[15]=-222775;[16]=-222682;[17]=-222664;[18]=-222712;[19]=-222835;[20]=-223035;[21]=-223309;[22]=-223658;[23]=-224092;[24]=-224613;[25]=-225205;[26]=-225883
2243,RECAL 3 1 9999 827 64 4 80,1,9999,827,0,64,4,80,-2249.000000,33,1,Ok,249550.000000,NonMono,15,-222202.000000,15.270734,15,-2187.917062,5,[13]=-227068;[14]=-223674;[15]=-222202;[16]=-222637;[17]=-224985
2244,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,388.000000,33,0,ParabolaNotDownward,2121.000000,Flat,17,-228196.000000,,,,0,
2245,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,252.000000,101,1,Ok,30581.000000,NonMono,50,-228119.000000,50.962834,51,455.851337,39,[31]=-230837;[32]=-230597;[33]=-230370;[34]=-230151;[35]=-229929;[36]=-229728;[37]=-229530;[38]=-229350;[39]=-229177;[40]=-229017;[41]=-228861;[42]=-228737;[43]=-228604;[44]=-228500;[45]=-228394;[46]=-228311;[47]=-228243;[48]=-228187;[49]=-228157;[50]=-228119;[51]=-228121;[52]=-228129;[53]=-228151;[54]=-228202;[55]=-228260;[56]=-228336;[57]=-228436;[58]=-228549;[59]=-228700;[60]=-228850;[61]=-229030;[62]=-229233;[63]=-229448;[64]=-229700;[65]=-229960;[66]=-230258;[67]=-230568;[68]=-230907;[69]=-231277
2246,RECAL 3 0 9999 456 64 4 80,0,9999,456,0,64,4,80,392.000000,33,0,ParabolaNotDownward,2450.000000,Flat,15,-228084.000000,,,,0,
2247,RECAL 3 1 9999 456 64 4 80,1,9999,456,0,64,4,80,-2897.000000,33,1,Ok,290467.000000,NonMono,15,-225763.000000,14.771826,15,-2837.912697,5,[13]=-230692;[14]=-226631;[15]=-225763;[16]=-228074;[17]=-233536
2248,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2430.000000,33,1,Ok,90377.000000,NonMono,15,-232800.000000,14.786765,15,-2370.852942,7,[12]=-235150;[13]=-233757;[14]=-232969;[15]=-232800;[16]=-233226;[17]=-234259;[18]=-235880
2249,RECAL 3 1 9999 -2371 64 4 80,1,9999,-2371,0,64,4,80,-2925.000000,33,1,Ok,286618.000000,NonMono,15,-230539.000000,14.790225,15,-2865.839100,5,[13]=-235540;[14]=-231445;[15]=-230539;[16]=-232746;[17]=-238054
2250,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2342.000000,33,1,Ok,85388.000000,NonMono,15,-224591.000000,14.887515,15,-2282.449940,9,[11]=-229093;[12]=-227066;[13]=-225644;[14]=-224820;[15]=-224591;[16]=-224949;[17]=-225897;[18]=-227428;[19]=-229530
2251,RECAL 3 1 9999 -2282 64 4 80,1,9999,-2282,0,64,4,80,-2289.000000,33,1,Ok,252727.000000,NonMono,16,-224596.000000,15.568216,16,-2226.727135,5,[14]=-226823;[15]=-224726;[16]=-224596;[17]=-226406;[18]=-230156
2252,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2426.000000,33,1,Ok,94291.000000,NonMono,15,-222632.000000,14.827916,15,-2366.688334,7,[12]=-225210;[13]=-223697;[14]=-222842;[15]=-222632;[16]=-223059;[17]=-224133;[18]=-225841
2253,RECAL 3 1 9999 -2367 64 4 80,1,9999,-2367,0,64,4,80,-1360.000000,33,1,Ok,85575.000000,NonMono,16,-222629.000000,15.815100,16,-1296.739601,7,[13]=-225264;[14]=-223717;[15]=-222836;[16]=-222629;[17]=-223079;[18]=-224200;[19]=-225968
2254,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2307.000000,33,1,Ok,79574.000000,NonMono,15,-225427.000000,15.348708,15,-2245.605167,7,[12]=-228676;[13]=-226997;[14]=-225920;[15]=-225427;[16]=-225512;[17]=-226174;[18]=-227417
2255,RECAL 3 1 9999 -2246 64 4 80,1,9999,-2246,0,64,4,80,1245.000000,33,1,Ok,88325.000000,NonMono,17,-225281.000000,16.650572,17,1311.602287,7,[14]=-227639;[15]=-226173;[16]=-225380;[17]=-225281;[18]=-225866;[19]=-227156;[20]=-229148
2256,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2386.000000,33,1,Ok,86407.000000,NonMono,15,-227721.000000,15.211831,15,-2325.152677,7,[12]=-230928;[13]=-229232;[14]=-228166;[15]=-227721;[16]=-227900;[17]=-228698;[18]=-230107
2257,RECAL 3 1 9999 -2325 64 4 80,1,9999,-2325,0,64,4,80,2164.000000,33,1,Ok,237659.000000,NonMono,17,-226151.000000,17.283267,17,2233.133068,5,[15]=-231150;[16]=-227680;[17]=-226151;[18]=-226576;[19]=-228976
2258,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2348.000000,33,1,Ok,80502.000000,NonMono,15,-233894.000000,15.312000,15,-2286.752000,7,[12]=-237070;[13]=-235419;[14]=-234363;[15]=-233894;[16]=-233999;[17]=-234685;[18]=-235955
2259,RECAL 3 1 9999 -2287 64 4 80,1,9999,-2287,0,64,4,80,2802.000000,33,1,Ok,285643.000000,NonMono,17,-231261.000000,17.319776,17,2871.279105,5,[15]=-239447;[16]=-233816;[17]=-231261;[18]=-231829;[19]=-235575
2260,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2377.000000,33,1,Ok,120888.000000,NonMono,17,-234962.000000,17.173319,17,2445.693274,7,[14]=-239243;[15]=-236966;[16]=-235534;[17]=-234962;[18]=-235237;[19]=-236382;[20]=-238382
2261,RECAL 3 1 9999 2446 64 4 80,1,9999,2446,0,64,4,80,-2862.000000,33,1,Ok,291024.000000,NonMono,14,-229639.000000,14.235953,14,-2805.056189,5,[12]=-237935;[13]=-232106;[14]=-229639;[15]=-230522;[16]=-234797
2262,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2287.000000,33,1,Ok,114166.000000,NonMono,17,-231482.000000,17.069423,17,2355.277691,7,[14]=-235243;[15]=-233188;[16]=-231934;[17]=-231482;[18]=-231825;[19]=-232978;[20]=-234956
2263,RECAL 3 1 9999 2355 64 4 80,1,9999,2355,0,64,4,80,-2234.000000,33,1,Ok,262044.000000,NonMono,15,-229639.000000,14.645117,15,-2175.419533,5,[13]=-232231;[14]=-229923;[15]=-229639;[16]=-231359;[17]=-235121
2264,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2353.000000,33,1,Ok,121251.000000,NonMono,17,-220090.000000,17.056385,17,2421.225541,7,[14]=-224167;[15]=-221937;[16]=-220572;[17]=-220090;[18]=-220470;[19]=-221734;[20]=-223842
