line_no,cmd,sweep_mode,base_x,base_y,legacy_5param,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
2,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2086.000000,33,0,ParabolaNotDownward,18.000000,Flat,31,-218467.000000,,,,0,
3,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,1950.000000,101,1,Ok,306052.000000,NonMono,51,-215068.000000,50.648331,51,2152.593324,7,[48]=-217312;[49]=-215916;[50]=-215161;[51]=-215068;[52]=-215628;[53]=-216855;[54]=-218752
4,RECAL 3 0 9999 2153 64 4 80,0,9999,2153,0,64,4,80,2089.000000,33,1,Ok,90711.000000,NonMono,16,-215039.000000,15.891618,16,2152.566474,7,[13]=-217753;[14]=-216201;[15]=-215296;[16]=-215039;[17]=-215440;[18]=-216501;[19]=-218232
5,RECAL 3 1 9999 2153 64 4 80,1,9999,2153,0,64,4,80,-2834.000000,33,1,Ok,307917.000000,NonMono,15,-211673.000000,14.510370,15,-2775.958521,17,[7]=-308721;[8]=-284704;[9]=-263952;[10]=-246624;[11]=-232708;[12]=-222260;[13]=-215274;[14]=-211757;[15]=-211673;[16]=-215039;[17]=-221847;[18]=-232080;[19]=-245762;[20]=-262793;[21]=-282887;[22]=-306307;[23]=-332749
6,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2045.000000,33,1,Ok,85452.000000,NonMono,16,-214916.000000,16.274445,16,2110.097780,7,[13]=-218358;[14]=-216562;[15]=-215408;[16]=-214916;[17]=-215056;[18]=-215853;[19]=-217317
7,RECAL 3 1 9999 2110 64 4 80,1,9999,2110,0,64,4,80,-2221.000000,33,1,Ok,274021.000000,NonMono,15,-213257.000000,14.718079,15,-2162.127683,5,[13]=-216366;[14]=-213731;[15]=-213257;[16]=-214955;[17]=-218824
8,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2043.000000,33,1,Ok,87776.000000,NonMono,17,-204282.000000,16.532745,17,2109.130979,7,[14]=-206311;[15]=-204977;[16]=-204298;[17]=-204282;[18]=-204925;[19]=-206242;[20]=-208255
9,RECAL 3 1 9999 2109 64 4 80,1,9999,2109,0,64,4,80,-1347.000000,33,1,Ok,102691.000000,NonMono,15,-204024.000000,15.252031,15,-1285.991876,7,[12]=-208168;[13]=-205985;[14]=-204616;[15]=-204024;[16]=-204220;[17]=-205178;[18]=-206921
10,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2129.000000,33,1,Ok,94188.000000,NonMono,16,-200194.000000,16.339391,16,2194.357563,7,[13]=-204208;[14]=-202145;[15]=-200807;[16]=-200194;[17]=-200310;[18]=-201166;[19]=-202765
11,RECAL 3 1 9999 2194 64 4 80,1,9999,2194,0,64,4,80,1164.000000,33,1,Ok,99221.000000,NonMono,16,-200136.000000,15.606175,16,1226.424700,7,[13]=-202495;[14]=-201003;[15]=-200214;[16]=-200136;[17]=-200783;[18]=-202150;[19]=-204251
