line_no,cmd,sweep_mode,base_x,base_y,legacy_5param,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
41,RECAL 3 1 9999 2443 64 4 80,1,9999,2443,0,64,4,80,-2878.000000,33,1,Ok,270958.000000,NonMono,16,-224667.000000,16.113236,16,-2813.547054,5,[14]=-231999;[15]=-226671;[16]=-224667;[17]=-225933;[18]=-230623
42,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2368.000000,33,1,Ok,113942.000000,NonMono,16,-224674.000000,15.528675,16,2430.114700,7,[13]=-226992;[14]=-225457;[15]=-224702;[16]=-224674;[17]=-225419;[18]=-226976;[19]=-229341
43,RECAL 3 1 9999 2430 64 4 80,1,9999,2430,0,64,4,80,-2241.000000,33,1,Ok,236663.000000,NonMono,16,-224591.000000,16.225561,16,-2176.097756,5,[14]=-229546;[15]=-226047;[16]=-224591;[17]=-225134;[18]=-227731
44,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2356.000000,33,1,Ok,112454.000000,NonMono,16,-225116.000000,15.612748,16,2418.450991,7,[13]=-227685;[14]=-226069;[15]=-225213;[16]=-225116;[17]=-225805;[18]=-227298;[19]=-229547
45,RECAL 3 1 9999 2418 64 4 80,1,9999,2418,0,64,4,80,-1315.000000,33,1,Ok,88385.000000,NonMono,16,-225083.000000,16.026280,16,-1250.894878,7,[13]=-228186;[14]=-226460;[15]=-225435;[16]=-225083;[17]=-225386;[18]=-226384;[19]=-228028
46,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2342.000000,33,1,Ok,111880.000000,NonMono,15,-225490.000000,15.502297,16,2404.009187,7,[12]=-230037;[13]=-227783;[14]=-226254;[15]=-225490;[16]=-225500;[17]=-226261;[18]=-227827
47,RECAL 3 1 9999 2404 64 4 80,1,9999,2404,0,64,4,80,1255.000000,33,1,Ok,105292.000000,NonMono,15,-225367.000000,15.450933,15,1316.803733,7,[12]=-229762;[13]=-227552;[14]=-226075;[15]=-225367;[16]=-225402;[17]=-226193;[18]=-227732
48,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2250.000000,33,1,Ok,101125.000000,NonMono,16,-223444.000000,15.682556,16,2312.730225,7,[13]=-225839;[14]=-224395;[15]=-223559;[16]=-223444;[17]=-224021;[18]=-225300;[19]=-227297
49,RECAL 3 1 9999 2313 64 4 80,1,9999,2313,0,64,4,80,2149.000000,33,1,Ok,240876.000000,NonMono,15,-223260.000000,15.419697,15,2210.678789,5,[13]=-229222;[14]=-225171;[15]=-223260;[16]=-223413;[17]=-225638
50,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,2317.000000,33,1,Ok,106134.000000,NonMono,16,-225250.000000,15.530336,16,2379.121342,7,[13]=-227433;[14]=-225993;[15]=-225255;[16]=-225250;[17]=-225941;[18]=-227389;[19]=-229596
51,RECAL 3 1 9999 2379 64 4 80,1,9999,2379,0,64,4,80,2773.000000,33,1,Ok,269768.000000,NonMono,16,-225191.000000,15.537341,16,2835.149364,17,[8]=-322774;[9]=-298590;[10]=-277740;[11]=-260597;[12]=-246609;[13]=-236082;[14]=-229015;[15]=-225377;[16]=-225191;[17]=-228418;[18]=-234984;[19]=-244879;[20]=-257936;[21]=-274142;[22]=-293444;[23]=-315502;[24]=-339998
52,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,137.000000,33,0,ParabolaNotDownward,782.000000,Flat,16,-230838.000000,,,,0,
53,RECAL 3 0 9999 9999 200 4 80,0,9999,9999,0,200,4,80,1.000000,101,1,Ok,10516.000000,NonMono,48,-230848.000000,46.979733,47,188.918931,33,[32]=-231102;[33]=-231043;[34]=-231035;[35]=-231001;[36]=-230979;[37]=-230960;[38]=-230944;[39]=-230928;[40]=-230903;[41]=-230890;[42]=-230868;[43]=-230865;[44]=-230864;[45]=-230850;[46]=-230851;[47]=-230852;[48]=-230848;[49]=-230851;[50]=-230877;[51]=-230873;[52]=-230891;[53]=-230894;[54]=-230926;[55]=-230955;[56]=-230990;[57]=-231009;[58]=-231069;[59]=-231112;[60]=-231176;[61]=-231231;[62]=-231284;[63]=-231362;[64]=-231443
54,RECAL 3 0 9999 189 64 4 80,0,9999,189,0,64,4,80,125.000000,33,0,ParabolaNotDownward,526.000000,Flat,18,-230854.000000,,,,0,
55,RECAL 3 1 9999 188 64 4 80,1,9999,188,0,64,4,80,2757.000000,33,1,Ok,264499.000000,NonMono,16,-230860.000000,15.489687,15,2818.958750,17,[8]=-326783;[9]=-303037;[10]=-282459;[11]=-265426;[12]=-251684;[13]=-241362;[14]=-234422;[15]=-230976;[16]=-230860;[17]=-234142;[18]=-240855;[19]=-250858;[20]=-264086;[21]=-280388;[22]=-299718;[23]=-321577;[24]=-345494
56,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-594.000000,33,1,Ok,4176.000000,NonMono,16,-226425.000000,16.490126,16,-528.039496,17,[8]=-227472;[9]=-227231;[10]=-227047;[11]=-226867;[12]=-226719;[13]=-226603;[14]=-226518;[15]=-226458;[16]=-226425;[17]=-226442;[18]=-226469;[19]=-226526;[20]=-226595;[21]=-226709;[22]=-226830;[23]=-226995;[24]=-227167
57,RECAL 3 1 9999 -528 64 4 80,1,9999,-528,0,64,4,80,2126.000000,33,1,Ok,234971.000000,NonMono,16,-226440.000000,15.602928,16,2188.411712,5,[14]=-228997;[15]=-226652;[16]=-226440;[17]=-228299;[18]=-232209
58,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,379.000000,33,1,Ok,3363.000000,NonMono,15,-224322.000000,15.465959,15,440.863836,17,[7]=-225001;[8]=-224849;[9]=-224702;[10]=-224615;[11]=-224524;[12]=-224459;[13]=-224389;[14]=-224334;[15]=-224322;[16]=-224342;[17]=-224354;[18]=-224393;[19]=-224461;[20]=-224552;[21]=-224664;[22]=-224822;[23]=-224999
59,RECAL 3 1 9999 441 64 4 80,1,9999,441,0,64,4,80,1213.000000,33,1,Ok,98774.000000,NonMono,15,-224302.000000,15.463003,15,1274.852011,7,[12]=-228433;[13]=-226342;[14]=-224985;[15]=-224302;[16]=-224324;[17]=-225055;[18]=-226517
60,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,449.000000,33,1,Ok,4417.000000,NonMono,15,-220187.000000,15.690843,16,511.763370,31,[0]=-223187;[1]=-222850;[2]=-222510;[3]=-222200;[4]=-221921;[5]=-221668;[6]=-221403;[7]=-221176;[8]=-220970;[9]=-220772;[10]=-220613;[11]=-220492;[12]=-220382;[13]=-220300;[14]=-220234;[15]=-220187;[16]=-220193;[17]=-220223;[18]=-220281;[19]=-220352;[20]=-220480;[21]=-220605;[22]=-220772;[23]=-220998;[24]=-221252;[25]=-221540;[26]=-221853;[27]=-222223;[28]=-222601;[29]=-223057;[30]=-223537
61,RECAL 3 1 9999 512 64 4 80,1,9999,512,0,64,4,80,-1361.000000,33,1,Ok,91964.000000,NonMono,16,-220211.000000,16.073352,16,-1296.706591,7,[13]=-223566;[14]=-221739;[15]=-220605;[16]=-220211;[17]=-220511;[18]=-221530;[19]=-223283
62,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,513.000000,33,1,Ok,5688.000000,NonMono,14,-223525.000000,15.043963,15,573.175850,29,[0]=-226918;[1]=-226501;[2]=-226118;[3]=-225749;[4]=-225416;[5]=-225108;[6]=-224829;[7]=-224565;[8]=-224336;[9]=-224108;[10]=-223947;[11]=-223810;[12]=-223686;[13]=-223591;[14]=-223525;[15]=-223532;[16]=-223552;[17]=-223606;[18]=-223679;[19]=-223793;[20]=-223978;[21]=-224173;[22]=-224399;[23]=-224697;[24]=-225018;[25]=-225367;[26]=-225792;[27]=-226251;[28]=-226752
63,RECAL 3 1 9999 573 64 4 80,1,9999,573,0,64,4,80,-2266.000000,33,1,Ok,244006.000000,NonMono,16,-223538.000000,16.070444,16,-2201.718224,5,[14]=-227793;[15]=-224680;[16]=-223538;[17]=-224410;[18]=-227336
64,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,581.000000,33,1,Ok,6685.000000,NonMono,15,-221900.000000,14.725847,15,639.903387,25,[3]=-224300;[4]=-223929;[5]=-223570;[6]=-223278;[7]=-222989;[8]=-222725;[9]=-222500;[10]=-222303;[11]=-222159;[12]=-222045;[13]=-221966;[14]=-221918;[15]=-221900;[16]=-221934;[17]=-222014;[18]=-222103;[19]=-222262;[20]=-222466;[21]=-222714;[22]=-222995;[23]=-223333;[24]=-223705;[25]=-224140;[26]=-224627;[27]=-225151
65,RECAL 3 1 9999 640 64 4 80,1,9999,640,0,64,4,80,-2894.000000,33,1,Ok,273854.000000,NonMono,16,-221892.000000,16.102322,16,-2829.590711,5,[14]=-229106;[15]=-223873;[16]=-221892;[17]=-223220;[18]=-227970
66,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2359.000000,33,1,Ok,81513.000000,NonMono,16,-227858.000000,16.186723,16,-2294.253108,7,[13]=-231004;[14]=-229352;[15]=-228285;[16]=-227858;[17]=-228069;[18]=-228894;[19]=-230390
67,RECAL 3 1 9999 -2294 64 4 80,1,9999,-2294,0,64,4,80,-2886.000000,33,1,Ok,268373.000000,NonMono,16,-227863.000000,16.269430,16,-2820.922278,5,[14]=-236009;[15]=-230376;[16]=-227863;[17]=-228650;[18]=-232692
68,RECAL 3 0 9999 9999 64 4 80,0,9999,9999,0,64,4,80,-2366.000000,33,1,Ok,84696.000000,NonMono,16,-228100.000000,16.077438,16,-2301.690248,7,[13]=-231154;[14]=-229463;[15]=-228458;[16]=-228100;[17]=-228350;[18]=-229271;[19]=-230860
