line_no,cmd,sweep_mode,base_dac,offset_dac,step_dac,delay_ms,dac_base,n_powers,fit_ok,validate_code,span,trend,global_max_idx,global_max_y,t_star,peak_idx,dac_peak,fit_n,fit_points
1529,RECAL 3 1 954 64 4 80,1,954,64,4,80,-1326.000000,33,1,Ok,109580.000000,NonMono,16,-19137.000000,15.578965,16,-1263.684138,33,[0]=-128717;[1]=-114803;[2]=-101872;[3]=-89980;[4]=-78914;[5]=-68785;[6]=-59629;[7]=-51448;[8]=-44205;[9]=-37926;[10]=-32557;[11]=-28107;[12]=-24591;[13]=-21929;[14]=-20126;[15]=-19210;[16]=-19137;[17]=-19898;[18]=-21501;[19]=-23922;[20]=-27140;[21]=-31108;[22]=-35856;[23]=-41366;[24]=-47613;[25]=-54611;[26]=-62303;[27]=-70715;[28]=-79669;[29]=-89397;[30]=-99687;[31]=-110629;[32]=-122101
1530,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,650.000000,33,1,Ok,8876.000000,NonMono,17,-18075.000000,17.174732,17,718.698926,31,[2]=-25094;[3]=-24242;[4]=-23448;[5]=-22701;[6]=-21995;[7]=-21343;[8]=-20745;[9]=-20206;[10]=-19730;[11]=-19313;[12]=-18955;[13]=-18647;[14]=-18415;[15]=-18236;[16]=-18123;[17]=-18075;[18]=-18094;[19]=-18186;[20]=-18352;[21]=-18590;[22]=-18892;[23]=-19267;[24]=-19711;[25]=-20229;[26]=-20842;[27]=-21526;[28]=-22293;[29]=-23141;[30]=-24056;[31]=-25058;[32]=-26164
1531,RECAL 3 1 719 64 4 80,1,719,64,4,80,-2175.000000,33,1,Ok,241033.000000,NonMono,16,-18050.000000,15.493230,15,-2113.027082,33,[0]=-259083;[1]=-246495;[2]=-225823;[3]=-200359;[4]=-175089;[5]=-148098;[6]=-123649;[7]=-101882;[8]=-82786;[9]=-66373;[10]=-52374;[11]=-40832;[12]=-31676;[13]=-24849;[14]=-20324;[15]=-18077;[16]=-18050;[17]=-20197;[18]=-24527;[19]=-31016;[20]=-39621;[21]=-50318;[22]=-63028;[23]=-77720;[24]=-94270;[25]=-112753;[26]=-132858;[27]=-154459;[28]=-177012;[29]=-196925;[30]=-217190;[31]=-235232;[32]=-249603
1532,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,917.000000,33,1,Ok,18519.000000,NonMono,18,-27207.000000,17.651515,18,987.606059,29,[4]=-38505;[5]=-36965;[6]=-35511;[7]=-34166;[8]=-32951;[9]=-31842;[10]=-30851;[11]=-29969;[12]=-29210;[13]=-28564;[14]=-28043;[15]=-27643;[16]=-27372;[17]=-27232;[18]=-27207;[19]=-27317;[20]=-27563;[21]=-27934;[22]=-28446;[23]=-29088;[24]=-29880;[25]=-30817;[26]=-31892;[27]=-33096;[28]=-34461;[29]=-35982;[30]=-37642;[31]=-39465;[32]=-41450
1533,RECAL 3 1 988 64 4 80,1,988,64,4,80,-2767.000000,33,1,Ok,245806.000000,NonMono,15,-25373.000000,15.417724,15,-2705.329105,31,[0]=-269566;[1]=-269174;[2]=-267428;[3]=-260495;[4]=-240154;[5]=-208191;[6]=-175609;[7]=-142711;[8]=-114321;[9]=-90292;[10]=-70189;[11]=-53923;[12]=-41389;[13]=-32427;[14]=-27128;[15]=-25373;[16]=-27144;[17]=-32367;[18]=-40981;[19]=-52923;[20]=-67955;[21]=-86339;[22]=-107713;[23]=-132063;[24]=-159085;[25]=-186647;[26]=-212845;[27]=-236887;[28]=-254491;[29]=-264000;[30]=-268310
1534,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,-2094.000000,33,1,Ok,81194.000000,NonMono,15,-24815.000000,15.117537,15,-2033.529854,31,[0]=-93026;[1]=-84165;[2]=-75943;[3]=-68368;[4]=-61346;[5]=-54983;[6]=-49237;[7]=-44096;[8]=-39597;[9]=-35703;[10]=-32407;[11]=-29693;[12]=-27610;[13]=-26097;[14]=-25173;[15]=-24815;[16]=-25039;[17]=-25836;[18]=-27218;[19]=-29162;[20]=-31682;[21]=-34732;[22]=-38348;[23]=-42515;[24]=-47243;[25]=-52544;[26]=-58416;[27]=-64873;[28]=-71846;[29]=-79477;[30]=-87717
1535,RECAL 3 1 -2034 64 4 80,1,-2034,64,4,80,-2736.000000,33,1,Ok,245719.000000,NonMono,16,-24762.000000,16.345169,16,-2670.619325,33,[0]=-270481;[1]=-269960;[2]=-269649;[3]=-267659;[4]=-259402;[5]=-235842;[6]=-202036;[7]=-169062;[8]=-136943;[9]=-109472;[10]=-86262;[11]=-66862;[12]=-51260;[13]=-39474;[14]=-31094;[15]=-26198;[16]=-24762;[17]=-26739;[18]=-32067;[19]=-40667;[20]=-52558;[21]=-67512;[22]=-85575;[23]=-106643;[24]=-130711;[25]=-157685;[26]=-185630;[27]=-212199;[28]=-236430;[29]=-254094;[30]=-263859;[31]=-268698;[32]=-269985
1536,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,-2185.000000,33,1,Ok,90398.000000,NonMono,15,-21765.000000,15.128805,15,-2124.484781,31,[0]=-96960;[1]=-87090;[2]=-77892;[3]=-69569;[4]=-61825;[5]=-54838;[6]=-48527;[7]=-42887;[8]=-37941;[9]=-33643;[10]=-30029;[11]=-27087;[12]=-24801;[13]=-23162;[14]=-22144;[15]=-21765;[16]=-22011;[17]=-22881;[18]=-24362;[19]=-26452;[20]=-29185;[21]=-32542;[22]=-36525;[23]=-41128;[24]=-46355;[25]=-52191;[26]=-58693;[27]=-65906;[28]=-73789;[29]=-82362;[30]=-91586
1537,RECAL 3 1 -2124 64 4 80,1,-2124,64,4,80,-2127.000000,33,1,Ok,232916.000000,NonMono,15,-21582.000000,15.554336,16,-2064.782654,31,[0]=-254498;[1]=-237692;[2]=-214683;[3]=-189637;[4]=-165153;[5]=-140480;[6]=-118220;[7]=-98439;[8]=-81043;[9]=-65894;[10]=-53023;[11]=-42411;[12]=-33955;[13]=-27645;[14]=-23539;[15]=-21582;[16]=-21771;[17]=-24073;[18]=-28457;[19]=-34934;[20]=-43334;[21]=-53857;[22]=-66361;[23]=-80789;[24]=-97009;[25]=-115083;[26]=-134859;[27]=-156221;[28]=-178700;[29]=-198571;[30]=-218849
1538,RECAL 3 0 9999 64 4 80,0,9999,64,4,80,-2086.000000,33,1,Ok,79159.000000,NonMono,15,-18246.000000,15.434632,15,-2024.261473,31,[0]=-91824;[1]=-82412;[2]=-73637;[3]=-65478;[4]=-58026;[5]=-51231;[6]=-45076;[7]=-39605;[8]=-34756;[9]=-30551;[10]=-26997;[11]=-24024;[12]=-21671;[13]=-19926;[14]=-18787;[15]=-18246;[16]=-18292;[17]=-18921;[18]=-20140;[19]=-21929;[20]=-24273;[21]=-27202;[22]=-30679;[23]=-34730;[24]=-39357;[25]=-44541;[26]=-50257;[27]=-56607;[28]=-63566;[29]=-71125;[30]=-79277
