IL,IL_step,MPO_in,MPO_out,c1,c2,c4,device,RECAL1,mems_SW,sweep_count,peak_ok_count,peak_fail_count,Y_ok,X_ok,verdict,path_files,csv_lines
0.1630,204,MPO17-1,MPO65-1,12,6,44,1#SW1级联,-,,0,0,0,0,0,N/A,,
0.1630,204,MPO17-1,MPO65-1,12,6,44,1#叶子,RECAL 1 1 12 1 1 44,SW1,2,2,0,1,1,OK,pm_pm_1x64_1,2686;2687
0.1630,204,MPO17-1,MPO65-1,12,6,44,2#SW1级联,RECAL 1 5 64 1 1 32,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2820;2821
0.1630,204,MPO17-1,MPO65-1,12,6,44,2#叶子,RECAL 1 6 12 1 1 44,SW3,2,2,0,1,1,OK,pm_pm_1x64_2,2900;2901
0.1630,204,MPO17-1,MPO65-1,12,6,44,1#MCS,RECAL 1 3 12 6 6 44,,2,2,0,1,1,OK,pm_pm_mcs1,442;443
0.1630,204,MPO17-1,MPO65-1,12,6,44,2#MCS,RECAL 1 4 12 6 6 44,,2,2,0,1,1,OK,pm_pm_mcs2,1765;1766
0.1850,267,MPO23-3,MPO71-3,15,15,47,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,2,2,0,1,1,OK,pm_pm_1x64_1,2672;2673
0.1850,267,MPO23-3,MPO71-3,15,15,47,1#叶子,RECAL 1 2 15 1 1 47,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2692;2693
0.1850,267,MPO23-3,MPO71-3,15,15,47,2#SW1级联,RECAL 1 5 64 1 1 32,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2820;2821
0.1850,267,MPO23-3,MPO71-3,15,15,47,2#叶子,RECAL 1 6 15 1 1 47,SW3,2,2,0,1,1,OK,pm_pm_1x64_2,2906;2907
0.1850,267,MPO23-3,MPO71-3,15,15,47,1#MCS,RECAL 1 3 15 15 15 47,,2,2,0,1,1,OK,pm_pm_mcs1,597;598
0.1850,267,MPO23-3,MPO71-3,15,15,47,2#MCS,RECAL 1 4 15 15 15 47,,2,2,0,1,1,OK,pm_pm_mcs2,1911;1912
0.2000,270,MPO23-6,MPO71-6,15,18,47,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,2,2,0,1,1,OK,pm_pm_1x64_1,2672;2673
0.2000,270,MPO23-6,MPO71-6,15,18,47,1#叶子,RECAL 1 2 15 1 1 47,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2692;2693
0.2000,270,MPO23-6,MPO71-6,15,18,47,2#SW1级联,RECAL 1 5 64 1 1 32,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2820;2821
0.2000,270,MPO23-6,MPO71-6,15,18,47,2#叶子,RECAL 1 6 15 1 1 47,SW3,2,2,0,1,1,OK,pm_pm_1x64_2,2906;2907
0.2000,270,MPO23-6,MPO71-6,15,18,47,1#MCS,RECAL 1 3 15 18 18 47,,2,2,0,1,1,OK,pm_pm_mcs1,603;604
0.2000,270,MPO23-6,MPO71-6,15,18,47,2#MCS,RECAL 1 4 15 18 18 47,,2,2,0,1,1,OK,pm_pm_mcs2,1917;1918
0.1540,303,MPO26-3,MPO74-3,17,15,49,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,2,2,0,1,1,OK,pm_pm_1x64_1,2672;2673
0.1540,303,MPO26-3,MPO74-3,17,15,49,1#叶子,RECAL 1 2 17 1 1 49,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2696;2697
0.1540,303,MPO26-3,MPO74-3,17,15,49,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2822;2823
0.1540,303,MPO26-3,MPO74-3,17,15,49,2#叶子,RECAL 1 6 17 1 1 49,SW4,2,2,0,1,1,OK,pm_pm_1x64_2,2910;2911
0.1540,303,MPO26-3,MPO74-3,17,15,49,1#MCS,RECAL 1 3 17 15 15 49,,2,2,0,1,1,OK,pm_pm_mcs1,677;678
0.1540,303,MPO26-3,MPO74-3,17,15,49,2#MCS,RECAL 1 4 17 15 15 49,,2,2,0,1,1,OK,pm_pm_mcs2,1999;2000
0.2090,310,MPO26-1,MPO74-1,18,4,50,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,2,2,0,1,1,OK,pm_pm_1x64_1,2672;2673
0.2090,310,MPO26-1,MPO74-1,18,4,50,1#叶子,RECAL 1 2 18 1 1 50,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2698;2699
0.2090,310,MPO26-1,MPO74-1,18,4,50,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2822;2823
0.2090,310,MPO26-1,MPO74-1,18,4,50,2#叶子,RECAL 1 6 18 1 1 50,SW4,2,2,0,1,1,OK,pm_pm_1x64_2,2912;2913
0.2090,310,MPO26-1,MPO74-1,18,4,50,1#MCS,RECAL 1 3 18 4 4 50,,2,2,0,1,1,OK,pm_pm_mcs1,691;692
0.2090,310,MPO26-1,MPO74-1,18,4,50,2#MCS,RECAL 1 4 18 4 4 50,,2,2,0,1,1,OK,pm_pm_mcs2,2013;2014
0.2300,311,MPO26-1,MPO74-1,18,5,50,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,2,2,0,1,1,OK,pm_pm_1x64_1,2672;2673
0.2300,311,MPO26-1,MPO74-1,18,5,50,1#叶子,RECAL 1 2 18 1 1 50,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2698;2699
0.2300,311,MPO26-1,MPO74-1,18,5,50,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2822;2823
0.2300,311,MPO26-1,MPO74-1,18,5,50,2#叶子,RECAL 1 6 18 1 1 50,SW4,2,2,0,1,1,OK,pm_pm_1x64_2,2912;2913
0.2300,311,MPO26-1,MPO74-1,18,5,50,1#MCS,RECAL 1 3 18 5 5 50,,2,2,0,1,1,OK,pm_pm_mcs1,693;694
0.2300,311,MPO26-1,MPO74-1,18,5,50,2#MCS,RECAL 1 4 18 5 5 50,,2,2,0,1,1,OK,pm_pm_mcs2,2015;2016
0.1900,385,MPO33-1,MPO81-1,22,7,54,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,2,2,0,1,1,OK,pm_pm_1x64_1,2672;2673
0.1900,385,MPO33-1,MPO81-1,22,7,54,1#叶子,RECAL 1 2 22 1 1 54,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2706;2707
0.1900,385,MPO33-1,MPO81-1,22,7,54,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2822;2823
0.1900,385,MPO33-1,MPO81-1,22,7,54,2#叶子,RECAL 1 6 22 1 1 54,SW4,2,2,0,1,1,OK,pm_pm_1x64_2,2920;2921
0.1900,385,MPO33-1,MPO81-1,22,7,54,1#MCS,RECAL 1 3 22 7 7 54,,4,3,1,1,1,OK,pm_pm_mcs1,855;856;857;858
0.1900,385,MPO33-1,MPO81-1,22,7,54,2#MCS,RECAL 1 4 22 7 7 54,,4,3,1,1,1,OK,pm_pm_mcs2,2197;2198;2199;2200
0.1960,434,MPO37-2,MPO85-2,25,2,57,1#SW1级联,RECAL 1 1 15 1 1 47,SW1,2,2,0,1,1,OK,pm_pm_1x64_1,2672;2673
0.1960,434,MPO37-2,MPO85-2,25,2,57,1#叶子,RECAL 1 2 25 1 1 57,SW2,2,2,0,1,1,OK,pm_pm_1x64_1,2712;2713
0.1960,434,MPO37-2,MPO85-2,25,2,57,2#SW1级联,RECAL 1 5 17 1 1 49,SW1,2,2,0,1,1,OK,pm_pm_1x64_2,2822;2823
0.1960,434,MPO37-2,MPO85-2,25,2,57,2#叶子,RECAL 1 6 25 1 1 57,SW4,2,2,0,1,1,OK,pm_pm_1x64_2,2926;2927
0.1960,434,MPO37-2,MPO85-2,25,2,57,1#MCS,RECAL 1 3 25 2 2 57,,2,2,0,1,1,OK,pm_pm_mcs1,967;968
0.1960,434,MPO37-2,MPO85-2,25,2,57,2#MCS,RECAL 1 4 25 2 2 57,,2,2,0,1,1,OK,pm_pm_mcs2,2311;2312
