IL,IL_step,MPO_in,MPO_out,c1,c2,c4,device,RECAL1,csv_line,path_file,slot,step_in_path,cmd,axis,attempt,peak_ok,code,col0,n_samples,span_raw,span_db,argmax_idx,peak_raw
0.1630,204,MPO17-1,MPO65-1,12,6,44,1#叶子,RECAL 1 1 12 1 1 44,2686,pm_pm_1x64_1,3,15,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-2343,33,87595,8.7595,14,-227451
0.1630,204,MPO17-1,MPO65-1,12,6,44,1#叶子,RECAL 1 1 12 1 1 44,2687,pm_pm_1x64_1,3,15,RECAL 3 1 9999 -2288 64 4 80,X,1,1,Ok,-1270,33,77898,7.7898,15,-226733
0.1630,204,MPO17-1,MPO65-1,12,6,44,2#SW1级联,RECAL 1 5 64 1 1 32,2820,pm_pm_1x64_2,4,9,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-950,33,12427,1.2427,14,-229552
0.1630,204,MPO17-1,MPO65-1,12,6,44,2#SW1级联,RECAL 1 5 64 1 1 32,2821,pm_pm_1x64_2,4,9,RECAL 3 1 9999 -893 64 4 80,X,1,1,Ok,1240,33,98470,9.8470,18,-228442
0.1630,204,MPO17-1,MPO65-1,12,6,44,2#叶子,RECAL 1 6 12 1 1 44,2900,pm_pm_1x64_2,4,47,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-2281,33,73525,7.3525,15,-226992
0.1630,204,MPO17-1,MPO65-1,12,6,44,2#叶子,RECAL 1 6 12 1 1 44,2901,pm_pm_1x64_2,4,47,RECAL 3 1 9999 -2222 64 4 80,X,1,1,Ok,-2878,33,302008,30.2008,13,-216369
0.1630,204,MPO17-1,MPO65-1,12,6,44,1#MCS,RECAL 1 3 12 6 6 44,442,pm_pm_mcs1,1,204,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2308,33,91617,9.1617,16,-232553
0.1630,204,MPO17-1,MPO65-1,12,6,44,1#MCS,RECAL 1 3 12 6 6 44,443,pm_pm_mcs1,1,204,RECAL 3 1 9999 2373 64 4 80,X,1,1,Ok,2759,33,292986,29.2986,18,-225925
0.1630,204,MPO17-1,MPO65-1,12,6,44,2#MCS,RECAL 1 4 12 6 6 44,1765,pm_pm_mcs2,2,204,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2062,33,114366,11.4366,17,-230391
0.1630,204,MPO17-1,MPO65-1,12,6,44,2#MCS,RECAL 1 4 12 6 6 44,1766,pm_pm_mcs2,2,204,RECAL 3 1 9999 2130 64 4 80,X,1,1,Ok,2600,33,289740,28.9740,17,-228781
0.1850,267,MPO23-3,MPO71-3,15,15,47,1#SW1级联,RECAL 1 1 15 1 1 47,2672,pm_pm_1x64_1,3,8,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,438,33,4054,0.4054,14,-235926
0.1850,267,MPO23-3,MPO71-3,15,15,47,1#SW1级联,RECAL 1 1 15 1 1 47,2673,pm_pm_1x64_1,3,8,RECAL 3 1 9999 493 64 4 80,X,1,1,Ok,2155,33,250373,25.0373,17,-233878
0.1850,267,MPO23-3,MPO71-3,15,15,47,1#叶子,RECAL 1 2 15 1 1 47,2692,pm_pm_1x64_1,3,18,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2459,33,112838,11.2838,18,-233408
0.1850,267,MPO23-3,MPO71-3,15,15,47,1#叶子,RECAL 1 2 15 1 1 47,2693,pm_pm_1x64_1,3,18,RECAL 3 1 9999 2533 64 4 80,X,1,1,Ok,-2859,33,288505,28.8505,14,-228537
0.1850,267,MPO23-3,MPO71-3,15,15,47,2#SW1级联,RECAL 1 5 64 1 1 32,2820,pm_pm_1x64_2,4,9,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-950,33,12427,1.2427,14,-229552
0.1850,267,MPO23-3,MPO71-3,15,15,47,2#SW1级联,RECAL 1 5 64 1 1 32,2821,pm_pm_1x64_2,4,9,RECAL 3 1 9999 -893 64 4 80,X,1,1,Ok,1240,33,98470,9.8470,18,-228442
0.1850,267,MPO23-3,MPO71-3,15,15,47,2#叶子,RECAL 1 6 15 1 1 47,2906,pm_pm_1x64_2,4,50,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-2387,33,81681,8.1681,15,-234486
0.1850,267,MPO23-3,MPO71-3,15,15,47,2#叶子,RECAL 1 6 15 1 1 47,2907,pm_pm_1x64_2,4,50,RECAL 3 1 9999 -2328 64 4 80,X,1,1,Ok,1242,33,96241,9.6241,18,-232859
0.1850,267,MPO23-3,MPO71-3,15,15,47,1#MCS,RECAL 1 3 15 15 15 47,597,pm_pm_mcs1,1,267,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-2391,33,108310,10.8310,14,-228199
0.1850,267,MPO23-3,MPO71-3,15,15,47,1#MCS,RECAL 1 3 15 15 15 47,598,pm_pm_mcs1,1,267,RECAL 3 1 9999 -2333 64 4 80,X,1,1,Ok,-1338,33,111314,11.1314,14,-226648
0.1850,267,MPO23-3,MPO71-3,15,15,47,2#MCS,RECAL 1 4 15 15 15 47,1911,pm_pm_mcs2,2,267,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-2299,33,106385,10.6385,14,-226774
0.1850,267,MPO23-3,MPO71-3,15,15,47,2#MCS,RECAL 1 4 15 15 15 47,1912,pm_pm_mcs2,2,267,RECAL 3 1 9999 -2243 64 4 80,X,1,1,Ok,-1286,33,89374,8.9374,16,-226764
0.2000,270,MPO23-6,MPO71-6,15,18,47,1#SW1级联,RECAL 1 1 15 1 1 47,2672,pm_pm_1x64_1,3,8,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,438,33,4054,0.4054,14,-235926
0.2000,270,MPO23-6,MPO71-6,15,18,47,1#SW1级联,RECAL 1 1 15 1 1 47,2673,pm_pm_1x64_1,3,8,RECAL 3 1 9999 493 64 4 80,X,1,1,Ok,2155,33,250373,25.0373,17,-233878
0.2000,270,MPO23-6,MPO71-6,15,18,47,1#叶子,RECAL 1 2 15 1 1 47,2692,pm_pm_1x64_1,3,18,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2459,33,112838,11.2838,18,-233408
0.2000,270,MPO23-6,MPO71-6,15,18,47,1#叶子,RECAL 1 2 15 1 1 47,2693,pm_pm_1x64_1,3,18,RECAL 3 1 9999 2533 64 4 80,X,1,1,Ok,-2859,33,288505,28.8505,14,-228537
0.2000,270,MPO23-6,MPO71-6,15,18,47,2#SW1级联,RECAL 1 5 64 1 1 32,2820,pm_pm_1x64_2,4,9,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-950,33,12427,1.2427,14,-229552
0.2000,270,MPO23-6,MPO71-6,15,18,47,2#SW1级联,RECAL 1 5 64 1 1 32,2821,pm_pm_1x64_2,4,9,RECAL 3 1 9999 -893 64 4 80,X,1,1,Ok,1240,33,98470,9.8470,18,-228442
0.2000,270,MPO23-6,MPO71-6,15,18,47,2#叶子,RECAL 1 6 15 1 1 47,2906,pm_pm_1x64_2,4,50,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-2387,33,81681,8.1681,15,-234486
0.2000,270,MPO23-6,MPO71-6,15,18,47,2#叶子,RECAL 1 6 15 1 1 47,2907,pm_pm_1x64_2,4,50,RECAL 3 1 9999 -2328 64 4 80,X,1,1,Ok,1242,33,96241,9.6241,18,-232859
0.2000,270,MPO23-6,MPO71-6,15,18,47,1#MCS,RECAL 1 3 15 18 18 47,603,pm_pm_mcs1,1,270,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-2392,33,104974,10.4974,14,-236130
0.2000,270,MPO23-6,MPO71-6,15,18,47,1#MCS,RECAL 1 3 15 18 18 47,604,pm_pm_mcs1,1,270,RECAL 3 1 9999 -2336 64 4 80,X,1,1,Ok,2695,33,284658,28.4658,17,-233808
0.2000,270,MPO23-6,MPO71-6,15,18,47,2#MCS,RECAL 1 4 15 18 18 47,1917,pm_pm_mcs2,2,270,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-2350,33,104184,10.4184,14,-234626
0.2000,270,MPO23-6,MPO71-6,15,18,47,2#MCS,RECAL 1 4 15 18 18 47,1918,pm_pm_mcs2,2,270,RECAL 3 1 9999 -2294 64 4 80,X,1,1,Ok,2710,33,287622,28.7622,17,-231669
0.1540,303,MPO26-3,MPO74-3,17,15,49,1#SW1级联,RECAL 1 1 15 1 1 47,2672,pm_pm_1x64_1,3,8,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,438,33,4054,0.4054,14,-235926
0.1540,303,MPO26-3,MPO74-3,17,15,49,1#SW1级联,RECAL 1 1 15 1 1 47,2673,pm_pm_1x64_1,3,8,RECAL 3 1 9999 493 64 4 80,X,1,1,Ok,2155,33,250373,25.0373,17,-233878
0.1540,303,MPO26-3,MPO74-3,17,15,49,1#叶子,RECAL 1 2 17 1 1 49,2696,pm_pm_1x64_1,3,20,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2542,33,126475,12.6475,19,-225994
0.1540,303,MPO26-3,MPO74-3,17,15,49,1#叶子,RECAL 1 2 17 1 1 49,2697,pm_pm_1x64_1,3,20,RECAL 3 1 9999 2616 64 4 80,X,1,1,Ok,-1308,33,78203,7.8203,16,-225852
0.1540,303,MPO26-3,MPO74-3,17,15,49,2#SW1级联,RECAL 1 5 17 1 1 49,2822,pm_pm_1x64_2,4,10,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-819,33,7691,0.7691,15,-228004
0.1540,303,MPO26-3,MPO74-3,17,15,49,2#SW1级联,RECAL 1 5 17 1 1 49,2823,pm_pm_1x64_2,4,10,RECAL 3 1 9999 -758 64 4 80,X,1,1,Ok,-1332,33,80530,8.0530,15,-227895
0.1540,303,MPO26-3,MPO74-3,17,15,49,2#叶子,RECAL 1 6 17 1 1 49,2910,pm_pm_1x64_2,4,52,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2467,33,117956,11.7956,19,-224491
0.1540,303,MPO26-3,MPO74-3,17,15,49,2#叶子,RECAL 1 6 17 1 1 49,2911,pm_pm_1x64_2,4,52,RECAL 3 1 9999 2543 64 4 80,X,1,1,Ok,-2207,33,233736,23.3736,14,-222557
0.1540,303,MPO26-3,MPO74-3,17,15,49,1#MCS,RECAL 1 3 17 15 15 49,677,pm_pm_mcs1,1,303,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-2226,33,103538,10.3538,14,-223644
0.1540,303,MPO26-3,MPO74-3,17,15,49,1#MCS,RECAL 1 3 17 15 15 49,678,pm_pm_mcs1,1,303,RECAL 3 1 9999 -2170 64 4 80,X,1,1,Ok,-1279,33,86854,8.6854,15,-223594
0.1540,303,MPO26-3,MPO74-3,17,15,49,2#MCS,RECAL 1 4 17 15 15 49,1999,pm_pm_mcs2,2,303,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-2413,33,102151,10.2151,15,-224286
0.1540,303,MPO26-3,MPO74-3,17,15,49,2#MCS,RECAL 1 4 17 15 15 49,2000,pm_pm_mcs2,2,303,RECAL 3 1 9999 -2354 64 4 80,X,1,1,Ok,-1339,33,99180,9.9180,15,-223827
0.2090,310,MPO26-1,MPO74-1,18,4,50,1#SW1级联,RECAL 1 1 15 1 1 47,2672,pm_pm_1x64_1,3,8,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,438,33,4054,0.4054,14,-235926
0.2090,310,MPO26-1,MPO74-1,18,4,50,1#SW1级联,RECAL 1 1 15 1 1 47,2673,pm_pm_1x64_1,3,8,RECAL 3 1 9999 493 64 4 80,X,1,1,Ok,2155,33,250373,25.0373,17,-233878
0.2090,310,MPO26-1,MPO74-1,18,4,50,1#叶子,RECAL 1 2 18 1 1 50,2698,pm_pm_1x64_1,3,21,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2583,33,128771,12.8771,19,-226532
0.2090,310,MPO26-1,MPO74-1,18,4,50,1#叶子,RECAL 1 2 18 1 1 50,2699,pm_pm_1x64_1,3,21,RECAL 3 1 9999 2657 64 4 80,X,1,1,Ok,1248,33,93603,9.3603,17,-225774
0.2090,310,MPO26-1,MPO74-1,18,4,50,2#SW1级联,RECAL 1 5 17 1 1 49,2822,pm_pm_1x64_2,4,10,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-819,33,7691,0.7691,15,-228004
0.2090,310,MPO26-1,MPO74-1,18,4,50,2#SW1级联,RECAL 1 5 17 1 1 49,2823,pm_pm_1x64_2,4,10,RECAL 3 1 9999 -758 64 4 80,X,1,1,Ok,-1332,33,80530,8.0530,15,-227895
0.2090,310,MPO26-1,MPO74-1,18,4,50,2#叶子,RECAL 1 6 18 1 1 50,2912,pm_pm_1x64_2,4,53,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2461,33,115539,11.5539,19,-225046
0.2090,310,MPO26-1,MPO74-1,18,4,50,2#叶子,RECAL 1 6 18 1 1 50,2913,pm_pm_1x64_2,4,53,RECAL 3 1 9999 2537 64 4 80,X,1,1,Ok,-1225,33,61178,6.1178,16,-225047
0.2090,310,MPO26-1,MPO74-1,18,4,50,1#MCS,RECAL 1 3 18 4 4 50,691,pm_pm_mcs1,1,310,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2328,33,111799,11.1799,17,-216155
0.2090,310,MPO26-1,MPO74-1,18,4,50,1#MCS,RECAL 1 3 18 4 4 50,692,pm_pm_mcs1,1,310,RECAL 3 1 9999 2395 64 4 80,X,1,1,Ok,1257,33,97619,9.7619,16,-216134
0.2090,310,MPO26-1,MPO74-1,18,4,50,2#MCS,RECAL 1 4 18 4 4 50,2013,pm_pm_mcs2,2,310,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2252,33,101997,10.1997,17,-215374
0.2090,310,MPO26-1,MPO74-1,18,4,50,2#MCS,RECAL 1 4 18 4 4 50,2014,pm_pm_mcs2,2,310,RECAL 3 1 9999 2318 64 4 80,X,1,1,Ok,1234,33,98412,9.8412,17,-215187
0.2300,311,MPO26-1,MPO74-1,18,5,50,1#SW1级联,RECAL 1 1 15 1 1 47,2672,pm_pm_1x64_1,3,8,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,438,33,4054,0.4054,14,-235926
0.2300,311,MPO26-1,MPO74-1,18,5,50,1#SW1级联,RECAL 1 1 15 1 1 47,2673,pm_pm_1x64_1,3,8,RECAL 3 1 9999 493 64 4 80,X,1,1,Ok,2155,33,250373,25.0373,17,-233878
0.2300,311,MPO26-1,MPO74-1,18,5,50,1#叶子,RECAL 1 2 18 1 1 50,2698,pm_pm_1x64_1,3,21,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2583,33,128771,12.8771,19,-226532
0.2300,311,MPO26-1,MPO74-1,18,5,50,1#叶子,RECAL 1 2 18 1 1 50,2699,pm_pm_1x64_1,3,21,RECAL 3 1 9999 2657 64 4 80,X,1,1,Ok,1248,33,93603,9.3603,17,-225774
0.2300,311,MPO26-1,MPO74-1,18,5,50,2#SW1级联,RECAL 1 5 17 1 1 49,2822,pm_pm_1x64_2,4,10,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,-819,33,7691,0.7691,15,-228004
0.2300,311,MPO26-1,MPO74-1,18,5,50,2#SW1级联,RECAL 1 5 17 1 1 49,2823,pm_pm_1x64_2,4,10,RECAL 3 1 9999 -758 64 4 80,X,1,1,Ok,-1332,33,80530,8.0530,15,-227895
0.2300,311,MPO26-1,MPO74-1,18,5,50,2#叶子,RECAL 1 6 18 1 1 50,2912,pm_pm_1x64_2,4,53,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2461,33,115539,11.5539,19,-225046
0.2300,311,MPO26-1,MPO74-1,18,5,50,2#叶子,RECAL 1 6 18 1 1 50,2913,pm_pm_1x64_2,4,53,RECAL 3 1 9999 2537 64 4 80,X,1,1,Ok,-1225,33,61178,6.1178,16,-225047
0.2300,311,MPO26-1,MPO74-1,18,5,50,1#MCS,RECAL 1 3 18 5 5 50,693,pm_pm_mcs1,1,311,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2406,33,115466,11.5466,17,-213153
0.2300,311,MPO26-1,MPO74-1,18,5,50,1#MCS,RECAL 1 3 18 5 5 50,694,pm_pm_mcs1,1,311,RECAL 3 1 9999 2473 64 4 80,X,1,1,Ok,2146,33,272649,27.2649,17,-212857
0.2300,311,MPO26-1,MPO74-1,18,5,50,2#MCS,RECAL 1 4 18 5 5 50,2015,pm_pm_mcs2,2,311,RECAL 3 0 9999 9999 64 4 80,Y,1,1,Ok,2246,33,92847,9.2847,16,-212647
